
[00:00:00.000 --> 00:00:03.000]  我們開始的時候做一個很簡單的祈禱
[00:00:03.000 --> 00:00:06.000]  祝這個是你的話語幫助我們
[00:00:06.000 --> 00:00:10.000]  在這個聖誕去思考福音的真諦
[00:00:10.000 --> 00:00:12.000]  讓我們安靜我們的心
[00:00:12.000 --> 00:00:14.000]  清晰的去講
[00:00:14.000 --> 00:00:17.000]  安靜的去聆聽
[00:00:17.000 --> 00:00:19.000]  願你祝福
[00:00:19.000 --> 00:00:20.000]  你自己的話語
[00:00:20.000 --> 00:00:22.000]  我們這樣祈禱是
[00:00:22.000 --> 00:00:24.000]  共主耶穌基督命求
[00:00:24.000 --> 00:00:28.000]  在這個普天同慶
[00:00:28.000 --> 00:00:30.000]  普世歡騰的日子裏面
[00:00:30.000 --> 00:00:32.000]  我想和大家講一聲
[00:00:32.000 --> 00:00:34.000]  以馬來尼
[00:00:34.000 --> 00:00:38.000]  願我們的救主都與大家同在
[00:00:38.000 --> 00:00:41.000]  昨晚是平安夜
[00:00:41.000 --> 00:00:43.000]  我不知道你有沒有回來公理堂
[00:00:43.000 --> 00:00:45.000]  不知道你有沒有回來這裏
[00:00:45.000 --> 00:00:47.000]  參加我們的聖誕前夕
[00:00:47.000 --> 00:00:49.000]  燭光崇拜
[00:00:49.000 --> 00:00:51.000]  你的平安夜
[00:00:51.000 --> 00:00:53.000]  平安嗎
[00:00:53.000 --> 00:00:55.000]  昨晚睡得好不好
[00:00:55.000 --> 00:00:58.000]  昨晚有沒有人敲你門
[00:00:58.000 --> 00:01:00.000]  昨晚家裏熱不熱
[00:01:00.000 --> 00:01:04.000]  昨晚你有沒有發惡夢
[00:01:04.000 --> 00:01:06.000]  可能有人說
[00:01:06.000 --> 00:01:08.000]  林穆斯你疏了
[00:01:08.000 --> 00:01:11.000]  為什麼問這麼無厘頭的問題
[00:01:11.000 --> 00:01:14.000]  我這樣問其實是帶有道理的
[00:01:14.000 --> 00:01:16.000]  順不順由你
[00:01:16.000 --> 00:01:19.000]  昨晚其實一點都不平安
[00:01:19.000 --> 00:01:23.000]  昨晚是一個普天同慶
[00:01:23.000 --> 00:01:25.000]  慶合合過慶
[00:01:25.000 --> 00:01:29.000]  普世沸騰聖子降臨的日子
[00:01:29.000 --> 00:01:32.000]  昨天有的是驚險
[00:01:32.000 --> 00:01:35.000]  沒有的是平安
[00:01:35.000 --> 00:01:38.000]  如果你不知道我在講什麼的時候
[00:01:38.000 --> 00:01:40.000]  我希望你聽完這篇道之後
[00:01:40.000 --> 00:01:42.000]  會明白
[00:01:42.000 --> 00:01:44.000]  我們在講的是
[00:01:44.000 --> 00:01:47.000]  路加福音裏面的聖誕故事
[00:01:47.000 --> 00:01:49.000]  我想很多人其實都很熟悉
[00:01:49.000 --> 00:01:51.000]  當中有牧羊人
[00:01:51.000 --> 00:01:53.000]  有羊
[00:01:53.000 --> 00:01:54.000]  有天使
[00:01:54.000 --> 00:01:55.000]  有天君
[00:01:55.000 --> 00:01:56.000]  有瑪利亞
[00:01:56.000 --> 00:01:57.000]  有約瑟
[00:01:57.000 --> 00:02:00.000]  還有一個很可愛的BB
[00:02:00.000 --> 00:02:03.000]  耶穌在馬槽裏面
[00:02:03.000 --> 00:02:05.000]  好像一個很簡單的故事
[00:02:05.000 --> 00:02:07.000]  剛才Kristone已經幫我們做了
[00:02:07.000 --> 00:02:09.000]  還有什麼道好講呢
[00:02:09.000 --> 00:02:12.000]  但其實這個故事的背後
[00:02:12.000 --> 00:02:13.000]  是非常之深奧
[00:02:13.000 --> 00:02:15.000]  我想你如果可以的話
[00:02:15.000 --> 00:02:18.000]  將剛才Kristone所做的所有東西
[00:02:18.000 --> 00:02:21.000]  在你的腦海裏面洗了它
[00:02:21.000 --> 00:02:25.000]  這樣你才可以再重新
[00:02:25.000 --> 00:02:28.000]  回到聖經的世界裏面
[00:02:28.000 --> 00:02:32.000]  去明白這個故事背後的意義
[00:02:32.000 --> 00:02:35.000]  我將這篇道分為三點
[00:02:35.000 --> 00:02:40.000]  第一點是奧古斯都開路先鋒
[00:02:40.000 --> 00:02:44.000]  第二點是基督降生牧羊之家
[00:02:44.000 --> 00:02:49.000]  第三點是布包放盡救主記號
[00:02:49.000 --> 00:02:52.000]  我們一起開始這個旅程
[00:02:52.000 --> 00:02:55.000]  路加福音第二章第一節這樣講
[00:02:55.000 --> 00:02:57.000]  在那些日子
[00:02:57.000 --> 00:03:00.000]  凱撒奧古斯都降旨
[00:03:00.000 --> 00:03:04.000]  叫全國人民都登記護席
[00:03:04.000 --> 00:03:08.000]  路加在講耶穌基督誕生故事的開始
[00:03:08.000 --> 00:03:12.000]  為我們介紹了一個非常之特別的VIP
[00:03:12.000 --> 00:03:16.000]  這個人叫凱撒奧古斯都
[00:03:16.000 --> 00:03:22.000]  凱撒奧古斯都究竟是誰呢
