
[00:00:00.000 --> 00:00:02.000]  跟我們一同讀一段聖經
[00:00:02.000 --> 00:00:06.000]  在格林多前書第四章第十五節
[00:00:06.000 --> 00:00:09.000]  只有一節的聖經我們一同來念
[00:00:09.000 --> 00:00:12.000]  你們學基督的師父雖有一萬
[00:00:12.000 --> 00:00:15.000]  為父的卻是不多
[00:00:15.000 --> 00:00:19.000]  因我在基督耶穌裡用福音生了你們
[00:00:19.000 --> 00:00:21.000]  好 我們就讀到這裡
[00:00:21.000 --> 00:00:22.000]  今天是父親節
[00:00:22.000 --> 00:00:25.000]  在這裡先恭賀每一位父親
[00:00:25.000 --> 00:00:28.000]  父親節非常非常非常快樂
[00:00:28.000 --> 00:00:30.000]  你們
[00:00:30.000 --> 00:00:34.000]  每年在父親節的時候
[00:00:34.000 --> 00:00:35.000]  我們都會安排一個
[00:00:35.000 --> 00:00:38.000]  全家可以照相的機會
[00:00:38.000 --> 00:00:40.000]  為什麼呢
[00:00:40.000 --> 00:00:41.000]  因為我發現我們做父親的
[00:00:41.000 --> 00:00:44.000]  常常就是忙碌在外
[00:00:44.000 --> 00:00:47.000]  以至於常常會錯過了
[00:00:47.000 --> 00:00:49.000]  孩子們成長的過程
[00:00:49.000 --> 00:00:51.000]  所以每年我們在教會裡面
[00:00:51.000 --> 00:00:53.000]  都會給你一個機會
[00:00:53.000 --> 00:00:55.000]  能夠每一年提醒你
[00:00:55.000 --> 00:00:58.000]  跟全家合照一下
[00:00:58.000 --> 00:01:00.000]  如果你把每一個照片
[00:01:00.000 --> 00:01:02.000]  能夠累積下來的話
[00:01:02.000 --> 00:01:04.000]  你可以看見你跟你的孩子
[00:01:04.000 --> 00:01:08.000]  這麼多年來一起成長的過程
[00:01:08.000 --> 00:01:09.000]  你知道在我辦公室裡面
[00:01:09.000 --> 00:01:10.000]  有一個布拉丁球
[00:01:10.000 --> 00:01:12.000]  我就貼滿了每一年
[00:01:12.000 --> 00:01:13.000]  我跟孩子們的照片
[00:01:13.000 --> 00:01:15.000]  現在當然他們都已經大了
[00:01:15.000 --> 00:01:18.000]  我現在常常回頭看他們小時候
[00:01:18.000 --> 00:01:20.000]  每一年照的照片
[00:01:20.000 --> 00:01:21.000]  真的是回想起
[00:01:21.000 --> 00:01:25.000]  神有多少的恩典在我們身上
[00:01:25.000 --> 00:01:29.000]  多少的歡笑 多少的哀愁
[00:01:29.000 --> 00:01:31.000]  每次我看見這些照片的時候
[00:01:31.000 --> 00:01:34.000]  都有無盡的感恩
[00:01:34.000 --> 00:01:36.000]  因為無論在我們人生的過程當中
[00:01:36.000 --> 00:01:39.000]  有多少的挫折 多少的困境
[00:01:39.000 --> 00:01:42.000]  在當時你覺得好像過不去了
[00:01:42.000 --> 00:01:45.000]  但事實上神的恩典卻永遠夠用
[00:01:45.000 --> 00:01:46.000]  你們
[00:01:46.000 --> 00:01:49.000]  跟你們說神的恩典永遠夠用
[00:01:51.000 --> 00:01:52.000]  在慶祝父親節的時候
[00:01:52.000 --> 00:01:54.000]  我們真的再一次看見
[00:01:54.000 --> 00:01:58.000]  這個世代真的需要父親
[00:01:58.000 --> 00:02:00.000]  你看有多少的社會的問題
[00:02:00.000 --> 00:02:02.000]  家庭的問題
[00:02:02.000 --> 00:02:05.000]  甚至我們屬靈生活上的問題
[00:02:05.000 --> 00:02:09.000]  都是因為缺乏正確的父親形象
[00:02:09.000 --> 00:02:13.000]  所帶來生命上或者生活上的虧損
[00:02:13.000 --> 00:02:15.000]  這為什麼保羅在
[00:02:15.000 --> 00:02:17.000]  哥倫多前書第四章十五節裡面說
[00:02:17.000 --> 00:02:22.000]  你們學基督的師父有很多
[00:02:22.000 --> 00:02:26.000]  但是為父的卻是不多
