
[00:00:00.000 --> 00:00:04.280]  人生既是虛空 亦是美好
[00:00:04.280 --> 00:00:07.280]  這是上星期我們所得到的訊息
[00:00:07.280 --> 00:00:12.780]  傳道書一開始的前言和最後的後記
[00:00:12.780 --> 00:00:17.340]  一頭一尾互相呼應了這個創造主
[00:00:17.340 --> 00:00:20.340]  給你和我人生的特色
[00:00:20.340 --> 00:00:23.340]  虛空 美好
[00:00:23.340 --> 00:00:26.740]  傳統上傳道書的作者就是所羅門
[00:00:26.740 --> 00:00:33.300]  雖然整本書細心看是找不到所羅門這個名字
[00:00:33.300 --> 00:00:38.640]  在一章一節旁白是這樣說
[00:00:38.640 --> 00:00:41.640]  說他接下來要看的說話
[00:00:41.640 --> 00:00:47.340]  是在耶路撒冷作王大衛的兒子所說的話
[00:00:47.340 --> 00:00:50.640]  而在第十二節正文開始
[00:00:50.640 --> 00:00:55.240]  傳道者一開口他都說出相近的說話
[00:00:55.240 --> 00:00:57.240]  原文的直譯是這樣的
[00:00:57.240 --> 00:00:59.240]  我是傳道者
[00:00:59.240 --> 00:01:04.040]  我作過了在耶路撒冷以色列的王
[00:01:04.040 --> 00:01:05.440]  找遍整本聖經
[00:01:05.440 --> 00:01:09.240]  你心碎清知道只有兩個人符合這個條件
[00:01:09.240 --> 00:01:11.040]  在耶路撒冷作的王
[00:01:11.040 --> 00:01:13.540]  又被稱為以色列王
[00:01:13.540 --> 00:01:14.740]  為什麼?
[00:01:14.740 --> 00:01:17.540]  因為只有大衛和所羅門
[00:01:17.540 --> 00:01:20.040]  他既在耶路撒冷作王
[00:01:20.040 --> 00:01:22.740]  同時管理整個以色列
[00:01:22.740 --> 00:01:24.940]  後來的北國叫以色列
[00:01:24.940 --> 00:01:28.840]  但他的定都在撒馬利亞
[00:01:28.840 --> 00:01:31.140]  所羅門之後
[00:01:31.140 --> 00:01:33.140]  叫做全以色列的王
[00:01:33.140 --> 00:01:34.740]  已經沒有了
[00:01:34.740 --> 00:01:36.540]  所以很明顯這兩節加起來
[00:01:36.540 --> 00:01:39.340]  我們看到傳統認為
[00:01:39.340 --> 00:01:43.540]  傳道者這個角色是所羅門
[00:01:43.540 --> 00:01:45.740]  但我們上星期也提過
[00:01:45.740 --> 00:01:47.340]  普遍學者從傳道書
[00:01:47.340 --> 00:01:50.140]  原本希伯來文的用字
[00:01:50.140 --> 00:01:54.140]  去鑒定到這本書成書日期
[00:01:54.140 --> 00:01:58.440]  是在所羅門之後的六百年
[00:01:58.440 --> 00:02:03.640]  傳道者就用當時六百年前
[00:02:03.640 --> 00:02:08.140]  所羅門留下的一些智慧傳統
[00:02:08.140 --> 00:02:09.940]  加上前言和後記
[00:02:09.940 --> 00:02:12.140]  去寫了這本傳道書
[00:02:12.140 --> 00:02:13.540]  因此我們可以這樣理解
[00:02:13.540 --> 00:02:15.840]  智慧文學就是用一種文體
[00:02:15.840 --> 00:02:17.940]  引用一些智慧的權威
[00:02:17.940 --> 00:02:20.140]  成為書中的主角人物
[00:02:20.140 --> 00:02:23.240]  對你對我講出真理
[00:02:23.240 --> 00:02:24.640]  為什麼?因為論到智慧
[00:02:24.640 --> 00:02:27.140]  有誰比得上所羅門呢?
[00:02:27.140 --> 00:02:28.840]  聖經在《列王記》也記載
[00:02:28.840 --> 00:02:30.740]  當所羅門去求智慧的時候
[00:02:30.740 --> 00:02:32.840]  上主就閱立他
[00:02:32.840 --> 00:02:36.740]  並且賜他有一顆智慧和明辨的心
[00:02:36.740 --> 00:02:40.840]  而且他這種智慧是前無古人
[00:02:40.840 --> 00:02:42.740]  後無來者
[00:02:42.740 --> 00:02:45.340]  是神自己的說話
[00:02:45.340 --> 00:02:48.640]  所以傳道者在所羅門的角色當中
[00:02:48.640 --> 00:02:49.840]  所說出來的話
[00:02:49.840 --> 00:02:51.240]  我們每一個人都要聽
[00:02:51.240 --> 00:02:53.840]  是智慧之言
[00:02:53.840 --> 00:02:54.640]  在今天開始
[00:02:54.640 --> 00:02:56.140]  我們一連多個星期
[00:02:56.140 --> 00:02:58.540]  就會進入傳道書的正文
[00:02:58.540 --> 00:03:01.840]  傳道書基本上可以分為五大段
[00:03:01.840 --> 00:03:05.040]  今天我們會看第一大段的前半
[00:03:05.040 --> 00:03:09.540]  我們開始踏入傳道者的思考領域
[00:03:09.540 --> 00:03:11.040]  跟著他一起去探索
[00:03:11.040 --> 00:03:15.840]  到底人生、虛空、美好、創造
[00:03:15.840 --> 00:03:18.840]  這一切有什麼關係
[00:03:18.840 --> 00:03:23.540]  我們再一次將這段聽道的時間交託給上主
[00:03:23.540 --> 00:03:25.740]  天父上帝我們祈求的就是
[00:03:25.740 --> 00:03:29.740]  當我們願意用心靈去領受祢的話語
[00:03:29.740 --> 00:03:32.640]  我們讀盡祢聖經的字句
[00:03:32.640 --> 00:03:35.140]  就成為生命的活然
[00:03:35.140 --> 00:03:36.440]  讓我們領受
[00:03:36.440 --> 00:03:38.740]  我們能夠生命得著益處
[00:03:38.740 --> 00:03:39.540]  多謝祢
[00:03:39.540 --> 00:03:40.840]  祈禱奉主耶穌基督
