
[00:00:00.000 --> 00:00:02.940]  讓我們同心再次來到主的根前
[00:00:02.940 --> 00:00:05.580]  領受祂的訊息、話語
[00:00:05.580 --> 00:00:09.940]  主啊,我懇求祢的聖靈
[00:00:09.940 --> 00:00:12.520]  去進入我們的心裏面
[00:00:12.520 --> 00:00:13.780]  去
[00:00:13.780 --> 00:00:16.400]  將祢自己的道顯明
[00:00:16.400 --> 00:00:19.640]  懇求聖靈在我們心中工作
[00:00:19.640 --> 00:00:22.640]  照亮神祢自己的話語
[00:00:22.640 --> 00:00:24.700]  彼此的印證
[00:00:24.700 --> 00:00:27.600]  讓我們真的見到祢話語的真實
[00:00:27.960 --> 00:00:31.880]  讓我們真的在心裏面預備地方
[00:00:31.880 --> 00:00:34.840]  來迎接主的再來
[00:00:34.840 --> 00:00:37.340]  主啊,祢第一次來的時間
[00:00:37.340 --> 00:00:42.060]  在孤寂的馬槽裏面出生
[00:00:42.060 --> 00:00:45.660]  客店沒有地方預備為祢
[00:00:45.660 --> 00:00:48.940]  今日,祢的群體在地上
[00:00:48.940 --> 00:00:53.160]  要真是成為一個預備祢再來的群體
[00:00:53.160 --> 00:00:54.900]  求祢幫助我們
[00:00:54.900 --> 00:00:57.160]  讓我們今天聆聽祢的話語
[00:00:57.160 --> 00:00:59.760]  有耳可聽的就應當聆聽
[00:00:59.760 --> 00:01:02.060]  我們禱告奉基督耶穌的聖名
[00:01:02.060 --> 00:01:06.960]  又是講到屍體約翰
[00:01:06.960 --> 00:01:09.760]  我已經第四次講屍體約翰了
[00:01:09.760 --> 00:01:10.760]  今年
[00:01:10.760 --> 00:01:14.460]  頭幾次的經歷都很奇怪的
[00:01:14.460 --> 00:01:17.060]  我都講到屍體約翰
[00:01:17.060 --> 00:01:18.860]  我都講到屍體約翰
[00:01:18.860 --> 00:01:19.860]  我都講到屍體約翰
[00:01:19.860 --> 00:01:20.860]  我都講到屍體約翰
[00:01:20.860 --> 00:01:21.360]  我都講到屍體約翰
[00:01:21.360 --> 00:01:21.860]  我都講到屍體約翰
[00:01:21.860 --> 00:01:22.360]  我都講到屍體約翰
[00:01:22.360 --> 00:01:22.860]  我都講到屍體約翰
[00:01:22.860 --> 00:01:23.360]  我都講到屍體約翰
[00:01:23.360 --> 00:01:23.860]  我都講到屍體約翰
[00:01:23.860 --> 00:01:24.360]  我都講到屍體約翰
[00:01:24.360 --> 00:01:40.360]  我都講到屍體約翰
[00:01:54.360 --> 00:01:57.160]  禮拜日就在這裡分享訊息
[00:01:57.160 --> 00:01:59.360]  那時候第一篇的訊息叫做
[00:01:59.360 --> 00:02:01.660]  《真道的見證者》
[00:02:01.660 --> 00:02:03.760]  就是從約翰福音的第一章
[00:02:03.760 --> 00:02:06.160]  講到屍體約翰那個獨特的
[00:02:06.160 --> 00:02:08.160]  使命和身份
[00:02:08.160 --> 00:02:10.060]  其實那次在醫院的經歷
[00:02:10.060 --> 00:02:12.360]  也是給我特別的感受到
[00:02:12.360 --> 00:02:13.360]  主要是對我
[00:02:13.360 --> 00:02:16.360]  透過身邊的人對我說話
[00:02:16.360 --> 00:02:17.660]  因為那時候我記得
[00:02:17.660 --> 00:02:19.260]  七十個小時沒有吃東西
[00:02:19.260 --> 00:02:20.660]  很肚餓的
[00:02:20.660 --> 00:02:22.960]  但竟然發現有個叔叔
[00:02:22.960 --> 00:02:25.360]  是鼓勵進食都不吃的
[00:02:25.360 --> 00:02:26.960]  可能有些人記得
