
[00:00:00.000 --> 00:00:02.000]  各位弟子們,平安!
[00:00:02.000 --> 00:00:06.000]  從我們開始的時候,我們先做一個祈禱
[00:00:06.000 --> 00:00:12.000]  當我們再次來到您的面前的時候,求您開啟我們的眼睛
[00:00:12.000 --> 00:00:18.000]  讓我們能夠看到您的恩典的唯美,並且對您的應許是有信心
[00:00:18.000 --> 00:00:21.000]  因為您的信術是何等的廣大
[00:00:21.000 --> 00:00:25.000]  禱告奉主耶穌基督的聖名,阿門
[00:00:26.000 --> 00:00:30.000]  各位弟子們,大家上一次吃盤菜是什麼時候呢?
[00:00:30.000 --> 00:00:35.000]  說起盤菜,大家腦子裡會想到什麼呢?
[00:00:35.000 --> 00:00:42.000]  瑤柱、花菇、鮑魚海參、蠔豉等等
[00:00:42.000 --> 00:00:44.000]  都是好東西來的
[00:00:44.000 --> 00:00:55.000]  但是如果拿出來的盤菜,鮑魚變成鮑魚菇,花膠變成豬皮
[00:00:56.000 --> 00:00:59.000]  大蝦變成小蝦,那你是不是會很失望呢?
[00:00:59.000 --> 00:01:04.000]  其實我們看名單,可能都是這樣的
[00:01:04.000 --> 00:01:08.000]  我們可能會喜歡看一些很威風的東西
[00:01:08.000 --> 00:01:14.000]  例如那些HSE的名單,我們會喜歡看誰考了100分
[00:01:14.000 --> 00:01:22.000]  我們看那些社會傑出人士,我們會看誰是十大富豪
[00:01:22.000 --> 00:01:25.000]  我們看家鋪,可能都是這樣的
[00:01:26.000 --> 00:01:30.000]  我準備這份講章的時候,我也看一下我自己的家鋪
[00:01:30.000 --> 00:01:38.000]  原來發覺我的家鋪可以追溯到浙江的金華
[00:01:38.000 --> 00:01:44.000]  金華是唐朝的唐初四傑
[00:01:44.000 --> 00:01:53.000]  再數上一點,原來是姜太公的後代,公子樂
[00:01:54.000 --> 00:01:58.000]  這些好像是很有名的人士
[00:01:58.000 --> 00:02:02.000]  因為他有名,所以才會寫下來
[00:02:02.000 --> 00:02:08.000]  如果是黑歷史,我全部都看不到
[00:02:08.000 --> 00:02:17.000]  同樣,我們也不會提那些不光彩的歷史
[00:02:18.000 --> 00:02:24.000]  正如我們澳洲先代的移民
[00:02:24.000 --> 00:02:29.000]  我們都知道很多時候都是被流放的監犯
[00:02:29.000 --> 00:02:31.000]  但是我們都不會說的
[00:02:31.000 --> 00:02:38.000]  但是當我們打開我們耶穌的家鋪的時候
[00:02:38.000 --> 00:02:42.000]  你確實會很驚訝地看到這份名單是很不同的
[00:02:42.000 --> 00:02:47.000]  雖然我們很多時候都會看到名單
[00:02:48.000 --> 00:02:50.000]  這些字都黑漆漆的,不知道在說什麼
[00:02:50.000 --> 00:02:56.000]  都不看,直到今天才知道是在說這些
[00:02:56.000 --> 00:02:59.000]  如果有留心看的人
[00:02:59.000 --> 00:03:06.000]  大家可能都會發覺裡面有外邦女子
[00:03:06.000 --> 00:03:09.000]  代表什麼呢?就是你的血統不純正
[00:03:09.000 --> 00:03:15.000]  有失敗的王,就是不是偉大光明正確
[00:03:16.000 --> 00:03:24.000]  也有些嚴重的罪犯,就是有殺人有強姦
[00:03:24.000 --> 00:03:27.000]  為什麼馬太要這樣寫呢?
[00:03:27.000 --> 00:03:31.000]  他到底要跟讀者說什麼呢?
[00:03:31.000 --> 00:03:38.000]  是不是這份家譜隱藏了一些比榮耀更加重要的信息呢?
[00:03:38.000 --> 00:03:45.000]  大家都知道,馬太福音寫了的對象就是當代的猶太人
[00:03:46.000 --> 00:03:52.000]  因此家譜就不只是他們血脈的紀錄
[00:03:52.000 --> 00:03:55.000]  更加是一份身份的證明
[00:03:55.000 --> 00:03:58.000]  特別是當他們秘魯回歸之後
[00:03:58.000 --> 00:04:01.000]  他們誰才可以做什麼職位
