
[00:00:00.000 --> 00:00:02.000]  一個很有趣的故事
[00:00:02.000 --> 00:00:04.000]  一個有錢人患了重病
[00:00:04.000 --> 00:00:08.000]  他臨死的時候就叫了三個老朋友
[00:00:08.000 --> 00:00:10.000]  來到他床前
[00:00:10.000 --> 00:00:12.000]  作他最後的遺言
[00:00:12.000 --> 00:00:14.000]  這三個人
[00:00:14.000 --> 00:00:16.000]  一個是他的私人醫生
[00:00:16.000 --> 00:00:18.000]  一個是他的牧師
[00:00:18.000 --> 00:00:20.000]  一個是他的律師
[00:00:20.000 --> 00:00:22.000]  他就這樣跟這三位朋友說
[00:00:22.000 --> 00:00:24.000]  牧師常常教導我們說
[00:00:24.000 --> 00:00:26.000]  我們不能夠帶什麼來到世上
[00:00:26.000 --> 00:00:28.000]  也不能帶什麼離開世上
[00:00:28.000 --> 00:00:30.000]  因為死了之後
[00:00:30.000 --> 00:00:32.000]  一切都不屬於你
[00:00:32.000 --> 00:00:34.000]  你是空手而來空手而去
[00:00:34.000 --> 00:00:36.000]  但我一直都不相信這句說話
[00:00:36.000 --> 00:00:38.000]  我都想試一試
[00:00:38.000 --> 00:00:40.000]  我是不是真的死了之後
[00:00:40.000 --> 00:00:42.000]  什麼都不能帶走
[00:00:42.000 --> 00:00:44.000]  所以我要做一個實驗
[00:00:44.000 --> 00:00:46.000]  但我這個實驗就需要三位朋友幫幫忙
[00:00:46.000 --> 00:00:48.000]  好見我死都死得眼閉
[00:00:48.000 --> 00:00:50.000]  在這裡有三個大信封
[00:00:50.000 --> 00:00:52.000]  每個信封有一億元的美金
[00:00:52.000 --> 00:00:54.000]  你每個人
[00:00:54.000 --> 00:00:58.000]  都有一個信封
[00:00:58.000 --> 00:01:00.000]  但你要發誓答應我一件事
[00:01:00.000 --> 00:01:02.000]  當我下葬那天
[00:01:02.000 --> 00:01:04.000]  你要將這個大信封裏面的一億元
[00:01:04.000 --> 00:01:06.000]  我不知道要怎樣放進去
[00:01:06.000 --> 00:01:08.000]  一億元的信封裏面
[00:01:08.000 --> 00:01:10.000]  你不要問我這個問題
[00:01:10.000 --> 00:01:12.000]  一起將信封放進墓穴裏面
[00:01:12.000 --> 00:01:14.000]  作為我陪葬之用
[00:01:14.000 --> 00:01:16.000]  我看看我可不可以
[00:01:16.000 --> 00:01:18.000]  帶著三億元美金上天堂
[00:01:18.000 --> 00:01:20.000]  這三位朋友
[00:01:20.000 --> 00:01:22.000]  有老友
[00:01:22.000 --> 00:01:24.000]  問到當然
[00:01:24.000 --> 00:01:26.000]  好我們一於答應
[00:01:26.000 --> 00:01:28.000]  這個有錢人死了
[00:01:28.000 --> 00:01:30.000]  他們合理將他埋葬
[00:01:30.000 --> 00:01:32.000]  他們亦都三個人
[00:01:32.000 --> 00:01:34.000]  是按照他們的諾言
[00:01:34.000 --> 00:01:36.000]  將信封放進墳墓裏面
[00:01:36.000 --> 00:01:38.000]  大家要走的時候
[00:01:38.000 --> 00:01:40.000]  這個醫生
[00:01:40.000 --> 00:01:42.000]  忽然對其他兩位朋友說
[00:01:42.000 --> 00:01:44.000]  大家老友鬼鬼
[00:01:44.000 --> 00:01:46.000]  都不瞞你往
[00:01:46.000 --> 00:01:48.000]  昨晚我掙扎了很久
[00:01:50.000 --> 00:01:52.000]  眼見我醫院的床位不足
[00:01:52.000 --> 00:01:54.000]  醫療設備不夠水準
[00:01:54.000 --> 00:01:56.000]  很多病人
[00:01:56.000 --> 00:01:58.000]  沒錢看醫生
[00:01:58.000 --> 00:02:00.000]  我怎會忍心將一億元美金
[00:02:00.000 --> 00:02:02.000]  白白扔在地上
[00:02:02.000 --> 00:02:04.000]  我相信我朋友
[00:02:04.000 --> 00:02:06.000]  是很明白和很體諒
[00:02:06.000 --> 00:02:08.000]  所以我就將這筆錢
[00:02:08.000 --> 00:02:10.000]  用在醫院裏面
[00:02:10.000 --> 00:02:12.000]  我剛才扔進去的信封
[00:02:12.000 --> 00:02:14.000]  只不過是代表病人
[00:02:14.000 --> 00:02:16.000]  一張多謝卡
[00:02:16.000 --> 00:02:18.000]  律師一看
[00:02:18.000 --> 00:02:20.000]  律師一聽到的時候
[00:02:20.000 --> 00:02:22.000]  就嚴詞斥責這個醫生
[00:02:22.000 --> 00:02:24.000]  這筆錢就應該
[00:02:24.000 --> 00:02:26.000]  埋葬在這裏
[00:02:26.000 --> 00:02:28.000]  是我們的好朋友
[00:02:28.000 --> 00:02:30.000]  臨死的時候的忠告
[00:02:30.000 --> 00:02:32.000]  和吩咐
[00:02:32.000 --> 00:02:34.000]  我們是受託人
[00:02:34.000 --> 00:02:36.000]  起了誓的
[00:02:36.000 --> 00:02:38.000]  怎可以食言
[00:02:38.000 --> 00:02:40.000]  無論在法律上道義上
[00:02:40.000 --> 00:02:42.000]  你是大錯特錯
[00:02:42.000 --> 00:02:44.000]  罪無可恕
[00:02:44.000 --> 00:02:46.000]  律師律師我不同意你的看法
[00:02:46.000 --> 00:02:48.000]  他怎樣教導我們
