
[00:00:00.000 --> 00:00:02.000]  讓我們一起禱告
[00:00:30.000 --> 00:00:32.740]  好叫我們每一個屬祢的人
[00:00:32.740 --> 00:00:34.240]  能夠通過祢的話
[00:00:34.240 --> 00:00:36.240]  得釋放得提醒
[00:00:36.240 --> 00:00:38.240]  又願意賜下
[00:00:38.240 --> 00:00:39.740]  我們能夠有力量
[00:00:39.740 --> 00:00:41.740]  走每天跟從祢的路
[00:00:41.740 --> 00:00:43.440]  我們這樣祈禱
[00:00:43.440 --> 00:00:45.440]  是奉群洋大牧者
[00:00:45.440 --> 00:00:47.740]  我主耶穌基督的名求
[00:00:47.740 --> 00:00:49.740]  阿們
[00:00:49.740 --> 00:00:53.740]  離開或者叫做走出祢的安全地帶
[00:00:55.740 --> 00:01:00.240]  記得過去在十多天美國旅行的時候
[00:01:00.240 --> 00:01:03.240]  我來到一個地方叫做
[00:01:03.240 --> 00:01:05.240]  Horseshoe Bay
[00:01:05.240 --> 00:01:07.240]  一個叫做馬蹄灣
[00:01:07.240 --> 00:01:10.240]  去過頂梓梅可能都會留意到
[00:01:10.240 --> 00:01:12.240]  當走進去的時候
[00:01:12.240 --> 00:01:14.240]  有一個很大的水牌
[00:01:14.240 --> 00:01:16.240]  或者叫做路牌
[00:01:16.240 --> 00:01:18.240]  它就提醒
[00:01:18.240 --> 00:01:20.240]  在這個Horseshoe Bay來到
[00:01:20.240 --> 00:01:22.240]  Hiking的人
[00:01:22.240 --> 00:01:24.240]  要遠足也好,要走也好
[00:01:24.240 --> 00:01:26.240]  都要小心
[00:01:26.240 --> 00:01:28.240]  看看那個提示
[00:01:28.240 --> 00:01:30.240]  有五點,我看到第一點就是
[00:01:30.240 --> 00:01:32.240]  他說要小心
[00:01:32.240 --> 00:01:36.240]  這裡是沒有任何的欄杆的
[00:01:36.240 --> 00:01:40.240]  所以它有1000呎高
[00:01:40.240 --> 00:01:42.240]  如果我們計算出來
[00:01:42.240 --> 00:01:44.240]  就是305米
[00:01:44.240 --> 00:01:46.240]  如果我們說
[00:01:46.240 --> 00:01:48.240]  一層樓大概3米高的時候
[00:01:48.240 --> 00:01:50.240]  它就即是有100層樓
[00:01:50.240 --> 00:01:52.240]  他說要小心
[00:01:52.240 --> 00:01:54.240]  因為沒有欄杆的時候
[00:01:54.240 --> 00:01:56.240]  當如果
[00:01:56.240 --> 00:02:00.240]  你離開了那個界線的時候
[00:02:00.240 --> 00:02:02.240]  你就會走出了
[00:02:02.240 --> 00:02:04.240]  走著走著不覺得
[00:02:04.240 --> 00:02:06.240]  因為風光如此美好
[00:02:06.240 --> 00:02:08.240]  被吸引走著走著
[00:02:08.240 --> 00:02:10.240]  你以為走出一點
[00:02:10.240 --> 00:02:12.240]  都還有邊緣位的
[00:02:12.240 --> 00:02:14.240]  原來你踩著那些石頭
[00:02:14.240 --> 00:02:16.240]  是會鬆脫的
[00:02:16.240 --> 00:02:18.240]  因為其實那些岩層
[00:02:18.240 --> 00:02:20.240]  的結構就不是
[00:02:20.240 --> 00:02:22.240]  一塊大石的
[00:02:22.240 --> 00:02:24.240]  是由很多的石頭慢慢推上來
[00:02:24.240 --> 00:02:26.240]  在地殼移動
[00:02:26.240 --> 00:02:28.240]  所以很多遊人試過
[00:02:28.240 --> 00:02:30.240]  在這裡一踩的時候
[00:02:30.240 --> 00:02:32.240]  以為去拍照
[00:02:32.240 --> 00:02:34.240]  走著走著出一點
[00:02:34.240 --> 00:02:36.240]  突然間鬆一鬆的時候
[00:02:36.240 --> 00:02:38.240]  整塊大石就掉到下面100層
[00:02:38.240 --> 00:02:40.240]  大家會想像到
[00:02:40.240 --> 00:02:42.240]  由100層掉下來
[00:02:42.240 --> 00:02:44.240]  你會怎樣呢?
