
[00:00:00.000 --> 00:00:07.000]  弟兄姊妹,早安,想想現在幾點鐘,早安,嘴裏面平安
[00:00:07.000 --> 00:00:15.000]  我相信大家都有讀過聖經,特別可能最多的蝙蝠去讀的經文就會是四福音,是嗎?
[00:00:15.000 --> 00:00:19.000]  大家有沒有留意在四福音裏面講到耶穌的生平?
[00:00:19.000 --> 00:00:26.000]  在馬可和約翰福音,耶穌出場的時候,祂幾多歲?
[00:00:26.000 --> 00:00:29.000]  有沒有留意到?
[00:00:29.000 --> 00:00:39.000]  是三十歲了,是一個成年人,在馬太福音和路加福音,耶穌出場的時候,是一個嬰兒
[00:00:39.000 --> 00:00:45.000]  甚至再早一點的已經在瑪利亞的土福裏面出現
[00:00:45.000 --> 00:00:53.000]  所以如果沒有了馬太福音和路加福音的話,我相信大家就想像不到聖經是甚麼樣子的
[00:00:53.000 --> 00:00:58.000]  很靠這兩卷福音書給我們看見耶穌出世的情況
[00:00:58.000 --> 00:01:04.000]  不過縱使嬰孩耶穌出現在馬太福音和路加福音,篇幅都是很短的
[00:01:04.000 --> 00:01:10.000]  又是揭一揭,祂又變了三十歲,是一個成年人
[00:01:10.000 --> 00:01:19.000]  的確在福音書裏面對於耶穌由嬰孩到成人之間的資料真的不是很多
[00:01:19.000 --> 00:01:23.000]  所以亦因為這樣有很多的夜史出現
[00:01:23.000 --> 00:01:30.000]  不知道大家聽過這些,不是聖經說的,是一些傳說當中耶穌的事跡
[00:01:30.000 --> 00:01:35.000]  我去看的時候都覺得很有趣,想和大家分享一下
[00:01:35.000 --> 00:01:37.000]  其中一個傳說是這樣說的
[00:01:37.000 --> 00:01:41.000]  耶穌在小時候和一班小朋友一起玩
[00:01:41.000 --> 00:01:46.000]  玩著玩著,就有一個小朋友在二樓跳了下來,跌死了
[00:01:46.000 --> 00:01:50.000]  其他小朋友見到就很害怕,就四散走了
[00:01:50.000 --> 00:01:54.000]  只剩下耶穌和這個小朋友
[00:01:54.000 --> 00:01:58.000]  這個孩子的爸爸媽媽來到見到就一口咬定
[00:01:58.000 --> 00:02:03.000]  當然是你弄死我的兒子的,就抓住耶穌
[00:02:03.000 --> 00:02:06.000]  耶穌當然是否認,不是的,我沒有做過的
[00:02:06.000 --> 00:02:09.000]  不過這對父母仍然是不相信
[00:02:09.000 --> 00:02:14.000]  然後耶穌就走上去屋上,又跳了下來
[00:02:14.000 --> 00:02:16.000]  當然他是耶穌,他沒事了
[00:02:16.000 --> 00:02:20.000]  走到這個小朋友的前面就說
[00:02:20.000 --> 00:02:26.000]  你快點起來,告訴你爸爸媽媽,究竟是不是我推你下來的
[00:02:26.000 --> 00:02:30.000]  這個小朋友就醒了,就說了
[00:02:30.000 --> 00:02:34.000]  不是你推我下來,不過現在是你叫我起來的
[00:02:34.000 --> 00:02:39.000]  另一個傳說是說,有一次耶穌叫了一棵棕櫚樹
[00:02:39.000 --> 00:02:43.000]  彎下腰來撫摸他的媽媽
[00:02:43.000 --> 00:02:48.000]  也有一次,耶穌用泥土製作了十二隻燕子
[00:02:48.000 --> 00:02:52.000]  拍拍手,這十二隻燕子就飛走了
[00:02:52.000 --> 00:02:55.000]  好像很有趣,很神奇,很有趣
[00:02:55.000 --> 00:02:57.000]  不過這些是傳說
[00:02:57.000 --> 00:03:00.000]  事實上,在《新約世經》的四福音裏面
[00:03:00.000 --> 00:03:02.000]  只有《路加福音》第二章
[00:03:02.000 --> 00:03:05.000]  是有一個小的段落去講述到
[00:03:05.000 --> 00:03:09.000]  耶穌由嬰孩去到成人之間的一些片段
[00:03:09.000 --> 00:03:13.000]  我相信大家都會記得有西冕阿娜的故事
[00:03:13.000 --> 00:03:16.000]  也有今天我和大家一起去看的經文
[00:03:16.000 --> 00:03:19.000]  孩童耶穌上聖殿的事情
[00:03:19.000 --> 00:03:21.000]  按照《路加福音》的記載
[00:03:21.000 --> 00:03:23.000]  耶穌很主動地做一件事
[00:03:23.000 --> 00:03:25.000]  就是玩失蹤
[00:03:25.000 --> 00:03:28.000]  待會我們讀經文就會知道
[00:03:28.000 --> 00:03:30.000]  他玩失蹤
[00:03:30.000 --> 00:03:34.000]  對於小朋友來說,玩失蹤是一件沒什麼大不了的事情
[00:03:34.000 --> 00:03:39.000]  但對於作為父母的,兒子不見了
[00:03:39.000 --> 00:03:43.000]  就是一件相當驚心動魄的事情
[00:03:43.000 --> 00:03:47.000]  大家試過,有一天
[00:03:47.000 --> 00:03:49.000]  明明你兒子,你女兒去上學
[00:03:49.000 --> 00:03:51.000]  你收到學校的電話
[00:03:51.000 --> 00:03:53.000]  就告訴你
[00:03:53.000 --> 00:03:57.000]  麻煩你,我想通知你
[00:03:57.000 --> 00:04:00.000]  今天早上就收到一個人
[00:04:00.000 --> 00:04:04.000]  是某某某,你的兒女的監護人
[00:04:04.000 --> 00:04:07.000]  說他有病,沒有上學
[00:04:07.000 --> 00:04:09.000]  那一刻你會怎樣呢?
[00:04:09.000 --> 00:04:11.000]  監護人就是我
[00:04:11.000 --> 00:04:15.000]  但明明是看著自己的兒女去上學
[00:04:15.000 --> 00:04:17.000]  你的心情會是怎樣?
