
[00:00:00.000 --> 00:00:05.000]  早晨,很高興能在當中跟大家分享上帝的話語
[00:00:05.000 --> 00:00:10.000]  今天我跟大家分享希伯來書第十三章段落
[00:00:10.000 --> 00:00:13.000]  我們可以從寫作手法
[00:00:13.000 --> 00:00:17.000]  我們留意到是一個三文字式的寫作手法
[00:00:17.000 --> 00:00:22.000]  頭尾的段落呼應著,互相呼應
[00:00:22.000 --> 00:00:25.000]  而中間九節十四節的段落
[00:00:25.000 --> 00:00:29.000]  是整個論述裡的一個關鍵地方
[00:00:29.000 --> 00:00:33.000]  我們可以從九節十四節這個段落裡看到
[00:00:33.000 --> 00:00:37.000]  一開始作者就用了命令式的手法來講
[00:00:37.000 --> 00:00:41.000]  不要被勾引去了,開始
[00:00:41.000 --> 00:00:47.000]  然後用一些假設式的語法來勸勉弟兄姊妹
[00:00:47.000 --> 00:00:53.000]  這種勸勉格式,用了直述式和命令式
[00:00:53.000 --> 00:00:56.000]  和假設式的交替來運用
[00:00:56.000 --> 00:00:59.000]  這就是寫作的方式,讓我們看到
[00:00:59.000 --> 00:01:02.000]  作者他不是用一個很高壓的姿態
[00:01:02.000 --> 00:01:07.000]  而是很深情地來勸勉發出這段說話
[00:01:07.000 --> 00:01:10.000]  在這個前後部份裡面,這個中間部份
[00:01:10.000 --> 00:01:14.000]  被包圍著的是整個段落的重心所在
[00:01:14.000 --> 00:01:16.000]  九節十四節
[00:01:16.000 --> 00:01:18.000]  希伯來書的作者
[00:01:18.000 --> 00:01:23.000]  將追隨基督作為承傳信仰的目的去演繹
[00:01:23.000 --> 00:01:27.000]  靠著對將來的認定來實踐信心
[00:01:27.000 --> 00:01:29.000]  在現今的日子
[00:01:29.000 --> 00:01:34.000]  這是每一個跟隨主的人應該有的信念
[00:01:34.000 --> 00:01:37.000]  我們可以由作者在中間部份裡面的論述
[00:01:37.000 --> 00:01:41.000]  他多次以一個命令句式,一個要求的句式
[00:01:41.000 --> 00:01:44.000]  來演繹他對信徒的鼓勵
