
[00:00:00.000 --> 00:00:03.960]  讓姐妹們平安,然後我們一起來祈禱
[00:00:03.960 --> 00:00:07.240]  天父,我們感謝讚美祢自己的恩典
[00:00:07.240 --> 00:00:10.240]  讓我們在主耶穌的清神可以在這裡聚集
[00:00:10.240 --> 00:00:14.080]  祥師帶著歡喜法律的心來讚美祢
[00:00:14.080 --> 00:00:16.880]  現在我們要聆聽祢的話語
[00:00:16.880 --> 00:00:18.720]  我們求聖靈幫助我們
[00:00:18.720 --> 00:00:22.160]  能夠讓講完講得清楚
[00:00:22.160 --> 00:00:23.680]  聽的也聽得明白
[00:00:23.680 --> 00:00:26.560]  並且樂意進行祢自己的話語
[00:00:26.560 --> 00:00:29.320]  奉耶穌基督的名祈禱,阿們
[00:00:31.000 --> 00:00:36.520]  上個星期,我們看到天使加伯列向撒加利亞宣告
[00:00:36.520 --> 00:00:45.120]  她的年紀大了,而又不能夠生育的妻子伊利沙伯會懷孕
[00:00:45.120 --> 00:00:49.680]  撒加利亞和她的妻子結了婚幾十年
[00:00:49.680 --> 00:00:53.320]  又努力又祈禱了幾十年
[00:00:53.320 --> 00:00:56.480]  都是無兒無女
[00:00:56.480 --> 00:01:00.480]  而當天使向撒加利亞報信後
[00:01:00.480 --> 00:01:04.480]  妻子伊利沙伯果然懷了孕
[00:01:04.480 --> 00:01:09.480]  這對兩夫妻來說是最好的訊息
[00:01:09.480 --> 00:01:12.480]  在今天的經文中
[00:01:12.480 --> 00:01:16.480]  我們又看到同一位天使加伯列
[00:01:16.480 --> 00:01:22.480]  向另一個人預告一個嬰兒誕生的預言
[00:01:23.480 --> 00:01:29.480]  這個誕生的預言讓我們看到一個更加神奇的神蹟
[00:01:29.480 --> 00:01:35.480]  就是未出嫁的童女會懷孕生子
[00:01:35.480 --> 00:01:39.480]  當然,在我們今天的時代
[00:01:39.480 --> 00:01:42.480]  未出嫁而懷孕的女孩子到處都是
[00:01:42.480 --> 00:01:45.480]  中國、香港、澳洲都是一樣的
[00:01:45.480 --> 00:01:48.480]  我們都習以為常
[00:01:48.480 --> 00:01:52.480]  幾年前,我有位教會的朋友
[00:01:52.480 --> 00:01:54.480]  他的女兒出嫁了
[00:01:54.480 --> 00:01:56.480]  還請我喝酒
[00:01:56.480 --> 00:01:58.480]  她告訴我
[00:01:58.480 --> 00:02:02.480]  她的女兒已經懷孕了
[00:02:02.480 --> 00:02:04.480]  我安慰她
[00:02:04.480 --> 00:02:06.480]  我現代的年輕人
[00:02:06.480 --> 00:02:09.480]  懷孕了都還肯選擇結婚
[00:02:09.480 --> 00:02:12.480]  而不是同居了事已經要感恩
[00:02:12.480 --> 00:02:15.480]  不要緊緊於懷孕
[00:02:15.480 --> 00:02:18.480]  不過在兩千年前的時候
[00:02:18.480 --> 00:02:21.480]  在猶太人的社會當中
[00:02:21.480 --> 00:02:25.480]  是不流行未結婚
[00:02:25.480 --> 00:02:29.480]  就隨便跟男性發生關係
[00:02:29.480 --> 00:02:32.480]  為什麼呢?
[00:02:32.480 --> 00:02:35.480]  因為如果有這種事情發生
[00:02:35.480 --> 00:02:38.480]  按照摩西的律法
[00:02:38.480 --> 00:02:44.480]  那對男女都是要被判處死刑的
[00:02:44.480 --> 00:02:49.480]  有點像我們中國古代的浸豬籠
[00:02:49.480 --> 00:02:52.480]  最近如果我們有留意新聞
[00:02:52.480 --> 00:02:56.480]  印尼都通過了一條法例
[00:02:56.480 --> 00:03:01.480]  禁止婚前性行為和同居
[00:03:01.480 --> 00:03:04.480]  所以瑪利亞這位同女
[00:03:04.480 --> 00:03:08.480]  收到一個未婚而懷孕的訊息
[00:03:08.480 --> 00:03:12.480]  起初並不是一個喜訊
[00:03:12.480 --> 00:03:16.480]  而是會令她感到驚慌的訊息
[00:03:16.480 --> 00:03:19.480]  但後來她想清楚了之後
[00:03:19.480 --> 00:03:22.480]  她就歡喜快樂
[00:03:22.480 --> 00:03:27.480]  所以今天的講題是「又是喜訊」
[00:03:27.480 --> 00:03:31.480]  讓我們一起詳細思想今天的經文
[00:03:31.480 --> 00:03:34.480]  《盧家福音》一章26至27節
[00:03:34.480 --> 00:03:37.480]  就將這件事的背景告訴我們
[00:03:37.480 --> 00:03:41.480]  天使加伯列奉上帝差遣
[00:03:41.480 --> 00:03:45.480]  去到加利利的拿撒勒城
[00:03:45.480 --> 00:03:48.480]  這個城都是耶穌長大的地方
[00:03:48.480 --> 00:03:50.480]  讓我們看一幅地圖
[00:03:50.480 --> 00:03:55.480]  稍為了解拿撒勒城的地理位置
[00:03:55.480 --> 00:03:59.480]  拿撒勒城是在加利利湖的西南面
[00:03:59.480 --> 00:04:02.480]  是一個小城
[00:04:02.480 --> 00:04:05.480]  26至1開始就提到
[00:04:05.480 --> 00:04:09.480]  天使加伯列奉上帝差遣
[00:04:09.480 --> 00:04:15.480]  去傳一個訊息給一個名叫瑪利亞的童女
[00:04:15.480 --> 00:04:19.480]  童女的年齡有多大呢?
[00:04:19.480 --> 00:04:24.480]  當代的猶太人流行早婚
[00:04:24.480 --> 00:04:26.480]  27節告訴我們
[00:04:26.480 --> 00:04:29.480]  這個童女已經跟大衛家族
[00:04:29.480 --> 00:04:33.480]  一個名叫「約瑟的男子」定了婚
[00:04:33.480 --> 00:04:37.480]  所以這位童女大概年齡
[00:04:37.480 --> 00:04:41.480]  大概年齡是在12至16歲之間
[00:04:41.480 --> 00:04:46.480]  古代猶太人結婚的習俗是分兩步
[00:04:46.480 --> 00:04:48.480]  先訂婚
[00:04:48.480 --> 00:04:51.480]  訂婚的時候有公眾做證人
[00:04:51.480 --> 00:04:55.480]  男方也會送禮物給女家
[00:04:55.480 --> 00:04:58.480]  訂了婚大約一年之後
[00:04:58.480 --> 00:05:01.480]  新郎就會接新娘回家
[00:05:01.480 --> 00:05:03.480]  正式結婚
[00:05:03.480 --> 00:05:08.480]  那個時候要請客,要宴客七天
[00:05:08.480 --> 00:05:10.480]  接著下去經文
[00:05:10.480 --> 00:05:14.480]  我們看到天使去到瑪利亞的家
[00:05:14.480 --> 00:05:16.480]  突然間向他顯現
[00:05:16.480 --> 00:05:20.480]  所以瑪利亞感到很驚慌
[00:05:20.480 --> 00:05:23.480]  突然間見到一個陌生人出現在你家
[00:05:23.480 --> 00:05:26.480]  又稱呼自己為蒙大恩的女子
[00:05:26.480 --> 00:05:28.480]  你好,主和,你同在
[00:05:28.480 --> 00:05:31.480]  瑪利亞感到驚慌是很正常的
[00:05:31.480 --> 00:05:35.480]  我想我們也會感到驚慌
[00:05:35.480 --> 00:05:38.480]  天使首先安慰瑪利亞
[00:05:38.480 --> 00:05:40.480]  叫她不要害怕
[00:05:40.480 --> 00:05:42.480]  還馬上對她說
[00:05:42.480 --> 00:05:47.480]  你在上帝面前已經蒙恩了
[00:05:47.480 --> 00:05:50.480]  我不知道有沒有人不喜歡上帝的恩典
[00:05:50.480 --> 00:05:52.480]  我一定喜歡恩典
[00:05:52.480 --> 00:05:56.480]  恩典一定比懲罰好
[00:05:56.480 --> 00:06:00.480]  但是瑪利亞還未來得及開心
[00:06:00.480 --> 00:06:02.480]  天使馬上告訴她
[00:06:02.480 --> 00:06:06.480]  上帝的恩典是要她懷孕生子
[00:06:06.480 --> 00:06:10.480]  我想瑪利亞一聽到這句話
[00:06:10.480 --> 00:06:12.480]  可能已經在心裡盤算
[00:06:12.480 --> 00:06:16.480]  我還未出嫁,為什麼會有這種事?
[00:06:16.480 --> 00:06:19.480]  我剛才也提過
[00:06:19.480 --> 00:06:21.480]  一個未出嫁女子懷孕的話
[00:06:21.480 --> 00:06:25.480]  在當時的社會是不能容許的
[00:06:25.480 --> 00:06:27.480]  是會被判死刑的
[00:06:27.480 --> 00:06:30.480]  根據馬太福今日記載
[00:06:30.480 --> 00:06:33.480]  連瑪利亞的未婚夫約瑟
[00:06:33.480 --> 00:06:35.480]  當他知道瑪利亞懷孕之後
[00:06:35.480 --> 00:06:40.480]  其實他也想和瑪利亞解除婚約
[00:06:40.480 --> 00:06:44.480]  不過後來有天使向約瑟報夢
[00:06:44.480 --> 00:06:46.480]  要他娶瑪利亞
[00:06:46.480 --> 00:06:50.480]  他才沒有休憩瑪利亞
[00:06:50.480 --> 00:06:56.480]  好,瑪利亞要懷的胎有什麼特別呢?
[00:06:56.480 --> 00:07:03.480]  為什麼天使會說那是上帝賜給瑪利亞的恩典呢?
[00:07:03.480 --> 00:07:07.480]  原來瑪利亞要生的兒子就是耶穌
[00:07:07.480 --> 00:07:09.480]  這個名字是天使起的
[00:07:09.480 --> 00:07:12.480]  意思是拯救者
[00:07:12.480 --> 00:07:14.480]  今天很少人會用這個名字
[00:07:14.480 --> 00:07:16.480]  不過當時的社會
[00:07:16.480 --> 00:07:19.480]  這個其實不是一個很特別的名字
[00:07:19.480 --> 00:07:24.480]  因為耶穌就是舊約裡面約書的名字
[00:07:24.480 --> 00:07:27.480]  很多人都會用這個名字
[00:07:27.480 --> 00:07:32.480]  但是瑪利亞要生的耶穌會怎樣呢?
