
[00:00:00.000 --> 00:00:02.640]  我們的主題是要來榮耀主
[00:00:02.640 --> 00:00:04.000]  我想
[00:00:04.000 --> 00:00:07.280]  其實我們的問題不是我們榮耀主
[00:00:07.280 --> 00:00:09.980]  不榮耀主 因為我們不能增加
[00:00:09.980 --> 00:00:11.220]  神的榮耀
[00:00:11.220 --> 00:00:14.460]  大家都記得吧 世人都犯了罪 什麼是罪呢
[00:00:14.460 --> 00:00:17.560]  是虧缺神的榮耀
[00:00:17.560 --> 00:00:20.560]  所以其實我們沒有辦法增加神的榮耀
[00:00:20.560 --> 00:00:23.600]  我們怎麼榮耀主呢 我們也不能因為我
[00:00:23.600 --> 00:00:26.480]  做什麼榮耀主 因為我們常常有一個
[00:00:26.480 --> 00:00:29.480]  觀念 我們中國人有這個光宗耀祖的
[00:00:29.480 --> 00:00:32.480]  觀念 所以我要很有出息 我要很有成就
[00:00:32.480 --> 00:00:35.480]  以後我的祖先就以我為榮
[00:00:35.480 --> 00:00:38.480]  我們的上帝
[00:00:38.480 --> 00:00:41.040]  會因為我的成就以我為榮嗎
[00:00:41.040 --> 00:00:44.120]  我還記得我剛剛出來侍奉不久 在台灣
[00:00:44.120 --> 00:00:46.720]  有一次帶領我的Mantle 台亞歌牧師
[00:00:46.720 --> 00:00:49.720]  我們去看一個以前這個國民政府裡面
[00:00:49.720 --> 00:00:52.720]  這個高級的財政的官員
[00:00:52.720 --> 00:00:56.120]  向他傳福音 那這個人說
[00:00:56.120 --> 00:00:59.320]  你講得很好 我在上海彌托生也聽過
[00:00:59.320 --> 00:01:02.320]  什麼什麼名人都聽過 不過
[00:01:02.320 --> 00:01:05.320]  我還沒有信 但是我如果要信
[00:01:05.320 --> 00:01:08.320]  好像言下之意就是上帝會以我為榮
[00:01:08.320 --> 00:01:11.320]  有的時候我們常常要讓上帝以我為榮
[00:01:11.320 --> 00:01:14.320]  其實我們只要不要讓上帝
[00:01:14.320 --> 00:01:17.320]  丟臉就好了 因為我們怎麼
[00:01:17.320 --> 00:01:20.320]  能夠讓上帝得到榮耀呢 就是恢復
[00:01:20.320 --> 00:01:23.320]  上帝在我們生命裡面的作為跟榮耀
[00:01:23.320 --> 00:01:26.320]  所以我相信我們有這個心
[00:01:26.320 --> 00:01:29.320]  我們願意用這個來做主題 我們已經有一個
[00:01:29.320 --> 00:01:32.320]  很好的開始 所以我們一起禱告好不好 我們一起禱告
[00:01:32.320 --> 00:01:38.320]  主愛的天父 我們能聚集在你的面前
[00:01:38.320 --> 00:01:41.320]  我們是你的兒女 我們是你用保血
[00:01:41.320 --> 00:01:44.320]  藉著耶穌基督的犧牲
[00:01:44.320 --> 00:01:47.320]  所尋找拯救挽回得來的
[00:01:47.320 --> 00:01:50.320]  你接納我們
[00:01:50.320 --> 00:01:53.320]  成為你的家中的一員 你接受我們
[00:01:53.320 --> 00:01:56.320]  成為你身體的一個肢體
