
[00:00:00.000 --> 00:00:02.000]  各位聽眾早安!
[00:00:02.000 --> 00:00:05.000]  很高興可以在此與大家一起
[00:00:05.000 --> 00:00:06.500]  透過神的話語
[00:00:06.500 --> 00:00:08.000]  我們可以彼此激勵
[00:00:08.000 --> 00:00:09.000]  互相勸勉
[00:00:09.000 --> 00:00:10.500]  在正道之先的時間
[00:00:10.500 --> 00:00:12.000]  我們大家一齊禱告
[00:00:12.000 --> 00:00:16.000]  愛我們的上帝,我們感謝祢
[00:00:16.000 --> 00:00:20.000]  祢給我們有好的陽光
[00:00:20.000 --> 00:00:23.000]  祢給我們有好的天氣
[00:00:23.000 --> 00:00:26.000]  但主要這些都不是必然的
[00:00:26.000 --> 00:00:29.000]  我們今天能夠在教會當中
[00:00:29.000 --> 00:00:33.000]  一起思考祢的話語
[00:00:33.000 --> 00:00:35.000]  能夠有健康
[00:00:35.000 --> 00:00:37.000]  主,這些都是祢的恩典
[00:00:37.000 --> 00:00:41.000]  主,願祢讓我們帶著感恩的心
[00:00:41.000 --> 00:00:44.000]  藉著祢的話去督責我們
[00:00:44.000 --> 00:00:48.000]  無論是說的,無論是聽的
[00:00:48.000 --> 00:00:50.000]  我們都是蒙祢所祝福
[00:00:50.000 --> 00:00:51.000]  我們這樣禱告
[00:00:51.000 --> 00:00:53.000]  奉教教主耶穌基督的聖名
[00:00:53.000 --> 00:00:54.000]  阿門
[00:00:56.000 --> 00:00:59.000]  我一段時間都沒有在講道的時間
[00:00:59.000 --> 00:01:02.000]  與大家一起分享聖經的說話
[00:01:02.000 --> 00:01:04.000]  不過開始的時候
[00:01:04.000 --> 00:01:07.000]  我想與大家先看一段新聞的片段
[00:01:26.000 --> 00:01:34.000]  有傳媒拍攝到義軍士兵在邊境的圍欄後方向示威者開槍
[00:01:34.000 --> 00:01:37.000]  多名示威者中彈由擔架抬離現場
[00:01:37.000 --> 00:01:40.000]  加沙地區鄰近以色列邊境的衝突
[00:01:40.000 --> 00:01:42.000]  3月底爆發至今
[00:01:42.000 --> 00:01:45.000]  已經造成超過40個巴勒斯坦人死亡
[00:01:45.000 --> 00:01:47.000]  超過5000人受傷
[00:01:47.000 --> 00:01:50.000]  星期五示威中有8人衝出人群
[00:01:50.000 --> 00:01:52.000]  衝擊以色列邊境的圍欄
[00:01:52.000 --> 00:01:55.000]  加沙醫療人員指義軍使用的武力
[00:01:55.000 --> 00:01:59.000]  令到最少3個巴人的示威者死亡
[00:01:59.000 --> 00:02:01.000]  另外百多人被實彈射傷
[00:02:01.000 --> 00:02:03.000]  義軍重新要保衛邊境
[00:02:03.000 --> 00:02:05.000]  又公佈星期五晚上
[00:02:05.000 --> 00:02:08.000]  空襲了哈馬斯組織6個軍事目標
[00:02:08.000 --> 00:02:09.000]  較早前
[00:02:09.000 --> 00:02:11.000]  聯合國人權事務高級專員
[00:02:11.000 --> 00:02:15.000]  對於義軍使用過度武力鎮壓示威表示深切憂慮
[00:02:15.000 --> 00:02:17.000]  要求以色列克制
[00:02:17.000 --> 00:02:20.000]  其實自從我懂得看報紙
[00:02:20.000 --> 00:02:22.000]  懂得看新聞以來
