
[00:00:00.000 --> 00:00:04.160]  我現在宣佈讓我們先聽陳啟仁先生我們同心協力祈禱
[00:00:04.160 --> 00:00:08.040]  第一怎麼樣 我們神道之先 先同心打告
[00:00:08.040 --> 00:00:15.320]  親愛的天父 多謝您給我們能夠再次有這麼美好的天氣
[00:00:15.320 --> 00:00:19.600]  讓我們活在加拿大這麼美麗的國度裏面
[00:00:19.600 --> 00:00:21.920]  讓我們能夠真是
[00:00:21.920 --> 00:00:25.040]  並且有機會去聆聽主理的說話
[00:00:25.040 --> 00:00:30.840]  預備我們身心靈 去怎樣迎見您 我們再次獻上感恩
[00:00:30.840 --> 00:00:34.240]  我們明白到天色沒有常藍
[00:00:34.240 --> 00:00:36.840]  但是我們也明白到
[00:00:36.840 --> 00:00:40.040]  即或是下雨陰天的時間
[00:00:40.040 --> 00:00:42.240]  風暴來臨之時
[00:00:42.240 --> 00:00:46.840]  或者好像今天這麼美麗的陽光燦爛的日子
[00:00:46.840 --> 00:00:50.640]  每一段都是在上帝您的允許當中
[00:00:50.640 --> 00:00:53.640]  使得我們生命更明白
[00:00:53.840 --> 00:00:59.840]  怎樣謹靠於您 活在您所創造的世界當中
[00:00:59.840 --> 00:01:01.640]  求您與我們同在
[00:01:01.640 --> 00:01:06.440]  讓我們珍惜每一天 每一分 每一秒的時間
[00:01:06.440 --> 00:01:10.640]  親愛的父神 感謝您讓我們再次能夠
[00:01:10.640 --> 00:01:13.240]  在今天這麼美好的天氣
[00:01:13.240 --> 00:01:20.040]  讓我們一起來再次掌握上帝您在聖道裏面的教訓
[00:01:20.040 --> 00:01:23.640]  使我們好好的預備來到迎見您
[00:01:24.240 --> 00:01:27.240]  我們知道天色並不常藍
[00:01:27.240 --> 00:01:30.440]  但是我們知道我們的生命
[00:01:30.440 --> 00:01:36.640]  無論是在陰天還是暴風的時間
[00:01:36.640 --> 00:01:40.240]  我們都同樣知道祢有祢的美意
[00:01:40.240 --> 00:01:45.840]  讓我們曉得任何時間都大概需要依靠祢
[00:01:45.840 --> 00:01:48.440]  一起走面前的道路
[00:01:48.440 --> 00:01:51.440]  在祢的創造這個世界當中
[00:01:51.640 --> 00:01:55.240]  我們活出由鎮靜屬審祢生命
[00:01:55.240 --> 00:02:00.440]  來到經歷每時每刻與祢同在這個美意
[00:02:00.440 --> 00:02:02.840]  我們再次把這段時間恭敬交上
[00:02:02.840 --> 00:02:04.240]  求祢的幫助
[00:02:04.240 --> 00:02:07.440]  我們禱告封主耶穌的名臣
[00:02:07.440 --> 00:02:08.440]  阿們
[00:02:08.440 --> 00:02:14.640]  今天會和大家一起討論一個新的題目
[00:02:14.640 --> 00:02:17.640]  叫做「活在有基礎的信念裏」
[00:02:17.640 --> 00:02:19.840]  今天要和大家討論一個題目
[00:02:20.040 --> 00:02:22.440]  題目叫做「活在有基礎的信念裏」
[00:02:22.440 --> 00:02:24.640]  經文的概括會比較長
[00:02:24.640 --> 00:02:27.840]  所以我會分開兩個主日和大家討論
[00:02:27.840 --> 00:02:29.440]  今天經文內容比較長
[00:02:29.440 --> 00:02:31.840]  我會分兩個主日和大家討論
