
[00:00:00.000 --> 00:00:02.000]  我們想起2020年的時候
[00:00:02.000 --> 00:00:06.500]  我們相信不會單單想起天災人禍接二連三的發生
[00:00:06.500 --> 00:00:09.000]  我們也會想起世界大亂
[00:00:09.000 --> 00:00:11.500]  有很多未知之數
[00:00:11.500 --> 00:00:13.500]  不單止是有疫情
[00:00:13.500 --> 00:00:18.000]  我們也會面對政局、社會很多不明朗的時候
[00:00:18.000 --> 00:00:22.000]  《聖經》其實有很多這樣的記載
[00:00:22.000 --> 00:00:25.500]  講到政局很混亂、很不明朗
[00:00:25.500 --> 00:00:28.500]  令我想起以利亞的時代
[00:00:28.500 --> 00:00:34.000]  當時的背景是亞哈作以色列王
[00:00:34.000 --> 00:00:36.000]  《聖經》記載第十六章
[00:00:36.000 --> 00:00:39.000]  猶太王亞撒三十八年
[00:00:39.000 --> 00:00:42.000]  暗尼的兒子亞哈登基作以色列王
[00:00:42.000 --> 00:00:46.500]  暗尼的兒子亞哈在撒瑪利亞京城作以色列王二十二年
[00:00:46.500 --> 00:00:49.500]  暗尼的兒子亞哈行義和還眼中看為惡的事
[00:00:49.500 --> 00:00:52.000]  比他之前的列王更甚
[00:00:52.000 --> 00:00:55.000]  犯了尼伯的兒子耶路撒冷所犯的罪
[00:00:55.000 --> 00:00:56.500]  他還以為兄
[00:00:56.500 --> 00:01:01.000]  就娶了西頓王揭巴力的女兒耶洗別為妻
[00:01:01.000 --> 00:01:03.000]  去到侍奉敬拜巴力
[00:01:03.000 --> 00:01:06.500]  在撒瑪利亞京城建造巴力的廟
[00:01:06.500 --> 00:01:08.500]  在廟裡面為巴力祝壇
[00:01:08.500 --> 00:01:10.500]  亞哈也做亞瑟拉
[00:01:10.500 --> 00:01:13.000]  是一種生育的女神
[00:01:13.000 --> 00:01:17.000]  他所行的是惹惹禍禍以色列神的怒氣
[00:01:17.000 --> 00:01:21.500]  比他之前的以色列諸王更甚
[00:01:21.500 --> 00:01:25.500]  這是《聖經》對亞哈王政績的評估
[00:01:25.500 --> 00:01:30.500]  亞哈王朝大概是公元前八百七十至八百五十年之間
[00:01:30.500 --> 00:01:33.000]  當時已經分了南北國
[00:01:33.000 --> 00:01:35.000]  北國就是以色列
[00:01:35.000 --> 00:01:39.000]  京城在撒瑪利亞或者另外一個皇宮耶斯利
[00:01:39.000 --> 00:01:43.000]  南邊就是猶大國
[00:01:43.000 --> 00:01:45.000]  京城在耶路撒冷
[00:01:45.000 --> 00:01:47.000]  亞哈王作以色列王的時候
[00:01:47.000 --> 00:01:50.000]  他藉著很多的征戰和外交
[00:01:50.000 --> 00:01:53.500]  將他的勢力擴張到很大
[00:01:53.500 --> 00:01:59.000]  他的影響力是由地中海伸展到約旦河東
[00:01:59.000 --> 00:02:05.500]  由北邊的旦山區一直伸展到南邊的摩亞地
[00:02:05.500 --> 00:02:08.500]  是一個歷史最輝煌的時候
[00:02:08.500 --> 00:02:13.500]  幾乎可以跟所羅門聯合王國的時候相比
[00:02:13.500 --> 00:02:16.500]  因為他擴張了版圖
[00:02:16.500 --> 00:02:20.000]  他雄霸著沿海的貿易路線
[00:02:20.000 --> 00:02:25.000]  還有約旦河東的國際貿易路線
[00:02:25.000 --> 00:02:28.000]  如果從一個經濟發展的角度來看
[00:02:28.000 --> 00:02:33.000]  你就知道為什麼亞哈王會娶西倫的公主夜使別為妻
[00:02:33.000 --> 00:02:35.000]  因為首先從地理來說
[00:02:35.000 --> 00:02:37.000]  以色列的海岸線是比較直的
[00:02:37.000 --> 00:02:39.500]  沒有一些深的大的海灣
[00:02:39.500 --> 00:02:42.000]  全部都是淺灘小的海港
