
[00:00:00.000 --> 00:00:02.000]  丁姐妹 早晨
[00:00:02.000 --> 00:00:05.000]  大家如果有機會回崇拜之前
[00:00:05.000 --> 00:00:07.000]  立一立今天的正道經文
[00:00:07.000 --> 00:00:11.000]  很可能你發現 又講末世
[00:00:11.000 --> 00:00:13.000]  其實當我們用
[00:00:13.000 --> 00:00:15.000]  《帖撒羅里加前後書》
[00:00:15.000 --> 00:00:19.000]  逐章逐章去安排崇拜講道的時候
[00:00:19.000 --> 00:00:21.000]  你就發現這兩卷書
[00:00:21.000 --> 00:00:25.000]  其實關於主再來的主題
[00:00:25.000 --> 00:00:27.000]  真是一再出現
[00:00:27.000 --> 00:00:29.000]  《帖撒羅里加前書》的
[00:00:29.000 --> 00:00:32.000]  四章下半卷 五章上半卷
[00:00:32.000 --> 00:00:34.000]  以至上一次Lam Sir
[00:00:34.000 --> 00:00:35.000]  幫我們分享的
[00:00:35.000 --> 00:00:38.000]  《帖撒羅里加後書》的第一章
[00:00:38.000 --> 00:00:42.000]  其實都是關於主再來的題目
[00:00:42.000 --> 00:00:44.000]  其實主再來是一個
[00:00:44.000 --> 00:00:47.000]  我相信需要我們每一個教徒
[00:00:47.000 --> 00:00:50.000]  都真的去明白
[00:00:50.000 --> 00:00:53.000]  以及掌握裡面最核心
[00:00:53.000 --> 00:00:55.000]  需要知道的真理
[00:00:55.000 --> 00:00:58.000]  並且持定的一個期盼
[00:00:58.000 --> 00:01:00.000]  因為我們說
[00:01:00.000 --> 00:01:03.000]  我們都是蒙上帝的救恩
[00:01:03.000 --> 00:01:05.000]  來拯救
[00:01:05.000 --> 00:01:07.000]  不單止得著
[00:01:07.000 --> 00:01:09.000]  在地上赦免我們的罪
[00:01:09.000 --> 00:01:12.000]  聖靈住在我們的生命當中
[00:01:12.000 --> 00:01:13.000]  帶來的改變
[00:01:13.000 --> 00:01:15.000]  同樣重要的是
[00:01:15.000 --> 00:01:17.000]  我們其實是等候著
