
[00:00:00.000 --> 00:00:03.000]  弟兄姊妹平安,又讀聖經了
[00:00:03.000 --> 00:00:11.000]  昨天說到菲利士人很開心地將約桂搶走了戰勝以色列人
[00:00:11.000 --> 00:00:13.000]  殺死了三萬四千人
[00:00:13.000 --> 00:00:16.000]  兩個祭司殺了約桂,拿了到手
[00:00:16.000 --> 00:00:18.000]  嘩,這次真是如虎添翼
[00:00:18.000 --> 00:00:20.000]  海面的神大菌這麼厲害
[00:00:20.000 --> 00:00:24.000]  陸地生神耶和華,都不夠我們來
[00:00:24.000 --> 00:00:28.000]  現在我們有海陸合璧,厲害了
[00:00:28.000 --> 00:00:35.000]  但是神是怎麼會肯和大菌在相同的廟宇裡面呢?
[00:00:35.000 --> 00:00:38.000]  於是他就將大菌推下了
[00:00:38.000 --> 00:00:45.000]  第二次推下,頸和兩隻手都斷在門檻上
[00:00:45.000 --> 00:00:47.000]  這個表示什麼?
[00:00:47.000 --> 00:00:51.000]  頸斷了就是頭脫了,就是沒有了生命
[00:00:51.000 --> 00:00:53.000]  兩隻手斷了就是什麼?
[00:00:53.000 --> 00:00:58.000]  沒有了能力,只剩下身體,給你多大隻都沒有用
[00:00:58.000 --> 00:01:02.000]  有這個屬靈意義
[00:01:02.000 --> 00:01:05.000]  接著神都開始出手了
[00:01:05.000 --> 00:01:08.000]  你們菲利士人這樣
[00:01:08.000 --> 00:01:14.000]  於是耶和華開始重重敗壞菲利士人
[00:01:14.000 --> 00:01:18.000]  不是隨便敗壞,是重重地敗壞他
[00:01:18.000 --> 00:01:21.000]  令到菲利士人很慘
[00:01:21.000 --> 00:01:23.000]  就《撒慕爾基上》第五章
[00:01:23.000 --> 00:01:26.000]  那段經文不是很能表達
[00:01:26.000 --> 00:01:31.000]  不過由他們的說話與舉動
[00:01:31.000 --> 00:01:36.000]  發問就會知道很嚴重,重重
[00:01:36.000 --> 00:01:38.000]  《撒慕爾基上》第五章
[00:01:38.000 --> 00:01:41.000]  耶和華重重敗壞菲利士人
[00:01:41.000 --> 00:01:42.000]  第六節
[00:01:42.000 --> 00:01:45.000]  重重加在亞瑟蒂人身上
[00:01:45.000 --> 00:01:48.000]  這個大主題我們改了
[00:01:48.000 --> 00:01:52.000]  不過是耶和華重重地
[00:01:52.000 --> 00:01:56.000]  這是第六節的字
[00:01:56.000 --> 00:02:02.000]  耶和華的手重重加在亞瑟蒂人身上敗壞他們
[00:02:02.000 --> 00:02:04.000]  怎樣重重的手呢?
[00:02:04.000 --> 00:02:09.000]  就是將病加在亞瑟蒂人的手上
[00:02:09.000 --> 00:02:11.000]  只是亞瑟蒂這個城市
[00:02:11.000 --> 00:02:15.000]  亞瑟蒂有個廟放了耶和華的藥櫃
[00:02:15.000 --> 00:02:18.000]  跟大菌一起
[00:02:18.000 --> 00:02:22.000]  我不知道他們當時怎樣做
[00:02:22.000 --> 00:02:25.000]  糟了,大菌掉下來爛了
[00:02:25.000 --> 00:02:29.000]  那耶和華的藥櫃還放不放在廟裡呢?
[00:02:29.000 --> 00:02:32.000]  因為大菌廟沒有大菌
[00:02:32.000 --> 00:02:34.000]  你猜他們敢不敢
[00:02:34.000 --> 00:02:36.000]  我們拿藥櫃出來扔掉
[00:02:36.000 --> 00:02:38.000]  我想他們不敢
[00:02:38.000 --> 00:02:44.000]  糟了,這個耶和華神真的厲害過我們的大菌
[00:02:44.000 --> 00:02:50.000]  因為它竟然可以這樣掉下來爛了
[00:02:50.000 --> 00:02:52.000]  我們搬它出去吧,不敢
[00:02:52.000 --> 00:02:55.000]  如果搬出去真的怕沒命
[00:02:55.000 --> 00:02:59.000]  我推測他們是將藥櫃繼續放在廟裡
[00:02:59.000 --> 00:03:03.000]  可能正在修理大菌的帳
[00:03:03.000 --> 00:03:07.000]  耶和華的手重重加在亞瑟蒂人身上
[00:03:07.000 --> 00:03:09.000]  菲利士不是到處都受害
[00:03:09.000 --> 00:03:12.000]  只是亞瑟蒂人的身上
[00:03:12.000 --> 00:03:14.000]  敗壞他們,怎樣敗壞?
[00:03:14.000 --> 00:03:16.000]  這裡很好笑,留意一下
[00:03:16.000 --> 00:03:21.000]  使他們生痔瘡
[00:03:21.000 --> 00:03:28.000]  亞瑟蒂和亞瑟蒂的四景都是如此
[00:03:28.000 --> 00:03:34.000]  不只是看廟宇的廟祝才生痔瘡
[00:03:34.000 --> 00:03:36.000]  是整個城的人
[00:03:36.000 --> 00:03:44.000]  包括附近屬於亞瑟蒂地區周圍邊境田野等等
[00:03:44.000 --> 00:03:48.000]  種田的那些人都生痔瘡
[00:03:48.000 --> 00:03:50.000]  這麼有趣
[00:03:50.000 --> 00:03:53.000]  不過有一樣東西要留意
[00:03:53.000 --> 00:03:55.000]  痔瘡這個希伯來文
[00:03:55.000 --> 00:03:58.000]  這個CH讀K的
[00:03:58.000 --> 00:04:07.000]  痔瘡很有可能不只是痔瘡
[00:04:07.000 --> 00:04:12.000]  大家知道痔瘡在直腸最底的肛門
[00:04:12.000 --> 00:04:19.000]  痔瘡很有可能是腫瘤
[00:04:19.000 --> 00:04:21.000]  也可以解作痔瘡
