
[00:00:00.000 --> 00:00:03.920]  今天我們分享的題目是「給世界的希望」
[00:00:03.920 --> 00:00:09.880]  我們會去看《路加福音》第一章第一到第二十五節
[00:00:09.880 --> 00:00:13.480]  在我成長的時候我聽過這首歌
[00:00:13.480 --> 00:00:14.720]  我不知道你們有沒有聽過
[00:00:14.720 --> 00:00:17.680]  這首歌叫做「明天會更好」
[00:00:17.680 --> 00:00:19.680]  有沒有人聽過這首歌?
[00:00:19.680 --> 00:00:23.080]  有啊 我們應該都是同一個年代
[00:00:23.080 --> 00:00:27.480]  那首歌去到副歌的時候很澎湃的
[00:00:27.480 --> 00:00:34.160]  它說「纏住你的熱情伸出你雙手」
[00:00:34.160 --> 00:00:37.320]  哇 真的很棒啊 真的很棒啊
[00:00:37.320 --> 00:00:39.960]  而去到最後有一個歌詞
[00:00:39.960 --> 00:00:47.400]  它說「讓我們期待明天會更好」
[00:00:47.400 --> 00:00:48.760]  當我們唱這首歌的時候
[00:00:48.760 --> 00:00:51.160]  我們的心當然希望明天會更好
[00:00:51.160 --> 00:00:54.440]  但其實這首歌唱了四十年了
[00:00:54.440 --> 00:00:57.560]  究竟我們的生命 我們的世界
[00:00:57.560 --> 00:01:00.960]  是不是真的明天會更好呢?
[00:01:00.960 --> 00:01:06.160]  當我們回望過去的幾年所發生的事
[00:01:06.160 --> 00:01:09.600]  我們在香港 我們經歷了社會運動
[00:01:09.600 --> 00:01:12.840]  整個的世界經歷了疫情
[00:01:12.840 --> 00:01:16.360]  當我們以為我們的科技很發達
[00:01:16.360 --> 00:01:18.840]  我們的醫學很昌明
[00:01:18.840 --> 00:01:24.520]  一場疫情讓我們看到我們人的渺小和無助
[00:01:24.520 --> 00:01:27.240]  疫情改變了我們很多的常態
[00:01:27.240 --> 00:01:31.920]  也讓我們面對很多我們未曾預計過的情況
[00:01:31.920 --> 00:01:35.800]  甚至很多人因為疫情失去了至親
[00:01:35.800 --> 00:01:39.120]  我們又看看國與國之間的戰爭
[00:01:39.120 --> 00:01:43.200]  無論是俄國的戰爭 尾巴的戰爭
[00:01:43.200 --> 00:01:45.440]  很多人命的失去
[00:01:45.440 --> 00:01:48.120]  很多家庭的破碎
[00:01:48.120 --> 00:01:50.360]  我們甚至看到一些短片
[00:01:50.360 --> 00:01:55.320]  一個家庭突然間一個裝置的爆炸
[00:01:55.320 --> 00:01:58.840]  因為這樣的家庭就是這樣失去
[00:01:58.840 --> 00:02:01.960]  我們又看到現在經濟的衰退
[00:02:01.960 --> 00:02:06.000]  而很多不同的地方又會發生地震
