
[00:00:00.000 --> 00:00:03.420]  我們今天來到敬拜的時候
[00:00:03.420 --> 00:00:07.180]  我們帶著什麼樣的感官來去敬拜呢?
[00:00:07.180 --> 00:00:10.800]  我們知道來參加崇拜最主要是戴耳朵
[00:00:10.800 --> 00:00:14.420]  因為你不戴耳朵來就真的沒什麼事情做了
[00:00:14.420 --> 00:00:18.360]  我們聽廣道、聽唱詩、聽祈禱
[00:00:18.360 --> 00:00:20.760]  我們基本上要戴耳朵的
[00:00:20.760 --> 00:00:22.440]  如果你的耳朵有問題
[00:00:22.440 --> 00:00:23.520]  聽得不太清楚
[00:00:23.520 --> 00:00:25.920]  你會發現崇拜不知道要做什麼的
[00:00:25.920 --> 00:00:28.960]  第二,我們會帶眼睛來
[00:00:28.960 --> 00:00:30.880]  現在我們也好一點了
[00:00:30.880 --> 00:00:32.120]  有POWER POND看的
[00:00:32.120 --> 00:00:34.000]  所以你至少看歌詞吧
[00:00:34.000 --> 00:00:35.400]  你看經文吧
[00:00:35.400 --> 00:00:39.720]  你帶著眼睛回來基本上也很足夠了
[00:00:39.720 --> 00:00:44.160]  我們在崇拜裡面有些感官是很少用的
[00:00:44.160 --> 00:00:46.920]  我們很少用我們的觸覺
[00:00:46.920 --> 00:00:49.880]  特別現在我們又不用寫聖經
[00:00:49.880 --> 00:00:51.160]  又不用打凱斯哥
[00:00:51.160 --> 00:00:53.600]  我們沒有什麼觸感了
[00:00:53.600 --> 00:00:56.760]  我們唯一的感覺就是
[00:00:56.760 --> 00:00:58.000]  你坐在椅子上
[00:00:58.000 --> 00:00:59.920]  如果你家裡的椅子不是這種感覺
[00:00:59.920 --> 00:01:02.240]  你只要坐下來就回到教會了
[00:01:02.240 --> 00:01:03.040]  你就有感覺了
[00:01:03.040 --> 00:01:04.040]  如果你家裡也是這種椅子
[00:01:04.040 --> 00:01:05.120]  你真的沒得搞了
[00:01:05.120 --> 00:01:10.320]  我們很少用的感官就是我們的嗅覺
[00:01:10.320 --> 00:01:13.400]  我們來到教會很少聞到不同的味道
[00:01:13.400 --> 00:01:17.080]  希望你不是聞到粟味吧
[00:01:17.080 --> 00:01:19.760]  應該是不會的
[00:01:19.760 --> 00:01:22.280]  但其實我們每次來崇拜
[00:01:22.280 --> 00:01:23.800]  都會有不同的味道
[00:01:23.800 --> 00:01:25.720]  你聞不聞到呢?
[00:01:25.720 --> 00:01:26.960]  你留意到嗎?
[00:01:27.760 --> 00:01:29.160]  你留意到哪裡來的呢?
[00:01:29.160 --> 00:01:32.520]  就是我們有一盆花
[00:01:32.520 --> 00:01:33.880]  我剛才故意走過去聞
[00:01:33.880 --> 00:01:34.800]  是有一點味道的
