
[00:00:00.000 --> 00:00:03.500]  很高興再一次在港台上和大家見面
[00:00:03.500 --> 00:00:06.000]  雖然我們沒有實體的崇拜
[00:00:06.000 --> 00:00:08.000]  但是我們都是心連心的
[00:00:08.000 --> 00:00:11.000]  我們都是主內的弟兄姊妹
[00:00:11.000 --> 00:00:15.500]  這期大家知道我是講耶穌的七個我事
[00:00:15.500 --> 00:00:18.000]  記載在《約翰福音》那裡
[00:00:18.000 --> 00:00:23.000]  先後我講了生命的糧
[00:00:23.000 --> 00:00:25.500]  和世界的光
[00:00:25.500 --> 00:00:30.500]  而上一次兩個星期前我們講到羊的門
[00:00:30.500 --> 00:00:34.500]  大家都記得我藉著主耶穌基督的救贖
[00:00:34.500 --> 00:00:38.500]  藉著這條門我們可以進入神的國度裏面
[00:00:38.500 --> 00:00:43.500]  進入羊圈裏面
[00:00:43.500 --> 00:00:49.500]  今天我們將會講到主耶穌基督說祂是一個好牧人
[00:00:49.500 --> 00:00:51.500]  因為當我們進入羊圈之後
[00:00:51.500 --> 00:00:53.500]  我們就是神的兒女
[00:00:53.500 --> 00:00:55.500]  成為天國的子民
[00:00:55.500 --> 00:00:58.500]  但是我們不是馬上離開了這個世界
[00:00:58.500 --> 00:01:00.500]  我們仍然要生活下去
[00:01:00.500 --> 00:01:02.500]  很多人信了主之後就說
[00:01:02.500 --> 00:01:04.500]  信了主就差不多
[00:01:04.500 --> 00:01:07.500]  仍然都是要上班賺兩餐
[00:01:07.500 --> 00:01:09.500]  信了主之後
[00:01:09.500 --> 00:01:12.500]  兒子的健康仍然不是那麼好
[00:01:12.500 --> 00:01:14.500]  經常體弱多病
[00:01:14.500 --> 00:01:18.500]  信了主之後可能女兒仍然不是那麼聽話
[00:01:18.500 --> 00:01:20.500]  經常駁嘴
[00:01:20.500 --> 00:01:24.500]  以為真的可以信了主 整個世界就會隨著你去改變
[00:01:24.500 --> 00:01:27.500]  這個我們知道是不會的
[00:01:27.500 --> 00:01:32.500]  所以在聖經約翰福音十七章十五至十六節
[00:01:32.500 --> 00:01:37.500]  耶穌說:我不求你叫他們離開世界
[00:01:37.500 --> 00:01:39.500]  這是耶穌的祈禱
[00:01:39.500 --> 00:01:42.500]  祂跟他父講:我不求你叫他們離開世界
[00:01:42.500 --> 00:01:45.500]  只求你保守他們脫離那惡者
[00:01:45.500 --> 00:01:47.500]  他們不屬於世界
[00:01:47.500 --> 00:01:49.500]  正如我不屬世界一樣
[00:01:49.500 --> 00:01:51.500]  耶穌跟祂的父講
[00:01:51.500 --> 00:01:53.500]  當我們信了主之後
[00:01:53.500 --> 00:01:56.500]  我們不會離開這個世界
[00:01:56.500 --> 00:01:59.500]  但是祂求父 求神去保守我們
[00:01:59.500 --> 00:02:01.500]  在這個世界生活的時候
[00:02:01.500 --> 00:02:03.500]  我們不要屬於這個世界
[00:02:03.500 --> 00:02:05.500]  我們不要屬於那惡者
[00:02:05.500 --> 00:02:07.500]  那惡者就是魔鬼
[00:02:07.500 --> 00:02:11.500]  我們過著一個與眾不同的生活
[00:02:11.500 --> 00:02:13.500]  一個聖潔的生活
[00:02:13.500 --> 00:02:15.500]  一個分別為聖的生活
[00:02:15.500 --> 00:02:17.500]  其實是有些矛盾的
[00:02:17.500 --> 00:02:19.500]  我們說是paradox
[00:02:19.500 --> 00:02:21.500]  我們要居住在這個世界
[00:02:21.500 --> 00:02:25.500]  但是我們不屬於這個世界
[00:02:25.500 --> 00:02:26.500]  有些人跟我說
[00:02:26.500 --> 00:02:28.500]  他來了英國很多年
[00:02:28.500 --> 00:02:30.500]  他居住在英國很多年
[00:02:30.500 --> 00:02:33.500]  但是始終覺得不習慣這裡的生活
[00:02:33.500 --> 00:02:35.500]  覺得不屬於英國
[00:02:35.500 --> 00:02:37.500]  經常都想著
[00:02:37.500 --> 00:02:39.500]  要不就賺夠錢就走了
[00:02:39.500 --> 00:02:40.500]  回到香港
[00:02:40.500 --> 00:02:41.500]  要不就女兒長大了
[00:02:41.500 --> 00:02:42.500]  子女長大了
[00:02:42.500 --> 00:02:43.500]  可以放心了
