
[00:00:00.000 --> 00:00:05.320]  聖經說福音本是神的大能
[00:00:05.320 --> 00:00:07.940]  所以我們今天信福音的人
[00:00:07.940 --> 00:00:09.940]  我們傳福音的人
[00:00:09.940 --> 00:00:13.280]  都時常經歷神的德性能力
[00:00:13.280 --> 00:00:15.280]  特別在師堂中已經說到
[00:00:15.280 --> 00:00:18.640]  我們能夠等候聖靈降臨
[00:00:18.640 --> 00:00:22.960]  就像主耶穌吩咐門徒在耶路撒冷所得的應許
[00:00:22.960 --> 00:00:30.340]  叫我們能夠在慰作做主見證的過程當中
[00:00:30.340 --> 00:00:32.340]  經歷聖靈的能力
[00:00:32.340 --> 00:00:34.340]  事實上我們看事堂傳
[00:00:34.340 --> 00:00:36.340]  一定要留意到這一點
[00:00:36.340 --> 00:00:39.340]  就是神的福音的大能
[00:00:39.340 --> 00:00:41.340]  來拯救多人
[00:00:41.340 --> 00:00:43.340]  神的聖靈的能力
[00:00:43.340 --> 00:00:46.340]  也幫助作見證傳福音的人
[00:00:46.340 --> 00:00:48.340]  經歷主的德性
[00:00:48.340 --> 00:00:50.340]  今天我們來到這張聖經
[00:00:50.340 --> 00:00:53.340]  相信是不會陌生的
[00:00:53.340 --> 00:00:55.340]  事堂傳第十六章很出名的
[00:00:55.340 --> 00:00:57.340]  一張聖經
[00:00:57.340 --> 00:00:59.340]  如果大家記得
[00:00:59.340 --> 00:01:01.340]  上一次
[00:01:01.340 --> 00:01:03.340]  即是一個月前
[00:01:03.340 --> 00:01:05.340]  或者是幾個星期前
[00:01:05.340 --> 00:01:07.340]  我們看到
[00:01:07.340 --> 00:01:09.340]  事堂傳第十五章
[00:01:09.340 --> 00:01:11.340]  我們看到
[00:01:11.340 --> 00:01:13.340]  保羅三次宣教行程
[00:01:13.340 --> 00:01:15.340]  完第一次之後
[00:01:15.340 --> 00:01:17.340]  中間插了一段記載
[00:01:17.340 --> 00:01:19.340]  這段記載也很重要
[00:01:19.340 --> 00:01:21.340]  就是上一次所說的
[00:01:21.340 --> 00:01:23.340]  事堂傳第十五章
[00:01:23.340 --> 00:01:25.340]  十五章記載什麼呢
[00:01:25.340 --> 00:01:27.340]  記載耶路撒冷的大會
[00:01:27.340 --> 00:01:29.340]  還記得嗎
[00:01:29.340 --> 00:01:31.340]  耶路撒冷的大會
[00:01:31.340 --> 00:01:33.340]  因為當時他們有一個爭議
[00:01:33.340 --> 00:01:35.340]  在神學上的爭議
[00:01:35.340 --> 00:01:37.340]  在猶太人和外邦人
[00:01:37.340 --> 00:01:39.340]  大家不同的背景
[00:01:39.340 --> 00:01:41.340]  在教會上
[00:01:41.340 --> 00:01:43.340]  如何處理這個爭議
[00:01:43.340 --> 00:01:45.340]  所以這是很出名的
[00:01:45.340 --> 00:01:47.340]  透過這張聖經
[00:01:47.340 --> 00:01:49.340]  應用在我們人生當中
[00:01:49.340 --> 00:01:51.340]  無論我們的家庭
[00:01:51.340 --> 00:01:53.340]  我們的人際關係
[00:01:53.340 --> 00:01:55.340]  教會的弟兄姊妹
[00:01:55.340 --> 00:01:57.340]  我們都能夠有時會有衝突
[00:01:57.340 --> 00:01:59.340]  有時會有一些意見的不同
[00:01:59.340 --> 00:02:01.340]  有時甚至有爭執
[00:02:01.340 --> 00:02:03.340]  但是我們最重要的
[00:02:03.340 --> 00:02:05.340]  就是為了要神的喜悅
[00:02:05.340 --> 00:02:07.340]  來做我們的大前提
[00:02:07.340 --> 00:02:09.340]  然後透過彼此的
[00:02:09.340 --> 00:02:11.340]  溝通
[00:02:11.340 --> 00:02:13.340]  一個互相用愛心
[00:02:13.340 --> 00:02:15.340]  來溝通
[00:02:15.340 --> 00:02:17.340]  透過有時神的僕人
[00:02:17.340 --> 00:02:19.340]  在當中
[00:02:19.340 --> 00:02:21.340]  來帶領他們
[00:02:21.340 --> 00:02:23.340]  來找到彼此可以和諧
[00:02:23.340 --> 00:02:25.340]  彼此能夠協調的
[00:02:25.340 --> 00:02:27.340]  一個解決方案
[00:02:27.340 --> 00:02:29.340]  所以這個實在是一個
[00:02:29.340 --> 00:02:31.340]  非常美麗的見證
[00:02:31.340 --> 00:02:33.340]  就是在司徒行傳第十五章
[00:02:33.340 --> 00:02:35.340]  當它完結之後
[00:02:35.340 --> 00:02:37.340]  最後就這樣記載
[00:02:37.340 --> 00:02:39.340]  大家一起讀一讀
[00:02:39.340 --> 00:02:41.340]  最後這個是引伸進去
[00:02:41.340 --> 00:02:43.340]  使徒保羅的第二次宣教旅程的
[00:02:43.340 --> 00:02:45.340]  第一個開始
[00:02:45.340 --> 00:02:47.340]  過了些日子
[00:02:47.340 --> 00:02:49.340]  保羅對巴拿巴說
[00:02:49.340 --> 00:02:51.340]  我們可以
[00:02:51.340 --> 00:02:53.340]  回到從前宣傳主導的覺醒
[00:02:53.340 --> 00:02:55.340]  看望弟兄們
[00:02:55.340 --> 00:02:57.340]  景況如何
[00:02:57.340 --> 00:02:59.340]  所以當
[00:02:59.340 --> 00:03:01.340]  保羅和巴拿巴這樣說的時候
[00:03:01.340 --> 00:03:03.340]  他們就計劃開始
