
[00:00:00.000 --> 00:00:02.000]  在正道之前去同心地去祈禱
[00:00:02.000 --> 00:00:05.000]  神的獨生子耶穌基督
[00:00:05.000 --> 00:00:08.000]  求祢私恩可憐這個罪人
[00:00:08.000 --> 00:00:10.000]  願意在主祢面前施立
[00:00:10.000 --> 00:00:12.000]  宣廣絕絕恩怨
[00:00:12.000 --> 00:00:14.000]  求耶穌基督的保血
[00:00:14.000 --> 00:00:18.000]  去洗整這個不配人的罪
[00:00:18.000 --> 00:00:21.000]  讓有孩子能夠成為神話語的出口
[00:00:21.000 --> 00:00:24.000]  能夠將主因言解明
[00:00:24.000 --> 00:00:27.000]  願意真理聖靈開啟我們心竅
[00:00:27.000 --> 00:00:30.000]  帶領我們進入真理
[00:00:30.000 --> 00:00:33.000]  恭迎將以下環節交託和仰望
[00:00:33.000 --> 00:00:35.000]  求主因領
[00:00:35.000 --> 00:00:39.000]  祈禱乃奉耶穌基督聖名祈求
[00:00:39.000 --> 00:00:40.000]  硬活
[00:00:40.000 --> 00:00:42.000]  今天講的題是
[00:00:42.000 --> 00:00:45.000]  穿越過去現在未來的信仰
[00:00:45.000 --> 00:00:48.000]  我會分三點來蟬息
[00:00:48.000 --> 00:00:51.000]  第一點是活化信仰
[00:00:51.000 --> 00:00:53.000]  活化生命
[00:00:53.000 --> 00:00:55.000]  第二點是迎難異想
[00:00:55.000 --> 00:00:57.000]  活出盼望
[00:00:57.000 --> 00:01:01.000]  第三點是信有明天
[00:01:01.000 --> 00:01:04.000]  未來可期
[00:01:04.000 --> 00:01:07.000]  剛才主席跟我們讀這段經文
[00:01:07.000 --> 00:01:09.000]  在《出入記》第六章
[00:01:09.000 --> 00:01:12.000]  一到十三節
[00:01:12.000 --> 00:01:14.000]  在《出入記》第六章第二節
[00:01:14.000 --> 00:01:16.000]  這樣講到
[00:01:16.000 --> 00:01:18.000]  他說神曉遇摩西說
[00:01:18.000 --> 00:01:20.000]  我是耶和華
[00:01:20.000 --> 00:01:22.000]  我從前向阿伯拉罕
[00:01:22.000 --> 00:01:27.000]  以撒雅各顯現為全能的神
[00:01:27.000 --> 00:01:29.000]  至於我名耶和華
[00:01:29.000 --> 00:01:32.000]  他們未曾知道
[00:01:32.000 --> 00:01:34.000]  在這經文表面來看
[00:01:34.000 --> 00:01:37.000]  好像神有兩個名字
[00:01:37.000 --> 00:01:39.000]  好像他講到
[00:01:39.000 --> 00:01:41.000]  表面的意思就好像
[00:01:41.000 --> 00:01:45.000]  除了摩西知道耶和華的名
[00:01:45.000 --> 00:01:49.000]  他們的先祖是不知道的
[00:01:49.000 --> 00:01:54.000]  或者是說當時摩西同道的人
[00:01:54.000 --> 00:01:57.000]  都好像不太知道
[00:01:57.000 --> 00:02:00.000]  但如果我們從《創世紀》
[00:02:00.000 --> 00:02:02.000]  就算今天有很多科技
[00:02:02.000 --> 00:02:05.000]  我們去搜尋
[00:02:05.000 --> 00:02:07.000]  去查冊
[00:02:07.000 --> 00:02:10.000]  在《創世紀》已經一早出現了
[00:02:10.000 --> 00:02:12.000]  耶和華的名
[00:02:12.000 --> 00:02:15.000]  早在很多處的經文都有記載
[00:02:15.000 --> 00:02:18.000]  就好像《創世紀》二章四節
[00:02:18.000 --> 00:02:21.000]  創造天地的來歷
[00:02:21.000 --> 00:02:25.000]  在耶和華創造天地的日子
[00:02:25.000 --> 00:02:28.000]  在《創世紀》四章二十六節
