
[00:00:00.000 --> 00:00:03.980]  他們等候一個用詭計捉拿耶穌
[00:00:03.980 --> 00:00:06.300]  要殺耶穌的機會
[00:00:06.300 --> 00:00:09.540]  耶穌積極的傳導服務
[00:00:09.540 --> 00:00:11.040]  醫病講詭
[00:00:11.040 --> 00:00:12.840]  做美好的見證
[00:00:12.840 --> 00:00:14.740]  曾經結證聖殿
[00:00:14.740 --> 00:00:18.400]  也影響了店內買賣的生意
[00:00:18.400 --> 00:00:23.400]  也對祭司長、文士帶來一個影響
[00:00:23.400 --> 00:00:27.500]  祭司長和文士因着耶穌的出現
[00:00:27.900 --> 00:00:30.840]  對祂的權位受到冒犯
[00:00:30.840 --> 00:00:33.340]  對祂的權益受到威脅
[00:00:33.340 --> 00:00:35.480]  當祭司長和文士
[00:00:35.480 --> 00:00:39.740]  顧念自己的權益、地位的時候
[00:00:39.740 --> 00:00:43.900]  也是在把握去殺害耶穌的時機
[00:00:43.900 --> 00:00:45.940]  而第二個
[00:00:45.940 --> 00:00:48.240]  就在第三節裏面提到的那個女人
[00:00:48.240 --> 00:00:50.840]  她帶着一個玉瓶
[00:00:50.840 --> 00:00:53.540]  一個脣拿達的香膏前來
[00:00:53.540 --> 00:00:55.040]  去打破玉瓶
[00:00:55.040 --> 00:00:58.340]  將香膏敲在耶穌的頭上
[00:00:58.340 --> 00:01:00.140]  爲什麼要這樣做呢?
[00:01:00.140 --> 00:01:01.640]  經文第八節
[00:01:01.640 --> 00:01:04.040]  耶穌說到祂所做的
[00:01:04.040 --> 00:01:07.940]  是盡祂所能爲耶穌安葬的事
[00:01:07.940 --> 00:01:12.140]  將香膏預先敲在耶穌身上
[00:01:12.140 --> 00:01:15.640]  其實在《馬可福音》的記載裏面
[00:01:15.640 --> 00:01:18.640]  在第八章、第九章、第十章
[00:01:18.640 --> 00:01:20.640]  其實耶穌三次提及
[00:01:20.640 --> 00:01:23.040]  自己將要受難和復活
[00:01:23.540 --> 00:01:26.240]  但是跟隨的門徒聽不明白
[00:01:26.240 --> 00:01:28.240]  也沒有記在心裏面
[00:01:28.240 --> 00:01:30.240]  但是這個女人
[00:01:30.240 --> 00:01:33.240]  她是將耶穌的說話放在心裏
[00:01:33.240 --> 00:01:36.740]  她知道耶穌將要很快和他們分離
[00:01:36.740 --> 00:01:39.740]  於是用上價值一年的人工
[00:01:39.740 --> 00:01:42.740]  的脣拿達香膏來敲耶穌的頭
[00:01:42.740 --> 00:01:45.740]  這個女人所顧念的
[00:01:45.740 --> 00:01:48.740]  就是跟主耶穌一起的日子不多
[00:01:48.740 --> 00:01:52.240]  她要把握服侍主的時機
[00:01:53.240 --> 00:01:56.240]  第三類就是講到第四、第五節
[00:01:56.240 --> 00:01:58.240]  有幾個人
[00:01:58.240 --> 00:02:00.240]  其實《馬太福音》記錄
[00:02:00.240 --> 00:02:02.240]  這幾個人是門徒
[00:02:02.240 --> 00:02:04.240]  他們爲了這個女人
[00:02:04.240 --> 00:02:07.240]  打爛一瓶脣拿達香膏
[00:02:07.240 --> 00:02:09.240]  敲耶穌的頭
[00:02:09.240 --> 00:02:11.240]  而心中不悅
[00:02:11.240 --> 00:02:14.240]  還要向這個女人生氣
[00:02:14.240 --> 00:02:16.240]  這羣門徒覺得
[00:02:16.240 --> 00:02:19.240]  一個香膏用來敲耶穌的頭
[00:02:19.240 --> 00:02:21.240]  實在太浪費了
[00:02:21.240 --> 00:02:23.240]  因爲這一瓶香膏
[00:02:23.240 --> 00:02:26.240]  可以值三百多個銀幣
[00:02:26.240 --> 00:02:29.240]  可以周制窮人
[00:02:29.240 --> 00:02:32.240]  究竟門徒顧念的是什麼呢?
[00:02:32.240 --> 00:02:35.240]  顧念窮人?
