
[00:00:00.000 --> 00:00:02.000]  主耶穌基督,我們祈禱。
[00:00:02.000 --> 00:00:08.000]  差天父,我們感謝祢的恩典,讓我們在清晨有生命氣息,可以來到敬拜祢。
[00:00:08.000 --> 00:00:16.000]  我們求聖靈幫助我們明白馬卡福音的訊息,幫助我們真心真意接受主耶穌,
[00:00:16.000 --> 00:00:22.000]  做我們生命中的主,做我們的王,奉耶穌基督的名祈禱。
[00:00:22.000 --> 00:00:30.000]  我們已經看完了馬卡福音第一章一至三章十二節,
[00:00:30.000 --> 00:00:38.000]  我曾經說過,我認為作者在那裏是記錄了主耶穌在第一階段出來侍奉的事。
[00:00:38.000 --> 00:00:44.000]  在第一個階段裏面,我們看到作者是介紹耶穌是上帝的兒子,
[00:00:44.000 --> 00:00:51.000]  亦都介紹他是舊約預言要來的那位微塞,即是基督。
[00:00:51.000 --> 00:00:58.000]  由於舊約有預言,基督來之前會有一位開路先鋒要來,
[00:00:58.000 --> 00:01:04.000]  這位先鋒就是類同舊約的先知,以利亞。
[00:01:04.000 --> 00:01:11.000]  所以作者都介紹了施洗約翰,亦都特別介紹他的衣著和食物。
[00:01:11.000 --> 00:01:16.000]  為了讓人認識耶穌是上帝的兒子,
[00:01:16.000 --> 00:01:22.000]  作者記載了當耶穌受洗的時候,是有聲音從天上宣告說:
[00:01:22.000 --> 00:01:26.000]  「你是我親愛的兒子,我喜愛你。」
[00:01:26.000 --> 00:01:36.000]  此外,既然耶穌是上帝的兒子,他應該和上帝有相同的本質和能力。
[00:01:36.000 --> 00:01:41.000]  因此作者亦都記載了耶穌是藉著說話,
[00:01:41.000 --> 00:01:46.000]  可以治療很多不同的奇難疾症。
[00:01:46.000 --> 00:01:51.000]  第二章還記載了他治療了一位癱子,
[00:01:51.000 --> 00:01:56.000]  不過他未治療之前,他先說了赦免他的罪。
[00:01:56.000 --> 00:02:00.000]  這就等於把他的名片拿出來給人看,
[00:02:00.000 --> 00:02:03.000]  讓人知道他就是上帝,
[00:02:03.000 --> 00:02:10.000]  因為在猶太人的觀念裏,只有上帝才可以赦免人的罪。
[00:02:10.000 --> 00:02:14.000]  在上星期的經文中,他用了新郎的比喻,
[00:02:14.000 --> 00:02:17.000]  解釋了他的門徒不禁食的原因,
[00:02:17.000 --> 00:02:21.000]  讓聰明的人明白他是像新郎一樣,
[00:02:21.000 --> 00:02:26.000]  因為當時的猶太人正等候基督的來臨,
[00:02:26.000 --> 00:02:32.000]  他既然來了,就不是禁食的時候,而是歡慶的日子。
[00:02:32.000 --> 00:02:35.000]  然後他又解釋了安息日的目的,
[00:02:35.000 --> 00:02:40.000]  希望大家還記得主耶穌說過,安息日是為人而設的,
[00:02:40.000 --> 00:02:42.000]  人不是為安息日而生的,
[00:02:42.000 --> 00:02:46.000]  所以人子也是安息日的主。
[00:02:46.000 --> 00:02:52.000]  說明他就是上帝,安息日的主就是上帝。
[00:02:52.000 --> 00:02:56.000]  我們跳過了大約一章的經文,來到今天的第四章的經文,
[00:02:56.000 --> 00:02:59.000]  我想簡單講一講跳過了的經文,
[00:02:59.000 --> 00:03:04.000]  在三章十三至十九節是記載耶穌委任了十二個門徒,
[00:03:04.000 --> 00:03:11.000]  是做使徒,要他們常跟耶穌在一起,時時跟著他。
[00:03:11.000 --> 00:03:17.000]  這個可以說是耶穌出來侍奉的第二階段的標記,
[00:03:17.000 --> 00:03:21.000]  就是他要做一些密集的門徒訓練,
[00:03:21.000 --> 00:03:27.000]  這些使徒大約只有兩年多的時間去跟耶穌學習,
[00:03:27.000 --> 00:03:31.000]  我們現在一般讀神學最少要讀三年,
[00:03:31.000 --> 00:03:35.000]  不過耶穌訓練門徒有些不同,
[00:03:35.000 --> 00:03:38.000]  密集訓練是全時間的,
[00:03:38.000 --> 00:03:42.000]  那些使徒是要跟著耶穌到處去傳道、吃飯,
[00:03:42.000 --> 00:03:45.000]  甚至連睡覺都在一起。
[00:03:45.000 --> 00:03:49.000]  耶穌大概知道自己在世上的日子不會很長,
[00:03:49.000 --> 00:03:53.000]  所以他要把握時間去做門徒訓練。
[00:03:53.000 --> 00:03:56.000]  三章十五節有些特別,
[00:03:56.000 --> 00:04:00.000]  他說你們將有趕鬼的權,
[00:04:00.000 --> 00:04:02.000]  我相信在耶穌的時代,
