
[00:00:00.000 --> 00:00:01.980]  今天就講訊息
[00:00:01.980 --> 00:00:05.420]  講訊息就想起一個童話的故事
[00:00:05.420 --> 00:00:08.600]  應該這裏我們也有不少年資
[00:00:08.600 --> 00:00:10.840]  就一定聽過這個童話故事
[00:00:10.840 --> 00:00:12.540]  就叫做狼來鳥
[00:00:12.540 --> 00:00:15.920]  那狼來鳥應該聽過了吧
[00:00:15.920 --> 00:00:17.680]  就是見大家的反應
[00:00:17.680 --> 00:00:20.180]  那狼來鳥講什麼的
[00:00:20.180 --> 00:00:22.400]  教我們些什麼的
[00:00:22.400 --> 00:00:26.280]  是啦 昨晚我問清晨那些弟兄姊妹都是這樣的
[00:00:26.280 --> 00:00:28.920]  第一個就教我們不要說謊
[00:00:29.180 --> 00:00:32.020]  那是對的 不說謊是非常重要的
[00:00:32.020 --> 00:00:34.720]  我經常教年輕人不要說謊
[00:00:34.720 --> 00:00:38.600]  因為說謊你不經意就會認了撒旦是你爸爸
[00:00:38.600 --> 00:00:40.020]  為什麼
[00:00:40.020 --> 00:00:41.400]  因為聖經說
[00:00:41.400 --> 00:00:43.500]  撒旦是誰
[00:00:43.500 --> 00:00:46.580]  說方者之父
[00:00:46.580 --> 00:00:50.280]  那你是說方者
[00:00:50.280 --> 00:00:53.260]  他就是你爸爸
[00:00:53.260 --> 00:00:56.260]  那狼來鳥這個故事有很多寓意的
[00:00:56.260 --> 00:01:00.300]  就是牧羊的小朋友
[00:01:00.300 --> 00:01:02.560]  牧羊很無聊
[00:01:02.560 --> 00:01:06.760]  我們做牧者的不知道會不會這樣覺得
[00:01:06.760 --> 00:01:08.800]  牧羊很無聊
[00:01:08.800 --> 00:01:11.900]  所以要找些東西玩一下
[00:01:11.900 --> 00:01:14.700]  玩著玩著就玩出火了
[00:01:14.700 --> 00:01:16.040]  就玩人了
[00:01:16.040 --> 00:01:18.960]  就玩到人們走來走去
[00:01:18.960 --> 00:01:21.300]  所以可能另一個寓意是什麼
[00:01:21.300 --> 00:01:25.900]  就是不要亂玩
[00:01:25.900 --> 00:01:30.480]  無聊就找些有意義的玩
[00:01:30.480 --> 00:01:32.340]  就好過這樣玩人
[00:01:32.340 --> 00:01:34.920]  你讀這些童話故事
[00:01:34.920 --> 00:01:37.340]  你肯定想起很多寓意的
[00:01:37.340 --> 00:01:40.460]  但聖經其實有很多比喻的
[00:01:40.460 --> 00:01:42.500]  耶穌說了很多比喻的
[00:01:42.500 --> 00:01:44.260]  其中一個比喻
[00:01:44.260 --> 00:01:46.240]  我叫他做什麼呢
[00:01:46.240 --> 00:01:48.500]  新狼來鳥
[00:01:48.500 --> 00:01:51.420]  就不是新版的狼來鳥
[00:01:51.420 --> 00:01:55.500]  是真的說新狼哥來
[00:01:56.740 --> 00:02:01.580]  這裏有多少人做過新狼哥的
[00:02:01.580 --> 00:02:05.460]  應該很多吧
[00:02:05.460 --> 00:02:08.820]  新狼哥
[00:02:08.820 --> 00:02:12.660]  你一定明白接新娘
[00:02:12.660 --> 00:02:14.500]  去迎親
[00:02:14.500 --> 00:02:16.620]  這些狀況
[00:02:16.620 --> 00:02:21.020]  今天我想從新狼來鳥的這個比喻
[00:02:21.020 --> 00:02:23.700]  就不是說狼來鳥的童話故事
