
[00:00:00.000 --> 00:00:03.400]  (主席)我相信每個弟兄姊妹都知道什麼叫禱告
[00:00:03.400 --> 00:00:06.200]  在你信主之後有人教你會禱告
[00:00:06.200 --> 00:00:07.600]  禱告有很多方法
[00:00:07.600 --> 00:00:11.200]  今天這個在聖靈的禱告不是一個神學的議題
[00:00:11.200 --> 00:00:13.800]  也不是一個什麼特別的題目
[00:00:13.800 --> 00:00:17.400]  只不過希望弟兄姊妹能夠透過聖經的說話
[00:00:17.400 --> 00:00:19.200]  去檢視一下
[00:00:19.200 --> 00:00:24.000]  看一下到底你信神的存在
[00:00:24.000 --> 00:00:27.800]  你是信不信你的禱告上帝是聽到的
[00:00:27.800 --> 00:00:30.000]  不單止你的禱告是聽到
[00:00:30.000 --> 00:00:34.200]  你會不會禱告之後仍然相信祂在這裡
[00:00:34.200 --> 00:00:37.000]  有很多弟兄姊妹在禱告之前
[00:00:37.000 --> 00:00:38.800]  要急於求救
[00:00:38.800 --> 00:00:42.000]  祂不在這裡沒有人救你的
[00:00:42.000 --> 00:00:44.200]  不過祈禱之後也是這樣
[00:00:44.200 --> 00:00:46.400]  於是想他是不是在這裡呢
[00:00:46.400 --> 00:00:50.400]  所以很多人祈禱之後連上帝是不是在這裡都不知道
[00:00:50.400 --> 00:00:53.400]  今天我相信在這個時代裡面
[00:00:53.400 --> 00:00:56.000]  如果我們還不學會祂禱告
[00:00:56.000 --> 00:01:01.200]  特別是藉著聖靈引導你禱告的話
[00:01:01.200 --> 00:01:04.800]  弟兄姊妹你做基督徒會很辛苦的
[00:01:04.800 --> 00:01:07.200]  因為你剛剛有信神
[00:01:07.200 --> 00:01:09.400]  你說話沒有人聽
[00:01:09.400 --> 00:01:11.800]  連這個神都不聽
[00:01:11.800 --> 00:01:13.600]  聽到你說不知道
[00:01:13.600 --> 00:01:15.400]  那怎麼辦
[00:01:15.400 --> 00:01:19.400]  禱告不是一個特效藥
[00:01:19.400 --> 00:01:22.000]  二十天前我在這裡講道
[00:01:22.000 --> 00:01:23.400]  大家知道我的辛苦法
[00:01:23.400 --> 00:01:25.400]  講到聲音都沒有了
[00:01:25.400 --> 00:01:27.800]  那我以為兩天就好了
[00:01:27.800 --> 00:01:31.800]  那你說牧師病了有沒有禱告
[00:01:31.800 --> 00:01:33.600]  有沒有
[00:01:33.600 --> 00:01:36.400]  禱告能不能好了
[00:01:36.400 --> 00:01:37.600]  什麼
[00:01:37.600 --> 00:01:38.400]  先別說了
[00:01:38.400 --> 00:01:40.200]  你現在才感謝上帝
[00:01:40.200 --> 00:01:44.000]  我整個禮拜都沒有好了
[00:01:44.000 --> 00:01:47.400]  傷風感冒兩三天我睡一覺就好了
[00:01:47.400 --> 00:01:49.400]  整個禮拜
[00:01:49.400 --> 00:01:53.000]  吞口水都痛
