
[00:00:00.000 --> 00:00:05.000]  你怎樣看香港的家庭
[00:00:05.000 --> 00:00:08.900]  我聽不少很多很多的家庭
[00:00:08.900 --> 00:00:11.780]  真是在一個很大的困境裏面
[00:00:11.780 --> 00:00:15.560]  我們經常說水深火熱的家
[00:00:15.560 --> 00:00:20.180]  即是很激烈的問題在發生
[00:00:20.180 --> 00:00:25.640]  如果我們說我們要備著呼召去祝福這些家庭的話
[00:00:25.640 --> 00:00:30.580]  反過來我們就會問 究竟我們自己的家庭是怎樣的
[00:00:30.580 --> 00:00:34.380]  我們家庭的家困解了沒有
[00:00:34.380 --> 00:00:37.340]  如果我們家裏都有很多困境的話
[00:00:37.340 --> 00:00:40.280]  我們可以怎樣去解決這些問題呢
[00:00:40.280 --> 00:00:42.080]  我們可以怎樣去應對呢
[00:00:42.080 --> 00:00:47.140]  今天我很想和大家看一段經文
[00:00:47.140 --> 00:00:50.920]  透過一個連名字都沒有的人
[00:00:50.920 --> 00:01:00.580]  他的經歷 他家庭的經歷 怎樣去捉實面對家庭困境的出路
[00:01:00.580 --> 00:01:04.760]  為甚麼家這麼重要呢
[00:01:04.760 --> 00:01:08.900]  除了你見到很多家庭的問題之外
[00:01:08.900 --> 00:01:10.900]  我不知道你有沒有聽過
[00:01:10.900 --> 00:01:13.120]  有人是這樣體會的
[00:01:13.120 --> 00:01:18.680]  我們的仇敵撒旦是要刻意去破壞家庭
[00:01:18.680 --> 00:01:21.200]  因為當家庭被破壞
[00:01:21.200 --> 00:01:25.500]  就有很多所謂的縫隙
[00:01:25.500 --> 00:01:28.400]  有很多位置仇敵可以做事
[00:01:28.400 --> 00:01:33.440]  人的生命就會這樣被破壞
[00:01:33.440 --> 00:01:36.680]  所以主其中一個很重要的心意在這個世代
[00:01:36.680 --> 00:01:41.720]  就是要復和家庭的價值
[00:01:41.720 --> 00:01:44.680]  所以今天我們來看一看這段經文
[00:01:44.680 --> 00:01:47.000]  我們一起讀一讀聖經
[00:01:47.000 --> 00:01:49.000]  其實這段聖經是很長的
[00:01:49.000 --> 00:01:54.700]  就四章八至三十七節 總共三十節的聖經
[00:01:54.700 --> 00:01:59.640]  丙姐妹 如果你讀完這三十節的聖經
[00:01:59.640 --> 00:02:02.940]  不知道你對這個家庭有甚麼印象
[00:02:02.940 --> 00:02:04.940]  如果你看聖經裏面
[00:02:04.940 --> 00:02:07.420]  你理解一下這個家庭的背景
[00:02:07.420 --> 00:02:11.280]  你會看到 第一 這個家庭有沒有錢的
[00:02:11.280 --> 00:02:15.240]  有 它是大戶人家
[00:02:15.240 --> 00:02:19.560]  在聖經裏面說大戶人家應該有些家底
[00:02:19.560 --> 00:02:22.800]  有些經濟的能力
[00:02:22.800 --> 00:02:27.120]  如果你再看下去的時候
[00:02:27.120 --> 00:02:31.640]  不單止是有些家底
[00:02:31.640 --> 00:02:36.800]  當他們的兒子去找他爸爸的時候
[00:02:36.800 --> 00:02:40.120]  他爸爸在哪裏
[00:02:40.120 --> 00:02:43.720]  在田裏面和那些收割的人一起
[00:02:43.720 --> 00:02:46.160]  即是暗示一件事
[00:02:46.160 --> 00:02:48.560]  這個家庭是有甚麼
[00:02:48.560 --> 00:02:52.520]  有田地 是有出產的
[00:02:52.520 --> 00:02:56.080]  即是真的有些家底 有田產
[00:02:56.080 --> 00:02:59.800]  還有 其實它可以甚麼
[00:02:59.800 --> 00:03:02.080]  不單止自己有溫飽
[00:03:02.080 --> 00:03:05.920]  還可以招呼人來他家裏作客
[00:03:05.920 --> 00:03:07.920]  可以請人吃飯
[00:03:07.920 --> 00:03:09.920]  很小事 請人吃飯
[00:03:09.920 --> 00:03:12.920]  你也要有才能請人吃飯
[00:03:12.920 --> 00:03:16.120]  還有 你再看下去的時候
[00:03:16.120 --> 00:03:17.440]  這個家庭還可以怎樣
[00:03:17.440 --> 00:03:21.960]  這個婦人很想留伊麗莎在她家裏
[00:03:21.960 --> 00:03:26.040]  她做了一件甚麼事
[00:03:26.040 --> 00:03:28.320]  僭建
[00:03:28.320 --> 00:03:29.320]  是不是
[00:03:29.320 --> 00:03:33.240]  僭建 在她家裏多建一個空間
[00:03:33.240 --> 00:03:35.240]  然後可以擺床
[00:03:35.240 --> 00:03:38.520]  可以擺桌子 擺椅子 擺燈台
[00:03:38.520 --> 00:03:41.480]  即是簡直是一個起居的空間
[00:03:41.480 --> 00:03:44.960]  讓伊麗莎和她的婦人可以在那裏留宿
[00:03:44.960 --> 00:03:50.280]  現在我們誰可以在家裏突然間多建一個空間出來
