
[00:00:00.000 --> 00:00:04.000]  很高興在新的一年能夠跟大家一起分享講解神的話語
[00:00:04.000 --> 00:00:10.000]  在這裡先代表教會祝大家新年蒙恩,主愛滿日
[00:00:10.000 --> 00:00:17.000]  新的一年教會的主題就是「基督是主,與人與己結連」
[00:00:17.000 --> 00:00:23.000]  「與人結連」就在於讓人能夠透過我們認識主耶穌基督
[00:00:23.000 --> 00:00:27.000]  以致他們能夠聽聞耶穌為世人所成就的救恩
[00:00:27.000 --> 00:00:30.000]  順靠主來得救
[00:00:30.000 --> 00:00:33.000]  「與己結連」就在於我們都要反省到
[00:00:33.000 --> 00:00:37.000]  自己都很容易被世界上各樣的事情所沖塞
[00:00:37.000 --> 00:00:40.000]  或者會隨波逐流
[00:00:40.000 --> 00:00:44.000]  我們需要以聖經的話語不時提醒我們去審查
[00:00:44.000 --> 00:00:46.000]  檢視自己的生命
[00:00:46.000 --> 00:00:49.000]  所以在今年講道的計劃裡面
[00:00:49.000 --> 00:00:54.000]  2022年將會成年的主講「肥臘比書」
[00:00:54.000 --> 00:00:57.000]  「肥臘比教會」是一個在福音上興旺的教會
[00:00:57.000 --> 00:01:01.000]  我們很希望從史勞保羅筆下的書信
[00:01:01.000 --> 00:01:04.000]  去讓我們更加盡心地學習實踐
[00:01:04.000 --> 00:01:08.000]  讓城鎮能夠在人心憂患的世代當中
[00:01:08.000 --> 00:01:10.000]  把握福音的機會
[00:01:10.000 --> 00:01:13.000]  讓更加多人認識耶穌,得著救恩
[00:01:13.000 --> 00:01:16.000]  另外也會以《針研》25到29章
[00:01:16.000 --> 00:01:19.000]  是所羅門針研的卷二
[00:01:19.000 --> 00:01:23.000]  去探討我們自己對己對人的生活智慧
[00:01:23.000 --> 00:01:28.000]  我會和大家講解「肥臘比書」
[00:01:28.000 --> 00:01:30.000]  在當中我們先介紹一下
[00:01:30.000 --> 00:01:34.000]  「肥臘比教會」和書信的背景
[00:01:34.000 --> 00:01:38.000]  「肥臘比教會」是怎樣形成的呢?
[00:01:38.000 --> 00:01:41.000]  話說在《士堂傳》第十六章
[00:01:41.000 --> 00:01:44.000]  保羅看見了馬其頓的異像
[00:01:44.000 --> 00:01:45.000]  在異像當中
[00:01:45.000 --> 00:01:48.000]  保羅看見有一個馬其頓人站在那裏求他
[00:01:48.000 --> 00:01:51.000]  請你過來馬其頓幫助我們
[00:01:51.000 --> 00:01:54.000]  保羅看見這個異像就去了馬其頓
[00:01:54.000 --> 00:01:58.000]  認為是神呼召他們要傳福音給那邊的人聽
