
[00:00:00.000 --> 00:00:03.280]  各位朋友 今天我們所講的講題是
[00:00:03.280 --> 00:00:05.860]  沒有最低 只有更低
[00:00:05.860 --> 00:00:07.860]  我們開始看約拿書的系列
[00:00:07.860 --> 00:00:10.120]  我們首先看頭五節經文
[00:00:10.120 --> 00:00:12.120]  其實這一段的經文
[00:00:12.120 --> 00:00:14.880]  我相信對大家都不會太陌生
[00:00:14.880 --> 00:00:18.580]  因為這段經文正是約拿書的開始
[00:00:18.580 --> 00:00:21.080]  約拿書第一章第一節到第五節
[00:00:21.080 --> 00:00:26.200]  聖經說:耶和華的華臨到阿米泰的兒子約拿說:
[00:00:26.200 --> 00:00:30.400]  你起來往尼尼眉大城去 向其中的居民呼喊
[00:00:30.400 --> 00:00:33.400]  因為他們的惡達到我的面前
[00:00:33.400 --> 00:00:37.320]  約拿卻起來 逃往他斯去躲避耶和華
[00:00:37.320 --> 00:00:41.120]  下到約柏 遇見一隻船 要往他斯去
[00:00:41.120 --> 00:00:43.480]  他就給了船家 上了船
[00:00:43.480 --> 00:00:47.860]  要與船上的人同往他斯去躲避耶和華
[00:00:47.860 --> 00:00:50.700]  然而耶和華使海中起大風
[00:00:50.700 --> 00:00:54.780]  海就狂風大作 甚至船幾乎破壞
[00:00:54.780 --> 00:00:58.120]  水手便懼怕 各人哀求自己的神
[00:00:58.120 --> 00:01:02.080]  他們將船上的貨物拋在海中
[00:01:02.080 --> 00:01:09.200]  為要使船輕些 約拿已下到底倉 躺我沉睡
[00:01:09.200 --> 00:01:11.200]  根據非正式的統計
[00:01:11.200 --> 00:01:16.080]  約拿這個故事是舊約聖經裡五個最多人聽見的故事
[00:01:16.080 --> 00:01:19.500]  其餘的分別就是創世的故事、洪水的故事
[00:01:19.500 --> 00:01:23.240]  索多瑪昂摩拉的故事、出埃及的故事
[00:01:23.240 --> 00:01:27.720]  約拿的故事被很多人中毒
[00:01:27.720 --> 00:01:30.760]  因為約拿的故事不但深入民心
[00:01:30.760 --> 00:01:34.440]  甚至在教會裡 世道兒童主學
[00:01:34.440 --> 00:01:37.060]  甚至青少年的崇拜也好 團契也好
[00:01:37.060 --> 00:01:40.020]  甚至你的茶經班主一講道
[00:01:40.020 --> 00:01:43.560]  都總會涉及約拿書的內容
[00:01:43.560 --> 00:01:47.120]  特別是約拿被大雨淹了的
[00:01:47.120 --> 00:01:51.060]  這個在余福論裡三日三夜的經歷
[00:01:51.060 --> 00:01:53.400]  當然我們會質疑
[00:01:53.400 --> 00:01:59.540]  到底有沒有人真的被雨吞下去 完全沒事的呢?
[00:01:59.540 --> 00:02:04.260]  有一次一艘挪威的船經過北美的西岸
[00:02:04.260 --> 00:02:07.900]  就捉到一條大魚 那條魚是一條鯨魚
[00:02:07.900 --> 00:02:12.440]  長有九十五尺那麼長 重有二十九萬四千磅
[00:02:12.440 --> 00:02:15.580]  在巴拿馬的運航入口這個地方
[00:02:15.580 --> 00:02:21.540]  但是要用起重機才能夠嘗試動到小小這條魚
[00:02:21.540 --> 00:02:23.680]  但是都不能夠動得太遠
[00:02:23.680 --> 00:02:27.480]  於是只能夠拖到離岸十二里的地方
[00:02:27.480 --> 00:02:30.880]  用海軍的飛機放下兩枚炸彈
[00:02:30.880 --> 00:02:35.840]  結果每個炸彈有一百六十磅才能夠炸散這條魚
[00:02:35.840 --> 00:02:38.840]  又有人在地中海發現了一條大魚
[00:02:38.840 --> 00:02:41.000]  能夠吞人落肚的
[00:02:41.000 --> 00:02:44.900]  甚至連馬也可以吞下去 連船也可以吞下去
[00:02:44.900 --> 00:02:49.400]  甚至在美國文學評論雜誌裡面記載過一件事
[00:02:49.400 --> 00:02:52.400]  就是有一個英國的水手被大魚吞下去之後
[00:02:52.400 --> 00:02:54.400]  他的朋友幾經努力之下
[00:02:54.400 --> 00:02:58.620]  經過48個小時才把這條大魚拖上岸
[00:02:58.620 --> 00:03:03.700]  破開魚腹 他以為他的朋友在魚腹裡面必定死定了
[00:03:03.700 --> 00:03:06.400]  誰知道 誰知道破開了魚腹之後
[00:03:06.400 --> 00:03:10.900]  他的朋友還沒死 只是頭髮掉了一點
[00:03:10.900 --> 00:03:14.400]  皮膚有些碎殼 差不多就是這樣
[00:03:14.400 --> 00:03:20.400]  換句話說 約拿書提到約拿被大魚鯨吞落肚的這一幕
[00:03:20.400 --> 00:03:21.900]  不是不可能的
[00:03:21.900 --> 00:03:28.400]  約拿沒有被鯨魚 沒被這條魚咬死 是有可能的
[00:03:28.400 --> 00:03:32.400]  在三天三夜之後 他還在生 也是有可能的
[00:03:32.400 --> 00:03:37.400]  換句話說 約拿在魚肚裡面不死這件事
[00:03:37.400 --> 00:03:39.900]  不是不可能發生的
[00:03:39.900 --> 00:03:42.400]  不過我曾經讀過一篇文章
[00:03:42.400 --> 00:03:48.900]  這篇文章提到對約拿的印象和誤解的一些觀點
[00:03:48.900 --> 00:03:53.900]  這篇文章提到有一個作者強調了約拿是違背神命令的先知
[00:03:53.900 --> 00:03:55.400]  他擋對耶和華
[00:03:55.400 --> 00:03:57.900]  他提到約拿是一個怎樣的先知呢
[00:03:57.900 --> 00:04:00.400]  就說他是一個沒有信心的先知
[00:04:00.400 --> 00:04:03.400]  因為他以為利利美是一個罪惡的大城
[00:04:03.400 --> 00:04:06.400]  人心又剛硬 一定不會悔改的
[00:04:06.400 --> 00:04:11.400]  如果他傳道的話 肯定就沒有功效 不如不要去
[00:04:11.400 --> 00:04:16.400]  第二 約拿是一個沒有愛心的先知
[00:04:16.400 --> 00:04:20.400]  他覺得利利美這個城市罪惡極大 應該活該的
[00:04:20.400 --> 00:04:23.400]  但如果他真的聽從神的命令去的話
[00:04:23.400 --> 00:04:26.400]  有一天利利美城的人真的悔改的話
[00:04:26.400 --> 00:04:28.400]  那以色列就麻煩了
[00:04:28.400 --> 00:04:32.400]  所以他是一個缺乏愛心的先知
[00:04:32.400 --> 00:04:34.400]  第三 他懼怕艱難
[00:04:34.400 --> 00:04:37.400]  他以為利利美城真的很大
[00:04:37.400 --> 00:04:44.400]  人口甚至有百萬人口 這麼大的城市一定困難重重
[00:04:44.400 --> 00:04:50.400]  不知道大家知不知道英國頭幾個城市有多大呢
[00:04:50.400 --> 00:04:54.400]  倫敦一定是最大的 接著應該是伯明翰這個地方
[00:04:54.400 --> 00:04:56.400]  接著就是利茲這個地方
[00:04:56.400 --> 00:04:58.400]  利茲這個地方就是我住的地方
[00:04:58.400 --> 00:05:00.400]  其實是有80萬的人口
[00:05:00.400 --> 00:05:03.400]  要將80萬的人有福音化去
[00:05:03.400 --> 00:05:05.400]  其實不是一件容易的事情
[00:05:05.400 --> 00:05:09.400]  更何況現在說的是100萬的人口
