
[00:00:00.000 --> 00:00:02.240]  我請大家再一次跟我低頭禱告
[00:00:02.240 --> 00:00:04.240]  預備領受主的「道」時間
[00:00:04.240 --> 00:00:10.480]  天父,祢的「道」
[00:00:10.480 --> 00:00:12.880]  祢透過耶穌基督所見證傳揚的「道」
[00:00:12.880 --> 00:00:14.880]  是生命之道
[00:00:14.880 --> 00:00:18.960]  感謝祢讓我們已經領受這個「道」
[00:00:18.960 --> 00:00:21.280]  但這個世上還有很多人
[00:00:21.280 --> 00:00:22.720]  很多民族
[00:00:22.720 --> 00:00:26.320]  很多在我們香港這個城市裏的人
[00:00:26.320 --> 00:00:30.520]  因著不同的緣故仍然未曾聽過福音
[00:00:30.520 --> 00:00:32.520]  未曾去領受救恩
[00:00:32.520 --> 00:00:35.360]  所以主當我們一起去敬拜的時候
[00:00:35.360 --> 00:00:38.000]  我們想念那些應該在我們中間
[00:00:38.000 --> 00:00:40.280]  但卻不在我們中間的人
[00:00:40.280 --> 00:00:42.480]  祈求祢去賜下祢的恩賢
[00:00:42.480 --> 00:00:44.880]  幫助我們領受祢自己的話語
[00:00:44.880 --> 00:00:47.880]  給我們的提醒和力量的時候
[00:00:47.880 --> 00:00:52.600]  我們就勇敢地在生活裏將祢的「道」傳開
[00:00:52.600 --> 00:00:54.360]  求主這樣施恩幫助我們
[00:00:54.360 --> 00:00:56.960]  讓我們同在,禱告奉耶穌命求
[00:00:56.960 --> 00:00:57.960]  阿們
[00:01:24.360 --> 00:01:48.240]  在我們今天所讀的聖經上文的時候
[00:01:48.240 --> 00:01:49.440]  大家會留意到
[00:01:49.440 --> 00:01:52.800]  馬太福音在完了登山補訓之後
[00:01:52.800 --> 00:01:54.960]  即是在馬太福音第七章之後
[00:01:54.960 --> 00:01:57.520]  你會見到第八到第九章
[00:01:57.520 --> 00:02:00.040]  是記載了一連串的神蹟
[00:02:00.040 --> 00:02:03.720]  有趕鬼,有平靜風浪,醫治各樣的病人
[00:02:03.720 --> 00:02:06.480]  甚至是叫死人復活
[00:02:06.480 --> 00:02:09.280]  就在這一切的記載之後
[00:02:09.280 --> 00:02:11.960]  我們留心到有一段經文過去
[00:02:11.960 --> 00:02:15.960]  我們不時都會去鼓勵人去傳主的道的時候
[00:02:15.960 --> 00:02:17.000]  都會提到
[00:02:17.000 --> 00:02:18.800]  就在第九章大家會見到
[00:02:18.800 --> 00:02:23.880]  我們所唐用的聖經在第十章的上面一點點的地方
[00:02:23.880 --> 00:02:26.280]  那裏說到耶穌去走遍各城各鄉
[00:02:26.280 --> 00:02:29.000]  在各個會堂裏面去教訓人
[00:02:29.000 --> 00:02:30.680]  宣揚天國的福音
[00:02:30.680 --> 00:02:32.600]  醫治各樣的疾病
[00:02:32.600 --> 00:02:34.680]  祂見到群眾就憐憫他們
[00:02:34.680 --> 00:02:36.680]  因為他們困苦無依
[00:02:36.680 --> 00:02:40.400]  好像沒有了牧人的羊一樣
[00:02:40.400 --> 00:02:42.400]  而祂就對門徒說
[00:02:42.400 --> 00:02:44.160]  莊家多,工人少
[00:02:44.160 --> 00:02:46.560]  所以你們應當求莊家主
[00:02:46.560 --> 00:02:50.240]  派工人去收他的莊家
[00:02:50.240 --> 00:02:52.320]  在這樣的背景下
[00:02:52.320 --> 00:02:54.880]  就在《馬太》的編修裏面
[00:02:54.880 --> 00:02:58.520]  就出現了今天我們所讀的這一段聖經
[00:02:58.520 --> 00:02:59.520]  很明顯
[00:02:59.520 --> 00:03:02.840]  這一段聖經是和應著第九章裏面的
[00:03:02.840 --> 00:03:05.480]  這個主人叫門徒要去
[00:03:05.480 --> 00:03:06.960]  你去求吧
[00:03:06.960 --> 00:03:11.080]  求這位主人去猜派工人去收莊家
[00:03:11.080 --> 00:03:13.840]  於是在第十章這裏我們就見到
[00:03:13.840 --> 00:03:17.840]  耶穌去一個吩咐門徒猜派他們出去
[00:03:17.840 --> 00:03:20.040]  的一個記載
[00:03:20.040 --> 00:03:22.280]  透過這個記載
[00:03:22.280 --> 00:03:25.000]  我們有四個訊息可以特別留意
[00:03:25.000 --> 00:03:26.520]  第一方面的訊息
[00:03:26.520 --> 00:03:28.520]  就是生命平凡
[00:03:28.520 --> 00:03:31.040]  但可以見證神恩
[00:03:31.040 --> 00:03:32.440]  生命平凡
[00:03:32.440 --> 00:03:34.000]  見證神恩
[00:03:34.000 --> 00:03:37.520]  我們先看第一節開始的一段聖經
[00:03:37.520 --> 00:03:40.600]  聖經說:耶穌叫了十二門徒來
[00:03:40.600 --> 00:03:43.480]  賜給他們勝過污淩的權柄
[00:03:43.480 --> 00:03:47.240]  可以趕出污淩和醫治各種疾病
[00:03:47.240 --> 00:03:48.760]  各種的病症
[00:03:48.760 --> 00:03:50.560]  然後就列舉了
[00:03:50.560 --> 00:03:54.360]  經文就在第二到第四節裏面列舉了
[00:03:54.360 --> 00:03:55.640]  十二個使徒
[00:03:55.640 --> 00:03:58.880]  十二個門徒的名字
[00:03:58.880 --> 00:04:00.400]  如果大家留心
[00:04:00.400 --> 00:04:02.560]  剛才主席讀這段經文的時候
[00:04:02.560 --> 00:04:04.720]  你會發覺十二這個數字
