
[00:00:00.000 --> 00:00:01.980]  我想問你們一個問題
[00:00:01.980 --> 00:00:08.420]  一塊雲加一塊雲 等於多少塊雲啊?
[00:00:08.420 --> 00:00:11.560]  一塊雲啊
[00:00:11.560 --> 00:00:13.980]  一塊雲加一塊雲等於兩塊雲?
[00:00:13.980 --> 00:00:19.200]  不是 一塊雲加一塊雲 又等於一塊雲
[00:00:19.200 --> 00:00:22.920]  又問多一個問題了 好嗎?
[00:00:22.920 --> 00:00:24.960]  糯米雞沒有餡是什麼?
[00:00:24.960 --> 00:00:28.640]  糯米雞沒有了
[00:00:29.140 --> 00:00:31.080]  糯米雞沒有了餡是什麼?
[00:00:31.080 --> 00:00:34.440]  糯米 變成了糯米
[00:00:34.440 --> 00:00:36.440]  我們廣東人說的一塊飯
[00:00:36.440 --> 00:00:42.740]  啊 糯米雞沒有了餡就是一塊飯
[00:00:42.740 --> 00:00:44.740]  糯米飯就是一塊飯
[00:00:44.740 --> 00:00:47.660]  為什麼要跟大家說這些呢?
[00:00:47.660 --> 00:00:52.660]  一塊雲呢 一塊飯呢
[00:00:52.660 --> 00:00:55.260]  為什麼呢? 每年聖誕節
[00:00:55.260 --> 00:00:58.780]  我也很喜歡聽聖誕節歌
[00:00:58.780 --> 00:01:03.520]  每年聖誕節的氣氛真的很濃厚
[00:01:03.520 --> 00:01:06.220]  無論你去購物商場也好
[00:01:06.220 --> 00:01:09.960]  吃大餐也好 去探望朋友也好
[00:01:09.960 --> 00:01:13.120]  都是聖誕快樂啊 聖誕快樂啊
[00:01:13.120 --> 00:01:14.900]  以前我們公司也是這樣的
[00:01:14.900 --> 00:01:16.900]  初初我進去公司的時候
[00:01:16.900 --> 00:01:19.200]  都是聖誕快樂啊 聖誕快樂啊
[00:01:19.200 --> 00:01:22.120]  那時候三十多人 每個人都聖誕快樂啊
[00:01:22.120 --> 00:01:23.460]  哇 很開心的
[00:01:23.460 --> 00:01:25.460]  一陣子越來越多人了
[00:01:25.460 --> 00:01:27.880]  哇 公司開始發展了
[00:01:27.880 --> 00:01:30.800]  哇 有很多不同的文化的人進來了
[00:01:30.800 --> 00:01:32.800]  不同的人種進來了
[00:01:32.800 --> 00:01:36.020]  改 全部改口 不是聖誕快樂
[00:01:36.020 --> 00:01:38.020]  Happy Holiday
[00:01:38.020 --> 00:01:40.680]  連老闆也說Happy Holiday
[00:01:40.680 --> 00:01:43.680]  以前說聖誕快樂 現在說Happy Holiday
[00:01:43.680 --> 00:01:48.280]  啊 為什麼現在聖誕節沒有了餡呢?
[00:01:48.280 --> 00:01:52.900]  你有沒有發覺到現在聖誕節沒有餡了
[00:01:52.900 --> 00:01:57.960]  每個人都在開派對啊 哇 又唱歌啊
[00:01:57.960 --> 00:02:01.880]  又送禮啊 又探親 也好啊
[00:02:01.880 --> 00:02:04.880]  一年一次慷慨一下也無所謂了
[00:02:04.880 --> 00:02:07.480]  慷慨對人 慷慨別人 對你慷慨
[00:02:07.480 --> 00:02:11.640]  就增加友誼 增加家裡的氣氛
[00:02:11.640 --> 00:02:14.240]  又增加家裡的親情
[00:02:14.240 --> 00:02:18.500]  送禮物 一年一次 大方一點啦
[00:02:18.500 --> 00:02:22.780]  慷慨一點沒問題 不過不要忘記
[00:02:22.780 --> 00:02:27.620]  糯米雞沒有餡 始終是聖誕節
[00:02:27.620 --> 00:02:29.060]  差一點點
