
[00:00:00.000 --> 00:00:07.000]  這個挑戰大不大 細不細 視乎自己的領袖有多大
[00:00:07.000 --> 00:00:14.000]  這個改變是否有些感受
[00:00:14.000 --> 00:00:17.000]  我見到上面的頂尖會移動少一點
[00:00:17.000 --> 00:00:21.000]  下面的頂尖會移動多一點
[00:00:21.000 --> 00:00:23.000]  其實你轉變一下你的位置
[00:00:23.000 --> 00:00:25.000]  去看東西 去聽東西
[00:00:25.000 --> 00:00:29.000]  可能你會有新的領袖和感覺
[00:00:29.000 --> 00:00:31.000]  可能有些人喜歡改變
[00:00:31.000 --> 00:00:34.000]  有些人不太喜歡改變
[00:00:34.000 --> 00:00:36.000]  有些人的轉變幅度大一點
[00:00:36.000 --> 00:00:38.000]  有些人可能左右調調
[00:00:38.000 --> 00:00:40.000]  有些人不移動
[00:00:40.000 --> 00:00:43.000]  其實這個也是我們人生的一個習慣
[00:00:43.000 --> 00:00:46.000]  或者你自己的個性的一個習慣
[00:00:46.000 --> 00:00:50.000]  人生是不斷在變的
[00:00:50.000 --> 00:00:54.000]  無論你移動不移動你都會變
[00:00:54.000 --> 00:00:58.000]  變老 變成熟
[00:00:58.000 --> 00:01:01.000]  有些人可能會越變越年輕
[00:01:01.000 --> 00:01:05.000]  無論如何就算我們坐著不移動都會在變
[00:01:05.000 --> 00:01:08.000]  但是這些改變
[00:01:08.000 --> 00:01:12.000]  可不可以成為一種邁向神心意的改變
[00:01:12.000 --> 00:01:15.000]  成為一種成長呢
[00:01:15.000 --> 00:01:17.000]  今天我選擇的講題叫做
[00:01:17.000 --> 00:01:20.000]  建立和好的群體
[00:01:20.000 --> 00:01:23.000]  大家記得我們整個《成立秘書》其中一個重點
[00:01:23.000 --> 00:01:26.000]  就是以基督的心為心
[00:01:26.000 --> 00:01:29.000]  就是要藉著以基督的心為心
[00:01:29.000 --> 00:01:34.000]  去建立一個合一的教會
[00:01:34.000 --> 00:01:36.000]  今天我不用合一這個字怎麼解釋呢
[00:01:36.000 --> 00:01:40.000]  如果你細心跟我一起去祈禱的時候
[00:01:40.000 --> 00:01:42.000]  聽我禱告的時候
[00:01:42.000 --> 00:01:44.000]  你聽到一樣東西就是
[00:01:44.000 --> 00:01:49.000]  合一很多時候會被誤解成為單一
[00:01:49.000 --> 00:01:52.000]  基督的身體不是單一的
[00:01:52.000 --> 00:01:54.000]  不是所有的肢體要一樣
[00:01:54.000 --> 00:01:56.000]  不是手是眼是口是鼻
[00:01:56.000 --> 00:01:58.000]  不需要的
[00:01:58.000 --> 00:02:04.000]  其實如果用到我們生命的現實裡面的時候
[00:02:04.000 --> 00:02:06.000]  我不知道大家知不知道
[00:02:06.000 --> 00:02:11.000]  環教會有基本的氣質或者性格的傾向
[00:02:11.000 --> 00:02:13.000]  大部分環教會
[00:02:13.000 --> 00:02:17.000]  在我學習的16種性格類型裡面
[00:02:17.000 --> 00:02:21.000]  是屬於一些比較著重責任
[00:02:21.000 --> 00:02:23.000]  傳統
[00:02:23.000 --> 00:02:27.000]  比較想保持穩定的性格
[00:02:27.000 --> 00:02:30.000]  成為我們教會的主流性格
[00:02:30.000 --> 00:02:33.000]  但其實發展到這個年代
[00:02:33.000 --> 00:02:35.000]  如果你看美國的教會
[00:02:35.000 --> 00:02:38.000]  美國教會的領袖風格
[00:02:38.000 --> 00:02:40.000]  或者喜歡的領袖風格
[00:02:40.000 --> 00:02:42.000]  有多一點像我的性格
[00:02:42.000 --> 00:02:44.000]  不是那麼穩定
[00:02:44.000 --> 00:02:46.000]  喜歡改變
[00:02:46.000 --> 00:02:48.000]  喜歡向前沾
[00:02:48.000 --> 00:02:50.000]  後面的都會顧
[00:02:50.000 --> 00:02:54.000]  不過就不想給過往的傳統有太大的限制
[00:02:54.000 --> 00:02:55.000]  或者我們都會說
[00:02:55.000 --> 00:02:58.000]  傳統是繼續創造中的
[00:02:58.000 --> 00:03:03.000]  我們需要去調教和重新理解演繹
[00:03:03.000 --> 00:03:07.000]  以致可以有傳統中的成長
[00:03:07.000 --> 00:03:08.000]  而不是死的傳統
[00:03:08.000 --> 00:03:11.000]  是一個活的傳統
[00:03:11.000 --> 00:03:15.000]  所以合一和和好有什麼不同呢
[00:03:15.000 --> 00:03:19.000]  合一這個字容易被誤解成為單一
[00:03:19.000 --> 00:03:21.000]  和好的群體就是說
[00:03:21.000 --> 00:03:23.000]  你和我不同
[00:03:23.000 --> 00:03:24.000]  我祈禱也用過一個字眼
[00:03:24.000 --> 00:03:26.000]  叫做和而不同
[00:03:26.000 --> 00:03:28.000]  互相輝映
