
[00:00:00.000 --> 00:00:02.000]  我相信大家都知道
[00:00:02.000 --> 00:00:07.000]  我們教會有一個三年的事工發展計劃
[00:00:07.000 --> 00:00:10.000]  2018到2020
[00:00:10.000 --> 00:00:13.000]  在這個發展計劃裏面
[00:00:13.000 --> 00:00:15.000]  我們都有一個總主題
[00:00:15.000 --> 00:00:19.000]  幫助我們知道怎樣去推動教會的工作
[00:00:19.000 --> 00:00:22.000]  我不知道大家有沒有印象
[00:00:22.000 --> 00:00:27.000]  在地下大堂看著辦公室
[00:00:27.000 --> 00:00:31.000]  在上面的頂頭
[00:00:31.000 --> 00:00:33.000]  有幾個字
[00:00:33.000 --> 00:00:39.000]  是靠主聯絡相助力淺整全使命
[00:00:39.000 --> 00:00:42.000]  這個主題提醒我們
[00:00:42.000 --> 00:00:45.000]  在今後我們學習的功課
[00:00:45.000 --> 00:00:47.000]  就是要時時靠主
[00:00:47.000 --> 00:00:50.000]  靠人是不行的
[00:00:50.000 --> 00:00:54.000]  我們信主的人怎樣都要靠主
[00:00:55.000 --> 00:00:58.000]  但我們不只是靠主
[00:00:58.000 --> 00:01:00.000]  靠主之外我們還有很多東西要學
[00:01:00.000 --> 00:01:02.000]  我們要彼此聯絡
[00:01:02.000 --> 00:01:04.000]  大家要有聲有氣
[00:01:04.000 --> 00:01:06.000]  有默契有溝通
[00:01:06.000 --> 00:01:08.000]  聯絡一下
[00:01:08.000 --> 00:01:10.000]  和彼此相助
[00:01:10.000 --> 00:01:12.000]  互相的幫助
[00:01:12.000 --> 00:01:14.000]  而不是互相的對立
[00:01:14.000 --> 00:01:17.000]  當我們能夠靠主聯絡相助的時候
[00:01:17.000 --> 00:01:19.000]  我們就可以為主做一些事
[00:01:19.000 --> 00:01:20.000]  做什麼呢
[00:01:20.000 --> 00:01:25.000]  我們很努力的去實踐整全的使命
[00:01:25.000 --> 00:01:27.000]  什麼叫整全的使命呢
[00:01:27.000 --> 00:01:29.000]  整全的使命第一樣很重要的就是
[00:01:29.000 --> 00:01:30.000]  全福音
[00:01:30.000 --> 00:01:32.000]  福音的大使命
[00:01:32.000 --> 00:01:35.000]  在過去今年的二三月
[00:01:35.000 --> 00:01:36.000]  我已經用了三講
[00:01:36.000 --> 00:01:38.000]  和大家分享馬太福音的
[00:01:38.000 --> 00:01:40.000]  二十八章十八到二十節
[00:01:40.000 --> 00:01:42.000]  不知道大家還有沒有印象
[00:01:42.000 --> 00:01:44.000]  說到我們要造就門徒
[00:01:44.000 --> 00:01:48.000]  我們要為主走出去等等
[00:01:48.000 --> 00:01:50.000]  但是整全使命
[00:01:50.000 --> 00:01:51.000]  不只是福音的大使命
[00:01:51.000 --> 00:01:53.000]  整全使命還包含了一個
[00:01:53.000 --> 00:01:55.000]  叫做文化的大使命
[00:01:55.000 --> 00:01:56.000]  我們比較少說
[00:01:56.000 --> 00:01:58.000]  但是我們比較容易明白的
[00:01:58.000 --> 00:02:00.000]  就是愛心的大誡命
[00:02:00.000 --> 00:02:02.000]  就是我們要愛人如己
[00:02:02.000 --> 00:02:04.000]  神給我們這麼大的愛
[00:02:04.000 --> 00:02:05.000]  我們要分享出去
[00:02:05.000 --> 00:02:06.000]  傳揚出去
[00:02:06.000 --> 00:02:08.000]  讓人在我們身上看見耶穌基督
[00:02:08.000 --> 00:02:10.000]  看見祂的愛
[00:02:10.000 --> 00:02:13.000]  透過我們那種愛心的實踐
[00:02:13.000 --> 00:02:15.000]  所以我們用了馬可的十二章
[00:02:15.000 --> 00:02:17.000]  二十八到三十一節
[00:02:17.000 --> 00:02:19.000]  說到我們要愛人如己
[00:02:19.000 --> 00:02:20.000]  我們愛神的人
[00:02:20.000 --> 00:02:22.000]  不只是上向的
[00:02:22.000 --> 00:02:23.000]  是有橫向的
[00:02:23.000 --> 00:02:26.000]  向著周邊未信的人
[00:02:26.000 --> 00:02:27.000]  或者信了的人
[00:02:27.000 --> 00:02:29.000]  我們也有一份這樣的愛
[00:02:29.000 --> 00:02:30.000]  在四月中
[00:02:30.000 --> 00:02:33.000]  我也和弟兄姊妹分享過這個題目
