
[00:00:00.000 --> 00:00:03.640]  最近的新聞,離不開馬航
[00:00:03.640 --> 00:00:06.800]  MH370
[00:00:06.800 --> 00:00:09.160]  一直到現在爲止
[00:00:09.160 --> 00:00:11.060]  撲朔迷離
[00:00:11.060 --> 00:00:14.060]  每天都有些發佈
[00:00:14.060 --> 00:00:18.080]  馬來西亞那邊,他說從今以後不是每天了
[00:00:18.080 --> 00:00:21.500]  可能兩天一次發佈,三天一次發佈
[00:00:21.500 --> 00:00:23.760]  但是過去那麼多次的發佈呢
[00:00:23.760 --> 00:00:25.680]  全部都是假的
[00:00:25.680 --> 00:00:27.620]  沒有一樣東西是真的
[00:00:27.620 --> 00:00:29.360]  到底
[00:00:30.000 --> 00:00:31.280]  機器去了哪裏呢
[00:00:31.280 --> 00:00:34.620]  仍然是一個迷
[00:00:34.620 --> 00:00:38.520]  有很多不同的一些推測
[00:00:38.520 --> 00:00:41.220]  但我相信有些推測
[00:00:41.220 --> 00:00:44.560]  我自己本身感覺到,是沒什麼可能
[00:00:44.560 --> 00:00:48.780]  他說是捷機已經去了一個
[00:00:48.780 --> 00:00:50.240]  隱蔽的地方
[00:00:50.240 --> 00:00:52.400]  但我相信在現在
[00:00:52.400 --> 00:00:54.820]  人造衛星那麼發達
[00:00:54.820 --> 00:00:56.320]  科技
[00:00:56.320 --> 00:00:58.340]  是那麼進步
[00:00:59.140 --> 00:01:00.960]  太空上的人造衛星
[00:01:00.960 --> 00:01:03.260]  連地上每個不同的地方
[00:01:03.260 --> 00:01:05.140]  連車牌都可以看得到
[00:01:05.140 --> 00:01:07.960]  那麼大的飛機,你藏在哪裏呢
[00:01:07.960 --> 00:01:10.920]  是沒可能藏得到,而且藏那麼久
[00:01:10.920 --> 00:01:12.220]  是沒可能的
[00:01:12.220 --> 00:01:15.880]  這一樣東西,我相信是沒什麼可能
[00:01:15.880 --> 00:01:18.300]  極可能的是什麼呢
[00:01:18.300 --> 00:01:21.920]  就是已經去了大海,找都找不到
[00:01:21.920 --> 00:01:24.940]  但這個大海,是哪裏的大海呢
[00:01:24.940 --> 00:01:27.380]  這是一個很大很大的問題
[00:01:27.840 --> 00:01:30.540]  如果真的去了澳洲南部的時候
[00:01:30.540 --> 00:01:35.120]  我相信最深最深,去到六七千米
[00:01:35.120 --> 00:01:39.160]  即是說,六公里到七公里
[00:01:39.160 --> 00:01:42.260]  甚至八公里深的海底那裏
[00:01:42.260 --> 00:01:43.900]  你要打撈
[00:01:43.900 --> 00:01:46.040]  根本上是
[00:01:46.040 --> 00:01:47.820]  很渺茫
[00:01:47.820 --> 00:01:53.620]  是什麼原因,令到這架飛機
[00:01:53.620 --> 00:01:55.160]  要去這些地方
[00:01:55.160 --> 00:01:57.560]  要這樣來走法呢
[00:01:57.960 --> 00:02:02.400]  很明顯,這是早有預謀的一個行動
[00:02:02.400 --> 00:02:05.460]  如果不是,航機不會這樣走法
[00:02:05.460 --> 00:02:08.260]  而到底是什麼,令到這架飛機
[00:02:08.260 --> 00:02:11.540]  是這樣預謀地被劫持
[00:02:11.540 --> 00:02:14.580]  去乘客不想要去的地方
[00:02:14.580 --> 00:02:17.860]  很多不同的一些理由
[00:02:17.860 --> 00:02:19.160]  來說出來
[00:02:19.160 --> 00:02:22.560]  有人說這是一個恐怖的劫機
[00:02:22.560 --> 00:02:26.100]  甚至有人說已經爆炸
[00:02:26.100 --> 00:02:28.060]  但我相信如果是爆炸了的時候
[00:02:28.060 --> 00:02:30.780]  一定有殘骸已經找到
[00:02:30.780 --> 00:02:33.820]  第二有人說,這是一個報復
[00:02:33.820 --> 00:02:37.000]  可能是一個機長
[00:02:37.000 --> 00:02:38.780]  是一個報復的行動
[00:02:38.780 --> 00:02:41.040]  是因爲政治上的原因
[00:02:41.040 --> 00:02:43.280]  去採取這種報復的行動
[00:02:43.280 --> 00:02:45.700]  但爲什麼要一個人死好呢
[00:02:45.700 --> 00:02:47.100]  你要這麼多人
[00:02:47.100 --> 00:02:49.440]  來連同你一起去死呢
[00:02:49.440 --> 00:02:51.620]  你怎麼可以報復得到呢
[00:02:51.620 --> 00:02:53.900]  你報復是報復誰呢
[00:02:53.900 --> 00:02:55.460]  飛機上有哪個人
[00:02:55.460 --> 00:02:57.240]  是和你有仇有怨呢
[00:02:57.240 --> 00:02:59.120]  第三個原因
[00:02:59.120 --> 00:03:01.300]  是一個政治的陰謀
[00:03:01.300 --> 00:03:04.740]  這是最近有些人來跟我說
[00:03:04.740 --> 00:03:06.240]  一直以來
[00:03:06.240 --> 00:03:09.060]  馬來西亞政府是在隱瞞
[00:03:09.060 --> 00:03:10.460]  一個政治上
[00:03:10.460 --> 00:03:12.020]  一些這樣的陰謀
[00:03:12.020 --> 00:03:14.660]  這個陰謀就是說,有些人
