
[00:00:00.000 --> 00:00:03.600]  《已不所書》是保羅社的其中一本書信
[00:00:03.600 --> 00:00:08.000]  這本書信很簡單去看一看
[00:00:08.000 --> 00:00:11.800]  前面的三章聖經和後面的三章聖經有明顯的分別
[00:00:11.800 --> 00:00:15.600]  後面那幾章聖經是講一些很具體的教會要對的事
[00:00:15.600 --> 00:00:18.400]  前面那三章其實不是什麼特別的事
[00:00:18.400 --> 00:00:20.800]  是講到神的心意、神的榮耀
[00:00:20.800 --> 00:00:23.400]  神的那種福音在教會里面產生的能力
[00:00:23.400 --> 00:00:25.200]  所以是一個很大的
[00:00:25.200 --> 00:00:26.600]  神學也好,什麼也好
[00:00:26.600 --> 00:00:28.400]  是一個很宏觀的東西
[00:00:28.400 --> 00:00:30.000]  然後下到下面
[00:00:30.000 --> 00:00:32.400]  而我一直讀的時候就會發覺
[00:00:32.400 --> 00:00:35.400]  一章至三章如果認真來說
[00:00:35.400 --> 00:00:37.800]  你是可以一口氣讀完的
[00:00:37.800 --> 00:00:38.800]  認真來說
[00:00:38.800 --> 00:00:40.800]  當然到第二章的時候
[00:00:40.800 --> 00:00:43.800]  稍微和一章兩章不是完全相同
[00:00:43.800 --> 00:00:45.200]  其實是一貫的
[00:00:45.200 --> 00:00:46.400]  不過可以透透氣
[00:00:46.400 --> 00:00:48.400]  所以第二章可能也可以
[00:00:48.400 --> 00:00:52.400]  但其實這三章聖經是一個連貫的經文
[00:00:52.400 --> 00:00:54.200]  我讀的時候就發覺
[00:00:54.200 --> 00:00:56.600]  在保羅社這三章聖經裏面
[00:00:56.600 --> 00:00:59.200]  聖靈感動他,一直在寫的時候
[00:00:59.200 --> 00:01:02.000]  到差不多的時候他就會有一個祈禱
[00:01:02.000 --> 00:01:04.400]  有兩個祈禱成三章聖經裏面
[00:01:04.400 --> 00:01:06.000]  講到差不多的時候他就有一個祈禱
[00:01:06.000 --> 00:01:08.200]  繼續講,講到差不多的時候他又再有一個祈禱
[00:01:08.200 --> 00:01:10.800]  我就列了出來,這些經文不看了
[00:01:10.800 --> 00:01:13.400]  好了,一章三至十四節
[00:01:13.400 --> 00:01:14.800]  我給他一個重贊
[00:01:14.800 --> 00:01:16.600]  通常保羅的書信開始的時候
[00:01:16.600 --> 00:01:18.600]  有些重贊,讚美神等等的東西
[00:01:18.600 --> 00:01:20.200]  然後一章十六至十七節
[00:01:20.200 --> 00:01:21.800]  就有一個祈禱,第一個祈禱
[00:01:21.800 --> 00:01:24.600]  求父神賜啓示和智慧的靈
[00:01:24.600 --> 00:01:27.000]  讓你們,我就寫了以弗所教會
[00:01:27.000 --> 00:01:29.800]  其實是讓你們能夠真知道神
[00:01:29.800 --> 00:01:31.200]  然後再講下去
[00:01:31.200 --> 00:01:34.200]  二章一節就去到三章十三節
[00:01:34.200 --> 00:01:35.800]  就有另外一個大的段落
[00:01:35.800 --> 00:01:38.000]  那段落是講一些序述
[00:01:38.000 --> 00:01:40.000]  描寫保羅當時怎樣神呼召他
[00:01:40.000 --> 00:01:41.200]  作爲外邦的使徒
[00:01:41.200 --> 00:01:43.200]  傳到你們中間,你們信耶穌
