
[00:00:00.000 --> 00:00:02.000]  詩篇第二篇
[00:00:02.000 --> 00:00:05.500]  我們現在跟大家印在程序表那裡
[00:00:05.500 --> 00:00:09.000]  就是...不是程序表,是副頁
[00:00:09.000 --> 00:00:12.000]  就是第十節至第十二節
[00:00:12.000 --> 00:00:15.000]  是三節而已,不是很多的《聖經》
[00:00:15.000 --> 00:00:19.000]  那麼就...小小說回第一篇
[00:00:19.000 --> 00:00:21.000]  就是很強調
[00:00:21.000 --> 00:00:23.000]  是一個人
[00:00:23.000 --> 00:00:27.000]  他是不會跟從
[00:00:27.000 --> 00:00:30.000]  他不會跟那些不義的
[00:00:30.000 --> 00:00:33.000]  走在一起
[00:00:33.000 --> 00:00:35.000]  他離開那些
[00:00:35.000 --> 00:00:37.500]  但是他離開了那些不義的
[00:00:37.500 --> 00:00:40.000]  惡人、罪人、褻瀆人、傲慢人
[00:00:40.000 --> 00:00:42.000]  但是他另一方面
[00:00:42.000 --> 00:00:45.000]  他就是跟從神的話語
[00:00:45.000 --> 00:00:46.000]  神的話
[00:00:46.000 --> 00:00:48.000]  晝夜思想
[00:00:48.000 --> 00:00:54.000]  大家知道我們
[00:00:54.000 --> 00:00:56.000]  如果還沒信主
[00:00:56.000 --> 00:00:58.000]  可能我們的人生呢
[00:00:58.000 --> 00:01:00.000]  是有很多很多的東西
[00:01:00.000 --> 00:01:02.000]  我們會去成為我們的
[00:01:02.000 --> 00:01:05.000]  行事為人的準則
[00:01:05.000 --> 00:01:08.000]  可能是自小父母教導
[00:01:08.000 --> 00:01:11.000]  或者是你讀的學校的教導
[00:01:11.000 --> 00:01:13.000]  或者是那個社會
[00:01:13.000 --> 00:01:16.000]  其實有些社會是有風氣的
[00:01:16.000 --> 00:01:19.000]  譬如好像很久之前
[00:01:19.000 --> 00:01:22.000]  是不是好像說
[00:01:22.000 --> 00:01:25.000]  好像是孔孟的時代
[00:01:25.000 --> 00:01:27.000]  我都不太記得
[00:01:27.000 --> 00:01:29.000]  是能夠可以夜不閉門
[00:01:29.000 --> 00:01:31.000]  路不拾遺的
[00:01:31.000 --> 00:01:33.000]  當然是受了很多的
[00:01:33.000 --> 00:01:37.000]  國民的教育
[00:01:37.000 --> 00:01:39.000]  無論怎樣都好
[00:01:39.000 --> 00:01:41.000]  總是有一些規矩的
[00:01:41.000 --> 00:01:42.000]  是不是
[00:01:42.000 --> 00:01:44.000]  如果你開車
[00:01:44.000 --> 00:01:45.000]  紅綠燈
[00:01:45.000 --> 00:01:46.000]  那些人不守的
[00:01:46.000 --> 00:01:48.000]  都挺危險的
[00:01:48.000 --> 00:01:49.000]  我聽人家說
[00:01:49.000 --> 00:01:50.000]  大陸開車
[00:01:50.000 --> 00:01:51.000]  這些是有人說的
[00:01:51.000 --> 00:01:52.000]  我又不完全相信
[00:01:52.000 --> 00:01:53.000]  但是我又有點相信
[00:01:53.000 --> 00:01:55.000]  因為我都有去深圳
[00:01:55.000 --> 00:01:56.000]  上海
[00:01:56.000 --> 00:01:57.000]  我最近都去過
[00:01:57.000 --> 00:01:58.000]  上海沒有
[00:01:58.000 --> 00:02:00.000]  深圳我最近都去過
[00:02:00.000 --> 00:02:02.000]  在大陸開車
[00:02:02.000 --> 00:02:03.000]  只有一條路
[00:02:03.000 --> 00:02:04.000]  你知道是什麼路嗎
[00:02:04.000 --> 00:02:05.000]  一條路
[00:02:05.000 --> 00:02:07.000]  有路就走
[00:02:07.000 --> 00:02:10.000]  不管它是雙程還是單程
[00:02:10.000 --> 00:02:13.000]  總之這條路就走
[00:02:13.000 --> 00:02:16.000]  有一個弟兄跟我說
[00:02:16.000 --> 00:02:17.000]  他在大陸住了很久
[00:02:17.000 --> 00:02:18.000]  他說
[00:02:18.000 --> 00:02:20.000]  什麼叫Copyright
[00:02:20.000 --> 00:02:22.000]  你知道什麼叫Copyright嗎
[00:02:22.000 --> 00:02:24.000]  Copy is right
[00:02:24.000 --> 00:02:26.000]  Copy就是right
[00:02:26.000 --> 00:02:28.000]  我不覺得傻
[00:02:28.000 --> 00:02:29.000]  千萬不要這樣
[00:02:29.000 --> 00:02:30.000]  所有大陸的人都是這樣
[00:02:30.000 --> 00:02:31.000]  千萬不要這樣
[00:02:31.000 --> 00:02:32.000]  如果是這樣你都相信
[00:02:32.000 --> 00:02:33.000]  就傻的
[00:02:33.000 --> 00:02:34.000]  我都傻的
[00:02:34.000 --> 00:02:35.000]  但是又真的有
[00:02:35.000 --> 00:02:38.000]  不多不少有這樣的情況
[00:02:38.000 --> 00:02:39.000]  是不是
[00:02:39.000 --> 00:02:40.000]  所以
[00:02:40.000 --> 00:02:41.000]  是很亂的
[00:02:41.000 --> 00:02:42.000]  如果這樣搞
[00:02:42.000 --> 00:02:45.000]  所以詩篇第一篇
[00:02:45.000 --> 00:02:47.000]  開宗明義
[00:02:47.000 --> 00:02:49.000]  神就透過
[00:02:49.000 --> 00:02:51.000]  詩人告訴我們
[00:02:51.000 --> 00:02:52.000]  不跟從神的
[00:02:52.000 --> 00:02:53.000]  是這樣的
[00:02:53.000 --> 00:02:55.000]  跟從神的是這樣的
[00:02:55.000 --> 00:02:58.000]  不過第一篇是比較個人化一點
[00:02:58.000 --> 00:03:00.000]  講一個人
[00:03:00.000 --> 00:03:01.000]  他就
[00:03:01.000 --> 00:03:02.000]  我們都看過了
[00:03:02.000 --> 00:03:05.000]  我都不再重複了
[00:03:05.000 --> 00:03:07.000]  但是詩篇第二篇
[00:03:07.000 --> 00:03:08.000]  我就叫他
[00:03:08.000 --> 00:03:11.000]  福由你選是宏觀的
[00:03:11.000 --> 00:03:12.000]  原來這個世界
[00:03:12.000 --> 00:03:15.000]  有些東西是沒得你選的
[00:03:15.000 --> 00:03:16.000]  你出生是男是女
[00:03:16.000 --> 00:03:19.000]  有沒有得你選呢
[00:03:19.000 --> 00:03:20.000]  你姓梁還是姓陳
[00:03:20.000 --> 00:03:21.000]  你有得出世
[00:03:21.000 --> 00:03:22.000]  你有得選的嗎
[00:03:22.000 --> 00:03:23.000]  你長大了可以選
[00:03:23.000 --> 00:03:24.000]  你可以改
[00:03:24.000 --> 00:03:26.000]  很多東西都可以改
[00:03:26.000 --> 00:03:27.000]  沒得選
[00:03:27.000 --> 00:03:28.000]  是不是
[00:03:28.000 --> 00:03:29.000]  你是中國人
[00:03:29.000 --> 00:03:30.000]  還是一個非洲人
[00:03:30.000 --> 00:03:31.000]  還是印度人
[00:03:31.000 --> 00:03:33.000]  還是白種人
[00:03:33.000 --> 00:03:35.000]  你出世有得選嗎
[00:03:35.000 --> 00:03:36.000]  沒得選
[00:03:36.000 --> 00:03:38.000]  但是人生又真的很多東西
[00:03:38.000 --> 00:03:40.000]  是我們有得選的
[00:03:40.000 --> 00:03:41.000]  是不是
[00:03:41.000 --> 00:03:43.000]  今早大家吃過早餐的
[00:03:43.000 --> 00:03:45.000]  是不是人家強行給你吃的
[00:03:45.000 --> 00:03:46.000]  可能有些小朋友說
[00:03:46.000 --> 00:03:47.000]  是啊
[00:03:47.000 --> 00:03:49.000]  媽媽說要我一定要吃個蛋
[00:03:49.000 --> 00:03:51.000]  我都不喜歡吃蛋的
[00:03:51.000 --> 00:03:53.000]  我喜歡吃薯條
[00:03:53.000 --> 00:03:55.000]  但媽媽說薯條沒益
[00:03:55.000 --> 00:03:57.000]  吃個蛋吧
[00:03:57.000 --> 00:03:58.000]  可能我們會這樣
[00:03:58.000 --> 00:04:00.000]  但是絕大部分我們當中
[00:04:00.000 --> 00:04:02.000]  今早吃什麼呢
[00:04:02.000 --> 00:04:03.000]  是你選擇的
