
[00:00:00.000 --> 00:00:02.000]  今天想和大家分享的是
[00:00:02.000 --> 00:00:05.000]  「同作主所喜悅的僕人」
[00:00:05.000 --> 00:00:07.000]  當我自己看到這個題目的時候
[00:00:07.000 --> 00:00:10.000]  我自己都去留意
[00:00:10.000 --> 00:00:12.000]  看看究竟僕人或者領袖
[00:00:12.000 --> 00:00:14.000]  或者是帶領的人
[00:00:14.000 --> 00:00:16.000]  那些素質是怎樣
[00:00:16.000 --> 00:00:20.000]  發覺其實這個主題的答案
[00:00:20.000 --> 00:00:22.000]  五花八門甚麼都有
[00:00:22.000 --> 00:00:25.000]  現代人對於領袖的本質
[00:00:25.000 --> 00:00:27.000]  都可能的看法是
[00:00:27.000 --> 00:00:29.000]  看他們的才能
[00:00:29.000 --> 00:00:31.000]  看他們的學歷
[00:00:31.000 --> 00:00:32.000]  或者業績
[00:00:32.000 --> 00:00:33.000]  口才
[00:00:33.000 --> 00:00:34.000]  表現
[00:00:34.000 --> 00:00:37.000]  或者是那種的領導能力
[00:00:37.000 --> 00:00:38.000]  解難能力
[00:00:38.000 --> 00:00:41.000]  甚至乎不得不承認的
[00:00:41.000 --> 00:00:44.000]  有時外表都是一個很決定性的因素
[00:00:44.000 --> 00:00:46.000]  如果外表出眾的話
[00:00:46.000 --> 00:00:48.000]  都會有魅力一點
[00:00:48.000 --> 00:00:50.000]  一個簡單的例子
[00:00:50.000 --> 00:00:51.000]  如果這幅圖裏面
[00:00:51.000 --> 00:00:53.000]  你會被誰吸引了呢
[00:00:53.000 --> 00:00:55.000]  可能是姚明
[00:00:55.000 --> 00:00:56.000]  球技那麼好
[00:00:56.000 --> 00:00:58.000]  但很多時我們忽略了
[00:00:58.000 --> 00:01:00.000]  帶領球隊的那個教練
[00:01:00.000 --> 00:01:01.000]  這個一高一矮
[00:01:01.000 --> 00:01:03.000]  就很容易被我們體會到
[00:01:03.000 --> 00:01:05.000]  有時都會有一些表面的
[00:01:05.000 --> 00:01:06.000]  外表的東西
[00:01:06.000 --> 00:01:10.000]  都會影響了我們對那個人的印象
[00:01:10.000 --> 00:01:13.000]  有時在一些辯論裏面
[00:01:13.000 --> 00:01:14.000]  一些候選人
[00:01:14.000 --> 00:01:16.000]  如果可能是這樣的狀況
[00:01:16.000 --> 00:01:17.000]  一高一矮的時候
[00:01:17.000 --> 00:01:19.000]  可能都會有一些分別
[00:01:19.000 --> 00:01:21.000]  選票上的分別
[00:01:21.000 --> 00:01:23.000]  特別是我自己找的時候
[00:01:23.000 --> 00:01:25.000]  看到這幅圖
[00:01:25.000 --> 00:01:27.000]  我現在才知道原來他那麼矮
[00:01:27.000 --> 00:01:29.000]  訪問的時候都不察覺
[00:01:29.000 --> 00:01:30.000]  有些蝦鹿位
[00:01:30.000 --> 00:01:33.000]  原來要站高了才做訪問
[00:01:33.000 --> 00:01:34.000]  政治辯論裏面
[00:01:34.000 --> 00:01:36.000]  有時都會互相握手
[00:01:36.000 --> 00:01:41.000]  有候選人握手的時間
[00:01:41.000 --> 00:01:42.000]  長得高
