
[00:00:00.000 --> 00:00:07.000]  我今天會用一個新的方法跟大家分享
[00:00:07.000 --> 00:00:09.500]  為甚麼我要說這番話呢?
[00:00:09.500 --> 00:00:15.000]  因為我們現在開始就要跟大家說這個「新」字
[00:00:15.000 --> 00:00:22.000]  大家拿到副業,今天真的很多經文
[00:00:22.000 --> 00:00:24.000]  不過我會有少少改變
[00:00:24.000 --> 00:00:27.000]  我不會逐節逐節的經文跟大家讀
[00:00:27.000 --> 00:00:34.000]  我只是選完之後,大家可以慢慢去看這些聖經的經文
[00:00:34.000 --> 00:00:37.000]  首先讀讀第五章的第九節
[00:00:37.000 --> 00:00:54.000]  「他們唱著新歌,說:你配取書卷,配拆開封印,因為你曾被殺,曾用你的血從各支派、各方言、各民族、各邦國把人賣了來歸給臣。」
[00:00:54.000 --> 00:00:57.000]  一會兒再看第五章第十節
[00:00:57.000 --> 00:00:57.000]  首先「他們唱著新歌,說:你配取書卷,配拆開封印,因為你曾被殺,曾用你的血從各支派、各邦國把人賣了來歸給臣。」
[00:00:57.000 --> 00:01:00.000]  首先「他們唱著新歌,說:你配取書卷,配拆開封印,因為你曾被殺,曾用你的血從各支派、各邦國把人賣了來歸給臣。」
[00:01:00.000 --> 00:01:06.000]  甚麼是「新歌」呢?
[00:01:06.000 --> 00:01:11.000]  原來「新」這個字在希臘文是有兩個「新」的字
[00:01:11.000 --> 00:01:15.000]  起碼我知道有兩個字是說「新」的
[00:01:15.000 --> 00:01:17.000]  我們看看這個,我先寫給大家
[00:01:17.000 --> 00:01:22.000]  「新歌」這個名稱在舊約曾經出現了七次
[00:01:22.000 --> 00:01:27.000]  「總是和神師行救贖」的事情有關
[00:01:27.000 --> 00:01:30.000]  你看到這裡,其實你數下去不止七節
[00:01:30.000 --> 00:01:32.000]  一、二、三、四、五、六、七、八節
[00:01:32.000 --> 00:01:39.000]  八節因為已創教書四十二章第九和第十節是前後兩節聖經
[00:01:39.000 --> 00:01:43.000]  再說一次,聖經原文根本是沒有節數的
[00:01:43.000 --> 00:01:47.000]  所以你不可以這麼絕對地說那裡是兩節
[00:01:47.000 --> 00:01:49.000]  其實沒甚麼所謂叫一節兩節的
[00:01:49.000 --> 00:01:56.000]  這裡我把所有在舊約聖經提及到「新歌」這個字眼
[00:01:56.000 --> 00:01:58.000]  舊約說到「新歌」這個字眼
[00:01:58.000 --> 00:02:03.000]  原來根據學者的研究,你可以回去慢慢看上文下理
[00:02:03.000 --> 00:02:07.000]  因為我沒可能每一節,譬如詩篇三十三篇第三節
[00:02:07.000 --> 00:02:11.000]  「英國向他唱新歌,彈得巧妙,聲音洪亮」
[00:02:11.000 --> 00:02:14.000]  如果我把他的前文後理給大家
[00:02:14.000 --> 00:02:16.000]  我想五版子都搞不定
[00:02:16.000 --> 00:02:21.000]  所以我給了大家七節七處不同的經文
[00:02:21.000 --> 00:02:26.000]  你喜歡回去慢慢用時間去研究是有需要的
[00:02:26.000 --> 00:02:27.000]  你慢慢有空去研究
[00:02:27.000 --> 00:02:29.000]  我講這個有甚麼重點呢?
[00:02:29.000 --> 00:02:33.000]  原來在舊約當神去施行救贖的時候
[00:02:33.000 --> 00:02:38.000]  他們會唱一首叫「新歌」來去頌讚神的
[00:02:38.000 --> 00:02:40.000]  去讚美神的
[00:02:40.000 --> 00:02:46.000]  但這裏要看他們唱著「新歌」的對象是誰
