
[00:00:00.000 --> 00:00:04.480]  今年的諾貝爾和平獎
[00:00:04.480 --> 00:00:06.480]  大家有沒有留意?
[00:00:06.480 --> 00:00:08.480]  大家有留意吧
[00:00:08.480 --> 00:00:13.360]  有一個是有史以來最年輕的年輕人
[00:00:13.360 --> 00:00:15.360]  而且是女性
[00:00:15.360 --> 00:00:17.360]  得到諾貝爾和平獎
[00:00:17.360 --> 00:00:20.680]  有兩個的,還有一個是男士的
[00:00:20.680 --> 00:00:25.440]  那個女孩是叫馬拉拉
[00:00:25.440 --> 00:00:29.080]  她是巴基斯坦人
[00:00:29.080 --> 00:00:33.400]  只有17歲就得到諾貝爾和平獎
[00:00:33.400 --> 00:00:38.040]  我猜大家都知道她得獎的經歷
[00:00:38.040 --> 00:00:45.600]  原來她11歲就在網上寫文章
[00:00:45.600 --> 00:00:47.600]  寫關於她自己的國家
[00:00:47.600 --> 00:00:51.120]  兒童受教育,女孩不能讀書
[00:00:51.120 --> 00:00:57.560]  又在反對當時特別極權的塔利班人
[00:00:57.560 --> 00:01:00.600]  對女性的看法,不准讀書
[00:01:00.600 --> 00:01:02.600]  原來11歲開始寫
[00:01:02.600 --> 00:01:06.920]  寫了幾年,有些人不喜歡她
[00:01:06.920 --> 00:01:10.200]  所以在兩年前的10月
[00:01:10.200 --> 00:01:13.960]  她有一次放學乘車回家
[00:01:13.960 --> 00:01:19.480]  就被一些暴徒槍手射殺她
[00:01:19.480 --> 00:01:21.480]  其實她傷得很重
[00:01:21.480 --> 00:01:25.400]  報紙形容她有一個子彈穿過頭
[00:01:25.400 --> 00:01:28.760]  穿過頸部,停在肩膀上
[00:01:28.760 --> 00:01:30.760]  應該很嚴重
[00:01:30.760 --> 00:01:32.760]  當地她自己救不了
[00:01:32.760 --> 00:01:35.800]  要去英國做手術
[00:01:35.800 --> 00:01:39.320]  神跡性地康復
[00:01:39.320 --> 00:01:43.240]  報紙這樣形容,神跡性地康復
[00:01:43.240 --> 00:01:51.160]  她康復後繼續要爭取女士
[00:01:51.160 --> 00:01:53.480]  特別是國家要有書讀
[00:01:53.480 --> 00:01:55.480]  而且她說她的目標是甚麼
[00:01:55.480 --> 00:01:57.480]  要世界和平
[00:01:57.480 --> 00:02:00.760]  要世界和平,不單她自己國家和平
[00:02:00.760 --> 00:02:02.760]  世界也要和平
[00:02:02.760 --> 00:02:04.760]  我估大家在電視新聞都聽到
[00:02:04.760 --> 00:02:07.560]  她很出名的說話是甚麼
[00:02:07.560 --> 00:02:13.960]  有支筆,一個孩子,一個老師
[00:02:13.960 --> 00:02:17.160]  一支筆,一本書
[00:02:17.160 --> 00:02:20.040]  就要改變世界
[00:02:20.040 --> 00:02:22.440]  說完之後很簡單
[00:02:22.440 --> 00:02:26.280]  那些人就說很雀躍鼓掌
[00:02:26.280 --> 00:02:28.760]  她得到諾貝爾和平獎
[00:02:28.760 --> 00:02:33.640]  她經歷過生死,差不多死亡
[00:02:33.640 --> 00:02:37.560]  我覺得看到她的時候
[00:02:37.560 --> 00:02:40.120]  發現原來在亂世
[00:02:40.120 --> 00:02:43.160]  或者很多運動,很多衝突的世界當中
[00:02:43.160 --> 00:02:45.160]  原來仍然有些人
[00:02:45.160 --> 00:02:48.360]  為了和平要爭取
[00:02:48.360 --> 00:02:50.840]  繼續努力
[00:02:50.840 --> 00:02:55.800]  她生於一個很動盪的社會
[00:02:55.800 --> 00:03:05.080]  巴基斯坦,加上塔利班的暴徒
[00:03:05.080 --> 00:03:09.400]  但她仍然為世界和平而努力
[00:03:09.400 --> 00:03:16.040]  而她的出現給很多人一種安慰的感覺
[00:03:16.040 --> 00:03:17.560]  我們做基督徒
[00:03:17.560 --> 00:03:23.560]  我們相信更加要為和平而努力
[00:03:23.560 --> 00:03:25.640]  和睦而努力
[00:03:25.640 --> 00:03:30.440]  更加要為在人際的很多撕裂當中
[00:03:30.440 --> 00:03:33.160]  要做多些做炎做光
[00:03:33.160 --> 00:03:38.040]  和去做逢寶而努力
[00:03:38.040 --> 00:03:41.560]  這段聖經其實都很刺激我的
[00:03:41.560 --> 00:03:44.040]  剛剛這個社會的情況
[00:03:44.040 --> 00:03:46.040]  要預備這段聖經
[00:03:46.040 --> 00:03:48.040]  就想起耶穌基督所作的
[00:03:48.040 --> 00:03:49.080]  所以都很刺激
[00:03:49.080 --> 00:03:52.760]  將我刺激的思想想到
[00:03:52.760 --> 00:03:55.080]  和大家一起分享
[00:03:55.080 --> 00:04:02.120]  第一,敵意使人際關係很容易產生撕裂
[00:04:02.120 --> 00:04:05.000]  聖經裏面提到第十一節
[00:04:05.000 --> 00:04:09.800]  一班猶太人稱一班非猶太人
[00:04:09.800 --> 00:04:11.560]  即是外邦人
[00:04:11.560 --> 00:04:13.720]  不是說他們是外邦人
[00:04:13.720 --> 00:04:14.920]  說他們是甚麼
[00:04:14.920 --> 00:04:18.760]  是沒有受割禮的人
[00:04:18.760 --> 00:04:23.080]  即是他們覺得自己受割禮是很榮譽很重要
[00:04:23.080 --> 00:04:28.760]  他們就說一班沒有受割禮的外邦人
[00:04:28.760 --> 00:04:31.080]  這個其實有點貶義
[00:04:31.080 --> 00:04:32.280]  割禮是甚麼呢
