
[00:00:00.000 --> 00:00:05.240]  我們教會,其實我自己覺得,這個我是沒有經過開會這麼說的
[00:00:05.240 --> 00:00:08.040]  我們有三寶的,第一寶是什麼?
[00:00:08.040 --> 00:00:11.320]  我們的阿彎拿,第二寶我覺得也是挺珍貴的
[00:00:11.320 --> 00:00:15.080]  這裏我想多說一句,就不是直接我們教會的
[00:00:15.080 --> 00:00:19.560]  不過呢,我也是很覺得是神恩待我們的
[00:00:19.560 --> 00:00:21.320]  不知道你有沒有這個感覺
[00:00:21.320 --> 00:00:25.840]  其實呢,即是你的兒子要成功的話,爸爸媽媽要成功才成功
[00:00:25.840 --> 00:00:27.000]  不知道你有沒有同不同意
[00:00:27.000 --> 00:00:28.680]  爸爸媽媽不成功,他們多數都不是很成功
[00:00:28.680 --> 00:00:31.480]  不成功的意思就是說,你們不給予相愛的話
[00:00:31.480 --> 00:00:35.200]  其實都很難,孩子很學識,很相愛
[00:00:35.200 --> 00:00:38.960]  你媽媽天天吵架,和她老公,即是媽媽和爸爸天天吵架
[00:00:38.960 --> 00:00:43.320]  你很難,你兒子說,他們真的很有愛心,很難的
[00:00:43.320 --> 00:00:44.760]  所以都不用看的
[00:00:44.760 --> 00:00:48.360]  所以第一樣東西,第二樣東西,我覺得我們都是寶來的
[00:00:48.360 --> 00:00:52.040]  其實Boris和Mina,他們有一個事奉,我覺得是很珍貴的
[00:00:52.040 --> 00:00:55.840]  那叫做家庭更生協會,叫做夫婦恩愛形
[00:00:55.840 --> 00:01:02.520]  我們教會叫做近水流臺,所以我們很多家長都參加過夫婦恩愛形
[00:01:02.520 --> 00:01:06.000]  其實我就沒聽過有一個家長說要曬我幾天
[00:01:06.000 --> 00:01:09.480]  沒聽過,即是去到過都覺得值回票價
[00:01:09.480 --> 00:01:12.160]  真是早點早點去
[00:01:12.160 --> 00:01:15.000]  所以這個是我們另外一個寶來
[00:01:15.000 --> 00:01:18.520]  雖然不是說直接是我們教會的事宮
[00:01:18.520 --> 00:01:22.800]  但是,我也鼓勵一些,沒去過夫婦恩愛形王,你先看
[00:01:22.800 --> 00:01:26.680]  沒去過那些,記住要去
[00:01:26.680 --> 00:01:28.840]  夫婦恩愛形,第二寶
[00:01:28.840 --> 00:01:31.760]  第三寶我覺得都是很珍貴的
[00:01:31.760 --> 00:01:33.720]  我也不敢很自誇
[00:01:33.720 --> 00:01:36.560]  不過,我覺得我都很出力去做一件事情
[00:01:36.560 --> 00:01:38.760]  其實我都覺得我沒什麼事做過
[00:01:38.760 --> 00:01:41.600]  但是其中一個我都覺得出力去做的
[00:01:41.600 --> 00:01:43.640]  就是叫做家庭祭壇的工作
[00:01:43.640 --> 00:01:45.320]  什麼是家庭祭壇呢?
[00:01:45.320 --> 00:01:50.040]  其實你靠我,我們教會你經常帶回來
[00:01:50.040 --> 00:01:52.000]  你天天回家都不讀聖經的話
[00:01:52.000 --> 00:01:55.200]  你兒子也不怕什麼的
[00:01:55.200 --> 00:01:59.600]  所以你每個禮拜在家裏面帶領孩子
[00:01:59.600 --> 00:02:02.360]  討告讀聖經
[00:02:02.360 --> 00:02:05.720]  和一起聽詩歌
[00:02:05.720 --> 00:02:07.040]  這是一個很好的
[00:02:07.040 --> 00:02:11.200]  在家庭去建立這個祭壇
[00:02:11.200 --> 00:02:17.280]  三寶,求主都幫我們一起去建立我們孩子自小跟隨着
[00:02:17.280 --> 00:02:19.160]  不過還沒說完,先說回聖經
[00:02:19.160 --> 00:02:21.360]  聖經我們今天選這段經文
