
[00:00:00.000 --> 00:00:07.000]  星期一晚我提過古列夏詔
[00:00:07.000 --> 00:00:15.000]  他那份詔書有一個考古的文物
[00:00:15.000 --> 00:00:20.000]  在倫敦大英博物館
[00:00:20.000 --> 00:00:23.000]  有主內的肢體提醒我
[00:00:23.000 --> 00:00:33.000]  那只是一個埋在巴比倫神殿的根基的紀念品
[00:00:33.000 --> 00:00:47.000]  這是考古的共識提到發掘這件古物的地點
[00:00:47.000 --> 00:00:57.000]  至於用途其實可以有很多推測
[00:00:57.000 --> 00:01:01.000]  這麼短的時間我沒辦法回應
[00:01:01.000 --> 00:01:05.000]  我又忘記了我在哪裡看過哪些討論
[00:01:05.000 --> 00:01:09.000]  所以只能停在這裡
[00:01:09.000 --> 00:01:13.000]  多謝弟兄的澄清
[00:01:13.000 --> 00:01:18.000]  不過古列是兩堂之前的事了
[00:01:18.000 --> 00:01:22.000]  我們讀以賽亞書明白
[00:01:22.000 --> 00:01:25.000]  他不是主角
[00:01:25.000 --> 00:01:31.000]  所以古列選舉你不用追著結論
[00:01:31.000 --> 00:01:34.000]  他有什麼小動作
[00:01:34.000 --> 00:01:37.000]  你又不用有反應
[00:01:37.000 --> 00:01:46.000]  聖經裡關心的焦點主題不是古列
[00:01:46.000 --> 00:01:50.000]  乃是耶和華的僕人
[00:01:50.000 --> 00:01:55.000]  我的僕人以色列
[00:01:55.000 --> 00:02:00.000]  從四十一章到四十九章
[00:02:00.000 --> 00:02:08.000]  昨晚我們討論了第三首僕人之歌
[00:02:08.000 --> 00:02:13.000]  叫以色列復興
[00:02:13.000 --> 00:02:16.000]  今晚我們不重複了
[00:02:16.000 --> 00:02:24.000]  今天晚上我們來到以賽亞書一個核心的經文部分
[00:02:24.000 --> 00:02:29.000]  受苦僕人
[00:02:29.000 --> 00:02:35.000]  我們都一定認為
[00:02:35.000 --> 00:02:39.000]  這一段以賽亞書
[00:02:39.000 --> 00:02:44.000]  一定是講耶穌基督
[00:02:44.000 --> 00:02:48.000]  還有什麼其他的可能性
[00:02:48.000 --> 00:02:50.000]  翻開新約聖經
[00:02:50.000 --> 00:02:54.000]  每次提到他無雞營美容
[00:02:54.000 --> 00:02:57.000]  就是講主耶穌基督
[00:02:57.000 --> 00:03:02.000]  很多段的經文都很清楚
