
[00:00:00.000 --> 00:00:03.840]  今天跟大家分享的經文是在
[00:00:03.840 --> 00:00:08.960]  獵王記下五章一到十四節 那分享的題目是
[00:00:08.960 --> 00:00:11.520]  元帥乃曼的煩惱
[00:00:11.520 --> 00:00:15.100]  今天要講一個元帥他的故事
[00:00:15.100 --> 00:00:21.760]  他有很大的煩惱 但是他想到一些的方法去解決 那我們來看這個故事
[00:00:21.760 --> 00:00:25.080]  究竟給我們什麼啟發和啟示
[00:00:25.080 --> 00:00:29.180]  我們先來看經文 大家可以看屏幕上面的經文
[00:00:30.460 --> 00:00:34.300]  在獵王記下五章一到十四節
[00:00:34.300 --> 00:00:36.680]  這段經文講
[00:00:36.680 --> 00:00:42.000]  乃曼他是亞蘭的一個元帥 但是他有一個
[00:00:42.000 --> 00:00:46.600]  很嚴重的問題 這個問題對他帶來很大的一個困擾
[00:00:46.600 --> 00:00:49.160]  那就是他長了大麻瘋
[00:00:49.160 --> 00:00:55.560]  這段經文記載他得了大麻瘋病以後 他就去找先知伊麗莎
[00:00:55.560 --> 00:00:57.100]  希望能夠得到醫治
[00:00:57.100 --> 00:00:58.620]  不過當時呢
[00:00:59.140 --> 00:01:00.920]  亞蘭跟這個
[00:01:00.920 --> 00:01:05.020]  以色列國其實常常在打仗的 他們
[00:01:05.020 --> 00:01:07.840]  兩個國家之間有很多的戰士
[00:01:07.840 --> 00:01:09.120]  亞蘭的
[00:01:09.120 --> 00:01:10.140]  功臣
[00:01:10.140 --> 00:01:11.160]  其實就是
[00:01:11.160 --> 00:01:11.940]  乃曼
[00:01:11.940 --> 00:01:13.720]  他曾經也
[00:01:13.720 --> 00:01:18.580]  帶軍隊打敗過以色列的軍隊 所以他這次
[00:01:18.580 --> 00:01:20.900]  好像要去一個他的
[00:01:20.900 --> 00:01:27.040]  曾經交過戰的一個國家裡面 求那個國家的先知幫他來
[00:01:27.040 --> 00:01:27.800]  治病
[00:01:28.580 --> 00:01:31.640]  其實在這種情況底下是很少見的一個
[00:01:31.640 --> 00:01:34.980]  外邦的元帥 他本來是一個很
[00:01:34.980 --> 00:01:37.780]  高地位的一個人 他要去到
[00:01:37.780 --> 00:01:42.400]  以色列要找以色列的先知給他治病 在當時是非常
[00:01:42.400 --> 00:01:43.680]  不尋常的
[00:01:43.680 --> 00:01:45.720]  但是在這段經文裡面
[00:01:45.720 --> 00:01:50.340]  描述乃曼他可能是因為沒有辦法了 只能去找他
[00:01:50.340 --> 00:01:51.620]  那我們來看一下
[00:01:51.620 --> 00:01:55.700]  究竟這段故事給我們什麼樣的一些啟發
[00:01:55.700 --> 00:01:56.980]  先來看
[00:01:57.240 --> 00:01:58.780]  第一節的經文
[00:01:58.780 --> 00:02:03.640]  我們先來看乃曼他煩惱的原因是什麼呢
[00:02:03.640 --> 00:02:05.180]  首先他是
[00:02:05.180 --> 00:02:09.280]  位高權重卻身患惡疾
[00:02:09.280 --> 00:02:10.820]  第一節的經文說
[00:02:10.820 --> 00:02:14.140]  亞蘭王的元帥乃曼
[00:02:14.140 --> 00:02:16.700]  在他主人面前為尊為大
[00:02:16.700 --> 00:02:20.020]  剛才說了亞蘭這個地方呢
[00:02:20.020 --> 00:02:21.560]  其實是在
[00:02:21.560 --> 00:02:23.620]  大家看到那個地圖嗎 是在
[00:02:23.620 --> 00:02:24.900]  以色列的
[00:02:25.140 --> 00:02:29.240]  有點像東北方 就是那個白色的那個地方
[00:02:29.240 --> 00:02:33.080]  在右上角 大家的右上角白色的那個地方就是亞蘭
[00:02:33.080 --> 00:02:35.120]  那亞蘭下面呢
[00:02:35.120 --> 00:02:37.680]  粉紅色的那塊其實就是
[00:02:37.680 --> 00:02:38.960]  北國
[00:02:38.960 --> 00:02:39.740]  以色列
[00:02:39.740 --> 00:02:43.060]  當時以色列分裂成南國和北國
[00:02:43.060 --> 00:02:44.600]  北國是以色列
[00:02:44.600 --> 00:02:46.400]  南國是下面的
[00:02:46.400 --> 00:02:48.700]  黃色那塊就是尤大
[00:02:48.700 --> 00:02:52.020]  亞蘭王呢
[00:02:54.080 --> 00:02:57.920]  跟以色列王有一些的戰事 曾經也交過手
[00:02:57.920 --> 00:02:59.200]  那在這裡
[00:02:59.200 --> 00:03:02.780]  這個乃曼他是亞蘭王的一個
[00:03:02.780 --> 00:03:03.800]  元帥
[00:03:03.800 --> 00:03:09.180]  那可以看得出來他非常的有地位 而這個元帥
[00:03:09.180 --> 00:03:12.000]  在原文裡面是用了一個
[00:03:12.000 --> 00:03:13.520]  單數的一個
[00:03:13.520 --> 00:03:14.800]  形式
[00:03:14.800 --> 00:03:15.840]  就是
[00:03:15.840 --> 00:03:20.180]  代表了他是整個軍隊裡面最高的統帥了
[00:03:20.180 --> 00:03:23.000]  除了他以外沒有人能夠跟他的
[00:03:23.520 --> 00:03:24.280]  這個
[00:03:24.280 --> 00:03:28.380]  權力可以相比 除了這個亞蘭王 有可能他就是好像
[00:03:28.380 --> 00:03:29.660]  一人之下
[00:03:29.660 --> 00:03:31.460]  萬人之上的那種的角色
[00:03:31.460 --> 00:03:33.500]  首先他的地位非常的
[00:03:33.500 --> 00:03:37.860]  高 那第二呢 他不只地位很高 而且呢
[00:03:37.860 --> 00:03:39.640]  他還很得王的
[00:03:39.640 --> 00:03:40.420]  器重
[00:03:40.420 --> 00:03:44.760]  在這裡用了四個字叫做為尊為大 他在
[00:03:44.760 --> 00:03:47.320]  亞蘭王面前為尊為大
[00:03:47.320 --> 00:03:49.380]  如果你看另外
[00:03:49.880 --> 00:03:55.000]  一個譯本 就是現代中文譯本修訂版的翻譯是這樣講說他
[00:03:55.000 --> 00:03:57.040]  很得國王的
[00:03:57.040 --> 00:03:58.080]  器重
