
[00:00:00.000 --> 00:00:04.220]  我們有五堂時間來看以色列書
[00:00:04.220 --> 00:00:09.880]  我想很簡單來看看這五堂如何來分佈
[00:00:09.880 --> 00:00:11.840]  讀聖經的時候
[00:00:11.840 --> 00:00:13.760]  特別是在識經的課程裡面
[00:00:13.760 --> 00:00:14.720]  很重要
[00:00:14.720 --> 00:00:19.080]  第一是要知道那本書的背景
[00:00:19.080 --> 00:00:21.000]  特別是當我們讀舊約的時候
[00:00:21.000 --> 00:00:22.680]  我們經常覺得很難明白
[00:00:22.680 --> 00:00:25.400]  原來我們對舊約的背景不認識
[00:00:25.400 --> 00:00:28.240]  如果當我們認識了背景的時候
[00:00:28.240 --> 00:00:31.560]  你對那本書就很容易了解了
[00:00:31.560 --> 00:00:35.280]  所以今天我會講以色列書的背景
[00:00:35.280 --> 00:00:37.200]  以色列書有些什麼特色
[00:00:37.200 --> 00:00:41.520]  然後很快和大家看看以色列書的大綱
[00:00:41.520 --> 00:00:46.120]  接著我們集中看以色列先知被神如何呼召
[00:00:46.120 --> 00:00:47.680]  我們如何去回應
[00:00:47.680 --> 00:00:49.680]  去面對什麼挑戰
[00:00:49.680 --> 00:00:51.480]  還有面對什麼壓力
[00:00:51.480 --> 00:00:53.280]  以色列書有一個特點
[00:00:53.280 --> 00:00:54.800]  稍後也會特別講
[00:00:54.800 --> 00:00:57.600]  就是有很多象徵性的行動
[00:00:57.600 --> 00:00:59.640]  什麼叫象徵性行動呢?
[00:00:59.640 --> 00:01:01.120]  很簡單舉個例子
[00:01:01.120 --> 00:01:02.320]  基督徒也很熟悉的
[00:01:02.320 --> 00:01:06.160]  譬如以塞亞先知在聖殿裡面見到神的榮耀
[00:01:06.160 --> 00:01:08.800]  然後他就在認罪
[00:01:08.800 --> 00:01:11.080]  說我是一個嘴唇不潔的人
[00:01:11.080 --> 00:01:13.560]  住在嘴唇不潔的人當中
[00:01:13.560 --> 00:01:17.200]  然後神就派天使拿一個火箭
[00:01:17.200 --> 00:01:19.200]  下來燙他的嘴巴
[00:01:19.200 --> 00:01:23.320]  我在想那個火箭是不是真的很熱的火箭
[00:01:23.320 --> 00:01:24.520]  如果燙下去的話
[00:01:24.520 --> 00:01:26.160]  我想他嘴巴馬上會爛掉
[00:01:26.160 --> 00:01:27.640]  以及說不出話來
[00:01:27.640 --> 00:01:30.400]  但其實這個行動是什麼意思呢?
[00:01:30.400 --> 00:01:33.520]  是象徵神來除去他的罪孽
[00:01:33.520 --> 00:01:36.320]  好像火焚燒了雜質一樣
[00:01:36.320 --> 00:01:39.240]  原來以色列先知書裡面
[00:01:39.240 --> 00:01:43.320]  有很多很多象徵性的行動
[00:01:43.320 --> 00:01:45.320]  我們第二堂裡面
[00:01:45.320 --> 00:01:48.520]  就特別來解釋象徵性的行動
[00:01:48.520 --> 00:01:51.200]  大家看這個PowerPoint
[00:01:51.200 --> 00:01:54.760]  就看到有哪幾種的內容
[00:01:54.760 --> 00:01:56.640]  第三堂
[00:01:56.640 --> 00:02:01.560]  以色列的另一個特點就是有很多很多的比喻
[00:02:01.560 --> 00:02:06.000]  我們就會來講解這些比喻
[00:02:06.000 --> 00:02:10.760]  這些比喻究竟有什麼特別的意思在當中
[00:02:10.760 --> 00:02:12.720]  記住
[00:02:12.720 --> 00:02:15.720]  可能在這些過程當中
[00:02:15.720 --> 00:02:19.480]  未必有很深的屬靈的教導
[00:02:19.480 --> 00:02:23.360]  我會盡量了解和大家分享
[00:02:23.360 --> 00:02:27.280]  因為始終這些比喻象徵性的行動
[00:02:27.280 --> 00:02:31.000]  是針對當時的子民
[00:02:31.000 --> 00:02:34.520]  和我們現在好像有一段距離
[00:02:34.520 --> 00:02:37.560]  但是《釋經》就是我們研經課程
[00:02:37.560 --> 00:02:40.120]  就要研讀聖經的基本內容
[00:02:40.120 --> 00:02:44.080]  不可以這麼快就跳到應用那裡
[00:02:44.080 --> 00:02:48.920]  但第三堂之後的第四堂就很重要了
[00:02:48.920 --> 00:02:50.840]  你會發現第四堂好像很少
[00:02:50.840 --> 00:02:52.480]  只有兩行而已
[00:02:52.480 --> 00:02:54.680]  但是那個培靈性的教導
[00:02:54.680 --> 00:02:57.800]  就特別在第四堂裡面
[00:02:57.800 --> 00:02:59.680]  特別我們會很強調
[00:02:59.680 --> 00:03:01.080]  以色列書裡面
