
[00:00:00.000 --> 00:00:04.560]  我們生活在一個轉變得很快的社會
[00:00:04.560 --> 00:00:08.920]  我們的生活方式有很大的轉變
[00:00:08.920 --> 00:00:13.040]  我們的衣食住行都改變得很快
[00:00:13.040 --> 00:00:14.560]  對我們中國人來說
[00:00:14.560 --> 00:00:17.600]  唯一改變得比較慢的就是吃的
[00:00:17.600 --> 00:00:21.400]  我們今天吃的東西和一百年前的人吃的東西差不多
[00:00:21.400 --> 00:00:24.240]  我們很多傳統的食品
[00:00:24.240 --> 00:00:26.960]  又不是有很大的改變
[00:00:26.960 --> 00:00:30.440]  但是其他生活的形式就很大了
[00:00:30.440 --> 00:00:31.960]  我們穿的衣服
[00:00:31.960 --> 00:00:36.680]  今天我們穿的衣服和一百年前的中國人穿的衣服很不同
[00:00:36.680 --> 00:00:38.560]  還有年年新款
[00:00:38.560 --> 00:00:41.400]  有些人早兩三年的衣服都不穿了
[00:00:41.400 --> 00:00:45.640]  我們今天住的房子和一百年前的人住的房子很不同
[00:00:45.640 --> 00:00:48.680]  一百年前的房子基本上已經是古董了
[00:00:48.680 --> 00:00:52.160]  現在如果你想一百年樓齡
[00:00:52.160 --> 00:00:55.640]  基本上幾十年前已經賣掉了
[00:00:55.640 --> 00:00:57.760]  或者已經做了博物館了
[00:00:57.760 --> 00:00:59.280]  我們今天逛逛
[00:00:59.280 --> 00:01:02.560]  我們出門搭的交通工具
[00:01:02.560 --> 00:01:06.200]  基本上和一百年前又很不同了
[00:01:06.200 --> 00:01:07.800]  除非你住在山頂
[00:01:07.800 --> 00:01:09.520]  你還在搭纜車上下
[00:01:09.520 --> 00:01:13.120]  那可能就維持到一百年的這種交通工具
[00:01:13.120 --> 00:01:19.200]  所以我們的生活一百年來已經有很大的轉變
[00:01:19.200 --> 00:01:21.840]  甚至不單止我們的生活方式
[00:01:21.840 --> 00:01:26.160]  我們對一個人的要求其實都會有改變的
[00:01:26.160 --> 00:01:29.240]  每一個時代對於什麼叫做良善
[00:01:29.240 --> 00:01:31.800]  對於什麼叫做好人
[00:01:31.800 --> 00:01:34.560]  其實都有一定的不同
[00:01:34.560 --> 00:01:38.680]  都有一定的轉變來發生的
[00:01:38.680 --> 00:01:40.840]  所以很多人都問做基督徒
[00:01:40.840 --> 00:01:43.520]  究竟我們有沒有一套的標準
[00:01:43.520 --> 00:01:44.800]  在每一個的時代
[00:01:44.800 --> 00:01:46.000]  在每一個的地方
[00:01:46.000 --> 00:01:49.920]  在每一個的文化都是一樣的呢
[00:01:49.920 --> 00:01:54.840]  特別當我們將福音傳到一個新的文化的時候
[00:01:54.840 --> 00:02:00.240]  究竟我們一直以為是應該的事
[00:02:00.240 --> 00:02:01.760]  或者好的事
[00:02:01.760 --> 00:02:06.400]  是不是一定在新的一個文化裡面
[00:02:06.400 --> 00:02:09.400]  被那些人接受呢
[00:02:09.400 --> 00:02:10.240]  同時今天
[00:02:10.240 --> 00:02:13.000]  同樣今天如果我們做的基督徒來
[00:02:13.000 --> 00:02:16.920]  我們在幾十年前所聽到的教導
[00:02:16.920 --> 00:02:19.320]  今天當我們傳福音給人
[00:02:19.320 --> 00:02:21.200]  我們給香港人
[00:02:21.200 --> 00:02:24.000]  或者我們這兩個月的主題
[00:02:24.000 --> 00:02:25.600]  我們給紅土區的人
[00:02:25.600 --> 00:02:29.720]  是不是同樣可以要求現在
[00:02:29.720 --> 00:02:31.720]  現在才信耶穌的人
[00:02:31.720 --> 00:02:34.520]  同樣來這樣做呢
[00:02:34.520 --> 00:02:37.400]  這個問題就不是今天才有的問題
[00:02:37.400 --> 00:02:42.360]  這個問題是自從福音開始傳播的時間
[00:02:42.360 --> 00:02:44.360]  就已經有的問題了
[00:02:44.360 --> 00:02:45.840]  因為我們知道
[00:02:45.840 --> 00:02:49.760]  跟從耶穌的門徒或者教會的開始
[00:02:49.760 --> 00:02:51.240]  都是猶太人
[00:02:51.240 --> 00:02:54.320]  他們的生活是猶太人的生活
[00:02:54.320 --> 00:02:57.360]  但是當福音傳到外邦人的時候
[00:02:57.360 --> 00:02:59.520]  他們一樣面對這個問題
[00:02:59.520 --> 00:03:02.080]  有些什麼外邦人一定要做的呢
[00:03:02.080 --> 00:03:03.920]  當他們信耶穌的時候
[00:03:03.920 --> 00:03:07.600]  或者一個更加清楚的問題就是
[00:03:07.600 --> 00:03:09.240]  外邦人信耶穌
[00:03:09.240 --> 00:03:11.400]  是不是一定要先成為猶太人
[00:03:11.400 --> 00:03:13.120]  然後才可以信耶穌
[00:03:13.120 --> 00:03:16.280]  還是他們可以直接來信耶穌呢
[00:03:16.280 --> 00:03:19.200]  今天我們看《小學行傳》第十四章
[00:03:19.200 --> 00:03:22.400]  二十四節到十五章二十一節
[00:03:22.400 --> 00:03:25.120]  就給我們看見當時
[00:03:25.120 --> 00:03:28.040]  他們教會討論這個問題的時候
[00:03:28.040 --> 00:03:31.520]  他們的爭議是什麼
[00:03:31.520 --> 00:03:35.080]  我們都是二十幾節的
[00:03:35.080 --> 00:03:36.280]  二十幾節的聖經
[00:03:36.280 --> 00:03:37.360]  我們輪流來讀
[00:03:37.360 --> 00:03:39.360]  我們請弟兄先讀
[00:03:39.360 --> 00:03:40.880]  姐妹跟著
[00:03:40.880 --> 00:03:43.040]  輪流來讀完這段聖經
[00:03:43.040 --> 00:03:44.560]  我們請弟兄先
[00:03:44.560 --> 00:03:46.080]  準備一二三
[00:04:13.040 --> 00:04:16.640]  保羅巴拿巴與他們大大地紛爭辯論
[00:04:16.640 --> 00:04:18.600]  眾門徒就訂規
[00:04:18.600 --> 00:04:22.000]  叫保羅巴拿巴和本會主席
[00:04:22.000 --> 00:04:23.680]  與他們討論
[00:04:23.680 --> 00:04:26.480]  保羅巴拿巴和本會主席
[00:04:26.480 --> 00:04:27.440]  討論
[00:04:27.440 --> 00:04:29.920]  保羅巴拿巴和本會主席
[00:04:29.920 --> 00:04:31.040]  討論
[00:04:31.040 --> 00:04:33.280]  保羅巴拿巴和本會主席
[00:04:33.280 --> 00:04:34.240]  討論
[00:04:34.240 --> 00:04:36.080]  保羅巴拿巴和本會主席
[00:04:36.080 --> 00:04:36.960]  討論
[00:04:36.960 --> 00:04:38.960]  保羅巴拿巴和本會主席
[00:04:38.960 --> 00:04:40.000]  討論
[00:04:40.000 --> 00:04:42.000]  保羅巴拿巴和本會主席
[00:04:42.000 --> 00:04:43.280]  討論
[00:04:43.280 --> 00:04:45.840]  保羅巴拿巴和本會主席
[00:04:45.840 --> 00:04:47.120]  討論
[00:04:47.120 --> 00:04:49.440]  保羅巴拿巴和本會主席
[00:04:49.440 --> 00:04:50.960]  討論
[00:04:50.960 --> 00:04:53.280]  保羅巴拿巴和本會主席
[00:04:53.280 --> 00:04:54.800]  討論
[00:04:54.800 --> 00:04:57.360]  保羅巴拿巴和本會主席
[00:04:57.360 --> 00:04:58.640]  討論
[00:04:58.640 --> 00:05:01.200]  保羅巴拿巴和本會主席
[00:05:01.200 --> 00:05:02.480]  討論
[00:05:02.480 --> 00:05:05.040]  保羅巴拿巴和本會主席
[00:05:05.040 --> 00:05:06.320]  討論
[00:05:06.320 --> 00:05:08.880]  保羅巴拿巴和本會主席
[00:05:08.880 --> 00:05:10.160]  討論
[00:05:10.160 --> 00:05:12.720]  保羅巴拿巴和本會主席
[00:05:12.720 --> 00:05:14.000]  討論
[00:05:14.000 --> 00:05:16.560]  保羅巴拿巴和本會主席
[00:05:16.560 --> 00:05:17.840]  討論
[00:05:17.840 --> 00:05:20.400]  保羅巴拿巴和本會主席
[00:05:20.400 --> 00:05:21.680]  討論
[00:05:21.680 --> 00:05:24.240]  保羅巴拿巴和本會主席
[00:05:24.240 --> 00:05:25.520]  討論
[00:05:25.520 --> 00:05:28.080]  保羅巴拿巴和本會主席
[00:05:28.080 --> 00:05:29.360]  討論
[00:05:29.360 --> 00:05:31.920]  保羅巴拿巴和本會主席
[00:05:31.920 --> 00:05:33.200]  討論
[00:05:33.200 --> 00:05:35.760]  保羅巴拿巴和本會主席
[00:05:35.760 --> 00:05:37.040]  討論
[00:05:37.040 --> 00:05:39.600]  保羅巴拿巴和本會主席
[00:05:39.600 --> 00:05:40.880]  討論
[00:05:40.880 --> 00:05:44.720]  保羅巴拿巴和本會主席
[00:05:44.720 --> 00:05:46.000]  討論
