
[00:00:00.000 --> 00:00:05.960]  在去年11月我在城市面前有很長時間的安靜禱告
[00:00:05.960 --> 00:00:09.240]  我問城市一個問題
[00:00:09.240 --> 00:00:13.240]  我們看回我們這個地區
[00:00:13.240 --> 00:00:16.920]  銅鑼灣大坑走到炮台山這個地區
[00:00:16.920 --> 00:00:19.160]  其實都有很多教會
[00:00:19.160 --> 00:00:21.160]  我們走到後面有公理堂
[00:00:21.160 --> 00:00:23.480]  對面就是聖瑪利亞堂
[00:00:23.480 --> 00:00:26.800]  大坑裏面又有禮賢會
[00:00:26.800 --> 00:00:32.040]  一直走到炮台山附近有北宣
[00:00:32.040 --> 00:00:36.240]  我都未計中小型教會其實都有很多教會
[00:00:36.240 --> 00:00:38.360]  我問神
[00:00:38.360 --> 00:00:41.200]  當年1998年至99年
[00:00:41.200 --> 00:00:45.240]  其實整個銅福堂都是150人左右
[00:00:45.240 --> 00:00:50.800]  當時神有很大的臨在在這個群體裏面
[00:00:50.800 --> 00:00:55.720]  當時150人但有超過一半的弟兄姊妹經歷聖靈的更新
[00:00:55.720 --> 00:00:58.080]  然後我們在這裏建立一個群體
[00:00:58.080 --> 00:01:00.080]  在摩頓台這個地方
[00:01:00.080 --> 00:01:03.080]  神用很多的工作很多的改變
[00:01:03.080 --> 00:01:05.080]  我們見到很多的神蹟奇事
[00:01:05.080 --> 00:01:08.560]  究竟為何神要興起這個群體呢
[00:01:08.560 --> 00:01:12.720]  其實有很多群體 為何要搞那麼多呢
[00:01:12.720 --> 00:01:17.920]  我問神 祢興起這個群體究竟我們的命定是甚麼呢
[00:01:17.920 --> 00:01:21.880]  銅福堂的命定 銅福堂的使命是甚麼呢
[00:01:21.880 --> 00:01:25.800]  當我在這裏禱告的時候 神就不斷跟我說話
[00:01:25.800 --> 00:01:27.800]  今天我很想跟大家分享
[00:01:27.800 --> 00:01:32.120]  在這個時間領受神跟我們講銅福堂的命定
[00:01:32.120 --> 00:01:34.120]  我們的使命是甚麼
[00:01:34.120 --> 00:01:37.280]  銅福堂是一個醫治的群體
[00:01:37.280 --> 00:01:44.240]  我們讓頂姐妹在敬拜讚美和禱告裏面經歷神的真實
[00:01:44.240 --> 00:01:47.760]  所以很多頂姐妹當進來的時候
[00:01:47.760 --> 00:01:50.760]  在我們的敬拜讚美裏面會流淚
[00:01:50.760 --> 00:01:52.760]  我們有花名叫銅福堂
[00:01:52.760 --> 00:01:56.520]  所以大家都明白在神裏面經歷神的真實
[00:01:56.520 --> 00:01:58.520]  你自然會流淚
[00:01:58.520 --> 00:02:00.520]  你在禱告裏面 禱告伏事裏面
[00:02:00.520 --> 00:02:03.000]  你自己在禱告裏面經歷神的真實
[00:02:03.000 --> 00:02:05.320]  我們的信仰不是一些概念
[00:02:05.320 --> 00:02:09.400]  而是經歷到神活著的在我們的生命裏面
[00:02:09.400 --> 00:02:12.920]  我們的群體是向聖靈開放的
[00:02:12.920 --> 00:02:15.400]  我們鼓勵頂姐妹被聖靈更生
[00:02:15.400 --> 00:02:19.200]  當你被聖靈更生的時候 你的心靈就被醫治
[00:02:19.200 --> 00:02:22.760]  你可能在生命裏面有些東西卡住你
[00:02:22.760 --> 00:02:24.760]  綁著你 讓你停滯不前
[00:02:24.760 --> 00:02:26.760]  因為聖靈的臨在
[00:02:26.760 --> 00:02:29.240]  神的能力介入 你可以有突破
[00:02:29.240 --> 00:02:31.000]  你可以有更生
[00:02:31.000 --> 00:02:33.280]  本來關係有險匱的
[00:02:33.280 --> 00:02:35.680]  很多很多彼此的憎恨
[00:02:35.680 --> 00:02:37.680]  因為有聖靈的能力改變
[00:02:37.680 --> 00:02:39.680]  關係可以復和
[00:02:39.680 --> 00:02:41.680]  好像《士徒行傳》第一章八字
[00:02:41.680 --> 00:02:44.800]  有聖靈的能力來到 我們就可以為神做見證
[00:02:44.800 --> 00:02:46.800]  帶著能力去傳福音
[00:02:46.800 --> 00:02:48.800]  所以見銅福堂是有很多傳福音的
