
[00:00:00.000 --> 00:00:21.000]  總算,火海,經濟,十價,甚至宣道,我們的先賢,不單止是我們鄭勝威的先賢,
[00:00:21.000 --> 00:00:38.000]  而是每一位在基督裡面,基督教會裡面的先賢,自基督的教會創立到現在為止,是用很多的血和淚,
[00:00:38.000 --> 00:00:57.000]  才建造了今日,我們這個教會,神的教,在我們短短的二十二年當中,活到教會裡面,我們亦都經歷了神的帶領和恩典。
[00:00:57.000 --> 00:01:10.000]  在這篇文章當中,今日,我願意和大家一齊來讀《羅馬宵》第十二章第一節到第八節,「活動活祭」,我們去察驗上帝的心意。
[00:01:10.000 --> 00:01:26.000]  我們一齊讀出:「所以弟兄們,我以神的慈悲勸你們,將身體獻上,當作活祭,是聖潔的,是神所起的,你們如此侍奉,乃是理所當然的。」
[00:01:26.000 --> 00:01:38.000]  「不要效法這個世界,只要心意更新而變化,叫你們察驗何謂上帝的善良,純全,可喜悅的旨意。」
[00:01:38.000 --> 00:01:52.000]  「我憑著所賜我的恩,對你們每一位說,不要看自己看得太高,不要照上帝所分的信心來衡量,看得合乎中度。」
[00:01:52.000 --> 00:02:06.000]  「正如我們一個身體上有好些肢體,肢體也不都有一樣的用處,也讓我們許多人在基督裡是一個身體,互相聯絡作肢體。」
[00:02:06.000 --> 00:02:30.000]  「按著所得的恩典,我們各有不同的恩賜,或說喻言,要按著信心的程度說喻言,或服事的,要專一服事,或教導的,要專一教導,或勸勉的,要專一勸勉,施捨的,要誠實,自理的,要殷勤,憐憫人的,要樂義。」
[00:02:36.000 --> 00:03:00.000]  「十二章第一節的一個『所義』,是傳《章成經》,或說是在十二章到最後一個章,以至於第一章到第十一章之間的一個好重要的一個小小的字眼。」
[00:03:00.000 --> 00:03:08.000]  「這個『所義』,『所義』,我以神的慈悲應你們。」
[00:03:08.000 --> 00:03:15.000]  「如果應,啊,I am sorry, do you have any English interpretation?」
[00:03:15.000 --> 00:03:36.000]  「OK!OK!然後,我用緊NI的譯文,用NI的譯文,Therefore, I urge you, in view of God's mercy, in view of,那一章的『成經』,就好似是,你知不知,上一段一至二十一章。」
[00:03:36.000 --> 00:03:46.000]  「所以,最首章就是,很來為我們,就是,呃,架構了一個門的框架,門框的框架。」
[00:03:46.000 --> 00:03:51.000]  「這個框架就是神學的框架,九因的框架,就是說,神為我們做了些甚麼呢?」
[00:03:51.000 --> 00:03:56.000]  「我們在基督徒裏面,成為何等樣的人,欣賞先賢是甚麼的動力?」
[00:03:56.000 --> 00:04:04.000]  「我們是藉著受浸歸入基督,是與基督同死同活,以致我們是行事為人,有新生的樣式。」
[00:04:04.000 --> 00:04:12.000]  「我們從前是被罪惡所捆綁的,在律法之下,在神的震怒審判之下,今日我們在主耶穌基督裏面,是得到升降。」
[00:04:12.000 --> 00:04:21.000]  「這個門框,然後這個畢節眼裏面的十二章第一節,這個『所以』這個字呢?」
[00:04:21.000 --> 00:04:32.000]  「就好似一個門的門鈎,這樣,一打開它,你一打開它,就推開個門,或者打開個門,就讓我們看見一個新的世界,放在你面前。」
[00:04:32.000 --> 00:04:43.000]  「而這個『所以』,本來勸你,我勸你,我urge你,是一個邀請,是一個挑戰。」
[00:04:43.000 --> 00:04:54.000]  「是叫我們進入這個門裡面,是叫這個門所展開的,這個在基督裏面的新的生活,新的生命,叫我們有何等大的盼望和挑戰。」
[00:04:54.000 --> 00:05:03.000]  「所以呢,我們從這一段的經文開始,就是普羅所展開的一個新的世界的觀,一個new world view。」
[00:05:03.000 --> 00:05:14.000]  「我們用一個新的眼光看這個世界,我們用一個新的生命,來面出一個新的生活,以致在這個新的世界當中,能夠去與神的歡召我們的這個恩惠相承。」
[00:05:14.000 --> 00:05:20.000]  「這亦都是古學思想裏面,是常見的一個架構,它們感覺同一個的道理。」
