
[00:00:00.000 --> 00:00:10.200]  今天我們要從這段《聖經》裏頭看看《在患難中忍耐》這個主題
[00:00:10.200 --> 00:00:17.200]  保羅寫《提摩臺厚書》的時候他的處境
[00:00:17.200 --> 00:00:22.200]  那個時候他已經被關在監獄裏頭了
[00:00:22.200 --> 00:00:27.700]  這是他第二次被監禁
[00:00:27.700 --> 00:00:34.200]  第一次是記載在《使徒行傳》裏頭第28章
[00:00:34.200 --> 00:00:38.200]  他來到被關在羅馬的監獄裏頭
[00:00:38.200 --> 00:00:41.200]  他要向蓋薩上訴
[00:00:41.200 --> 00:00:45.700]  所以就有兵兵押送他到羅馬
[00:00:45.700 --> 00:00:49.200]  他就被放在一個房子
[00:00:49.200 --> 00:00:52.700]  也就是監獄裏頭有兩年的時間
[00:00:52.700 --> 00:00:57.700]  後來就是他得到釋放了
[00:00:57.700 --> 00:01:04.700]  他被放出來以後又繼續在各個地方傳道爲主作見證
[00:01:04.700 --> 00:01:09.200]  等到過了幾年以後
[00:01:09.200 --> 00:01:14.700]  當時羅馬的皇帝是蓋薩
[00:01:14.700 --> 00:01:18.200]  蓋薩的話尼羅皇帝
[00:01:18.200 --> 00:01:23.200]  尼羅皇帝就是他一個妻子
[00:01:23.200 --> 00:01:27.200]  就是不是很好
[00:01:27.200 --> 00:01:32.200]  他就想看看火災的時候那種景況
[00:01:32.200 --> 00:01:36.200]  所以他就派人去燒一些
[00:01:36.200 --> 00:01:39.200]  羅馬一些地方的
[00:01:39.200 --> 00:01:42.700]  一些比較窮苦人住的地方
[00:01:42.700 --> 00:01:44.700]  很破爛的房子
[00:01:44.700 --> 00:01:47.700]  他就想把這片地方燒掉
[00:01:47.700 --> 00:01:50.700]  燒掉以後可以再蓋新的房子
[00:01:50.700 --> 00:01:57.700]  所以尼羅皇帝就派人去燒這片的地方
[00:01:57.700 --> 00:02:01.700]  沒有想到一燒的話控制不住
[00:02:01.700 --> 00:02:06.700]  連羅馬的其他好的房子都被燒掉了
[00:02:06.700 --> 00:02:11.700]  那麼羅馬皇帝的尼羅的妻子
[00:02:11.700 --> 00:02:16.200]  就在城樓上面看羅馬的大佛
[00:02:16.200 --> 00:02:18.700]  她覺得很高興
[00:02:18.700 --> 00:02:23.700]  結果等到火災一出來以後控制不了了
[00:02:23.700 --> 00:02:26.700]  羅馬差不多就成爲一個廢墟了
[00:02:26.700 --> 00:02:29.700]  這下百姓就很生氣了
[00:02:29.700 --> 00:02:32.700]  怎麼可以變成這樣的樣子呢
[00:02:32.700 --> 00:02:34.700]  要追究責任
[00:02:34.700 --> 00:02:36.700]  那尼羅怎麼辦呢
[00:02:36.700 --> 00:02:39.700]  就把責任推到基督徒
[00:02:39.700 --> 00:02:42.700]  說是基督徒放的火
[00:02:42.700 --> 00:02:47.700]  這樣的話基督徒就開始受到迫害了
[00:02:47.700 --> 00:02:49.700]  所以就在那個時候
[00:02:49.700 --> 00:02:52.700]  保羅就被彌補了
[00:02:52.700 --> 00:02:55.700]  然後就被放在監獄裏頭
[00:02:55.700 --> 00:02:57.700]  這一次的監獄
[00:02:57.700 --> 00:03:00.700]  他在的地方就沒有像上一次
[00:03:00.700 --> 00:03:04.700]  第一次被監禁的時候那麼的好了
[00:03:04.700 --> 00:03:06.700]  那個是個地牢
[00:03:06.700 --> 00:03:09.700]  又潮溼又冷
[00:03:09.700 --> 00:03:12.700]  那麼關在這裏頭
[00:03:12.700 --> 00:03:14.700]  跟他在一起的人
[00:03:14.700 --> 00:03:16.700]  就不像第一次的時候
[00:03:16.700 --> 00:03:19.700]  有很多人可以來幫助他來看他
[00:03:19.700 --> 00:03:21.700]  來跟他交談
[00:03:21.700 --> 00:03:23.700]  那麼很孤單
[00:03:23.700 --> 00:03:26.700]  所以這個是他最後過不久以後
[00:03:26.700 --> 00:03:31.700]  就被羅馬尼羅皇帝處死了
[00:03:31.700 --> 00:03:34.700]  被砍頭了
[00:03:34.700 --> 00:03:36.700]  因爲他是羅馬公民
[00:03:36.700 --> 00:03:38.700]  所以不能把他釘十字架
[00:03:38.700 --> 00:03:43.700]  當時的十字架只是對付非羅馬公民的人
[00:03:43.700 --> 00:03:45.700]  那麼這樣的話保羅就尋到了
[00:03:45.700 --> 00:03:49.700]  所以當保羅在監獄裏頭在地牢裏頭
[00:03:49.700 --> 00:03:53.700]  寫這封羅馬齊默泰後書的時候
[00:03:53.700 --> 00:03:57.700]  他也知道自己的日子不太長了
[00:03:57.700 --> 00:04:00.700]  即將要尋到了
[00:04:00.700 --> 00:04:02.700]  結果他要做什麼呢
[00:04:02.700 --> 00:04:06.700]  他就盼望他爲基督所做的建政
[00:04:06.700 --> 00:04:09.700]  能夠繼續地傳遞下去
[00:04:09.700 --> 00:04:12.700]  希望下一代的同工
[00:04:12.700 --> 00:04:17.700]  比如像齊默泰、希臘這些的同工
[00:04:17.700 --> 00:04:22.700]  也能夠繼續把這個建政給傳遞下去
[00:04:22.700 --> 00:04:24.700]  所以保羅這個時候所想到的
[00:04:24.700 --> 00:04:26.700]  不是他自己的安危
[00:04:26.700 --> 00:04:31.700]  那是想到建政怎麼能夠繼續傳遞下去
[00:04:31.700 --> 00:04:33.700]  一直等到主耶穌回來
[00:04:33.700 --> 00:04:36.700]  所以他就寫這個羅馬書
[00:04:36.700 --> 00:04:42.700]  所以在齊默泰後書第二章裏頭也講到
[00:04:42.700 --> 00:04:45.700]  他要第二章的第二節說
[00:04:45.700 --> 00:04:48.700]  他說你在許多建政人面前
[00:04:48.700 --> 00:04:50.700]  聽見我所教訓的
[00:04:50.700 --> 00:04:55.700]  也要交託那忠心能夠教導別人的人
[00:04:55.700 --> 00:04:59.700]  這句話說要交託就是要傳遞
[00:04:59.700 --> 00:05:03.700]  要交託那些忠心的人
[00:05:03.700 --> 00:05:06.700]  這些人也能夠教導別人
[00:05:06.700 --> 00:05:08.700]  這些人是什麼呢
[00:05:08.700 --> 00:05:11.700]  也是爲耶穌基督所建政的
[00:05:11.700 --> 00:05:15.700]  所以要交託就是要傳遞下去
[00:05:15.700 --> 00:05:18.700]  所以這個保羅就在齊默泰後書
[00:05:18.700 --> 00:05:23.700]  寫到這些的話語
[00:05:23.700 --> 00:05:26.700]  這個地方就我們剛纔讀的《聖經》
[00:05:26.700 --> 00:05:31.700]  就是其中說到要在患難中怎麼樣忍耐
[00:05:31.700 --> 00:05:36.700]  還能夠繼續的把福音的建政傳遞下去
[00:05:36.700 --> 00:05:39.700]  因爲歷史歷代都是建政
[00:05:39.700 --> 00:05:41.700]  是一代一代的傳下去
[00:05:41.700 --> 00:05:44.700]  今天我們還能夠認識主
[00:05:44.700 --> 00:05:48.700]  今天我們還能夠在教會里頭一同敬拜神
[00:05:48.700 --> 00:05:53.700]  離開保羅這個時候已經有將近兩千年了
[00:05:53.700 --> 00:05:58.700]  這兩千年當中一代的建政人倒下去了
[00:05:58.700 --> 00:05:59.700]  去世了
[00:05:59.700 --> 00:06:01.700]  另一代的人起來了
[00:06:01.700 --> 00:06:05.700]  所以這個神的工作他沒有停頓
[00:06:05.700 --> 00:06:07.700]  要是一般人的工作的話
[00:06:07.700 --> 00:06:11.700]  可能經過一百年或者幾十年就消失了
[00:06:11.700 --> 00:06:14.700]  或者過去幾百年也就過去了
