
[00:00:00.000 --> 00:00:03.000]  請師父讓我們先聽神的禱語
[00:00:03.000 --> 00:00:04.000]  讓我們同心地禱告
[00:00:04.000 --> 00:00:07.000]  弟子們讓我們聽到先同心地禱告
[00:00:07.000 --> 00:00:12.000]  父神啊
[00:00:12.000 --> 00:00:14.000]  求你幫助我們每一個聽的
[00:00:14.000 --> 00:00:15.000]  講的
[00:00:15.000 --> 00:00:18.000]  都有你的聖靈要來同在
[00:00:18.000 --> 00:00:21.000]  求你讓我們曉得
[00:00:21.000 --> 00:00:23.000]  祢是我們的主
[00:00:23.000 --> 00:00:25.000]  我們的神
[00:00:25.000 --> 00:00:28.000]  父神求你幫助我們
[00:00:28.000 --> 00:00:31.000]  無論是聽的講的
[00:00:31.000 --> 00:00:32.000]  都有你的聖靈
[00:00:32.000 --> 00:00:33.000]  陪伴我們
[00:00:33.000 --> 00:00:35.000]  指導我們
[00:00:35.000 --> 00:00:36.000]  使我們曉得
[00:00:36.000 --> 00:00:38.000]  怎樣尊主
[00:00:38.000 --> 00:00:39.000]  祢是我們的主
[00:00:39.000 --> 00:00:41.000]  我們的神
[00:00:41.000 --> 00:00:42.000]  大大豐富耶穌名重
[00:00:42.000 --> 00:00:44.000]  Amen
[00:00:44.000 --> 00:00:48.000]  十三歲的時候
[00:00:48.000 --> 00:00:50.000]  十三歲的時候
[00:00:50.000 --> 00:00:52.000]  我媽媽就跟我們講
[00:00:52.000 --> 00:00:54.000]  我母親跟我說
[00:00:54.000 --> 00:00:57.000]  我們不如一起去日本旅行
[00:00:57.000 --> 00:01:01.000]  我們不如一起去日本旅行
[00:01:01.000 --> 00:01:04.000]  我們當然沒去過日本
[00:01:04.000 --> 00:01:06.000]  我們當時一定是沒去過日本
[00:01:06.000 --> 00:01:08.000]  飛機都沒坐過
[00:01:08.000 --> 00:01:10.000]  飛機都沒有坐過
[00:01:10.000 --> 00:01:11.000]  我媽媽這樣講
[00:01:11.000 --> 00:01:13.000]  一起去旅行
[00:01:13.000 --> 00:01:15.000]  我媽媽說我們一起去日本旅行
[00:01:15.000 --> 00:01:17.000]  就要去日本旅遊
