
[00:00:00.000 --> 00:00:06.000]  我們今天不如說一個題目
[00:00:06.000 --> 00:00:08.000]  是我們覺得很切身的
[00:00:08.000 --> 00:00:09.000]  說到苦難
[00:00:09.000 --> 00:00:11.000]  你看到有很多天災人禍
[00:00:11.000 --> 00:00:14.000]  還有很多個人的痛苦
[00:00:14.000 --> 00:00:16.000]  個人的災難等等
[00:00:16.000 --> 00:00:18.000]  過去一個多星期
[00:00:18.000 --> 00:00:20.000]  我已經去了三次醫院
[00:00:20.000 --> 00:00:22.000]  去探病
[00:00:22.000 --> 00:00:24.000]  不是我自己去
[00:00:24.000 --> 00:00:26.000]  我去探病
[00:00:26.000 --> 00:00:28.000]  去visit一些人等等
[00:00:28.000 --> 00:00:31.000]  兩次是有關其他人的
[00:00:31.000 --> 00:00:34.000]  第三次是有關一隻貓的
[00:00:34.000 --> 00:00:37.000]  所以貓也去了醫院
[00:00:37.000 --> 00:00:39.000]  所以出入醫院很多次
[00:00:39.000 --> 00:00:41.000]  我記得上星期六
[00:00:41.000 --> 00:00:43.000]  是不是上星期六
[00:00:43.000 --> 00:00:44.000]  上星期六
[00:00:44.000 --> 00:00:47.000]  去探一個病人
[00:00:47.000 --> 00:00:49.000]  探一個大英姐妹
[00:00:49.000 --> 00:00:50.000]  去醫院的時候
[00:00:50.000 --> 00:00:53.000]  我們由city開車去西北醫院
[00:00:53.000 --> 00:00:55.000]  我開了兩小時
[00:00:55.000 --> 00:00:57.000]  兩小時車
[00:00:57.000 --> 00:00:59.000]  你知道什麼事嗎
[00:00:59.000 --> 00:01:00.000]  塞車
[00:01:00.000 --> 00:01:01.000]  塞車
[00:01:01.000 --> 00:01:02.000]  我也不知道發生什麼事
[00:01:02.000 --> 00:01:03.000]  原來有concert
[00:01:03.000 --> 00:01:05.000]  我們收到的大英姐妹
[00:01:05.000 --> 00:01:06.000]  真是很好
[00:01:06.000 --> 00:01:08.000]  她們又出不了街
[00:01:08.000 --> 00:01:09.000]  又回不了家
[00:01:09.000 --> 00:01:11.000]  我想不到20分鐘車
[00:01:11.000 --> 00:01:12.000]  變成兩個小時車
[00:01:12.000 --> 00:01:15.000]  真是苦難
[00:01:15.000 --> 00:01:19.000]  我還拿著棍波車
[00:01:19.000 --> 00:01:20.000]  挺辛苦
[00:01:20.000 --> 00:01:22.000]  一路停一路去
[00:01:22.000 --> 00:01:24.000]  這個題目
[00:01:24.000 --> 00:01:26.000]  是一個很切身的題目
[00:01:26.000 --> 00:01:28.000]  因為我們見到很多的苦難
[00:01:28.000 --> 00:01:30.000]  只不然我們想起
[00:01:30.000 --> 00:01:32.000]  這本書叫《約伯記》
[00:01:32.000 --> 00:01:34.000]  《約伯記》是講什麼呢
[00:01:34.000 --> 00:01:36.000]  《約伯記》是講到一個人
[00:01:36.000 --> 00:01:37.000]  他受了很多苦
[00:01:37.000 --> 00:01:39.000]  然後他無語問蒼天
[00:01:39.000 --> 00:01:41.000]  有些朋友來關心他
[00:01:41.000 --> 00:01:45.000]  然後他就去向上帝追問
[00:01:45.000 --> 00:01:47.000]  到底為什麼他是一個
[00:01:47.000 --> 00:01:48.000]  所謂innocent
[00:01:48.000 --> 00:01:50.000]  不值得
[00:01:50.000 --> 00:01:53.000]  不配有一個這樣的對待
[00:01:53.000 --> 00:01:55.000]  有很多的苦難在他身上發生
[00:01:55.000 --> 00:01:59.000]  他就去問一問上帝
