
[00:00:00.000 --> 00:00:07.000]  詩篇剛才這兩句話是這個作詩的人他的一個轉變
[00:00:07.000 --> 00:00:11.000]  本來他看到一些惡人想平安
[00:00:11.000 --> 00:00:13.000]  他心裡都很不平
[00:00:13.000 --> 00:00:15.000]  但是一直也不明白
[00:00:15.000 --> 00:00:19.000]  後來他在詩六節就說
[00:00:19.000 --> 00:00:22.000]  我思索怎能明白這事
[00:00:22.000 --> 00:00:25.000]  他說很難很難明白
[00:00:25.000 --> 00:00:31.000]  到第四期節他就得到這個問題的答案
[00:00:31.000 --> 00:00:33.000]  他說等我進了聖所
[00:00:33.000 --> 00:00:36.000]  神的聖所就思想他們的結局
[00:00:36.000 --> 00:00:38.000]  他就來到神的面前
[00:00:38.000 --> 00:00:42.000]  思想他不明白的地方
[00:00:42.000 --> 00:00:48.000]  今天我們的題目就是神的全能
[00:00:48.000 --> 00:00:52.000]  今天是九月九號
[00:00:52.000 --> 00:00:56.000]  再過兩天就九一一九月十一號
[00:00:56.000 --> 00:00:58.000]  想起來在十一年前
[00:00:58.000 --> 00:01:02.000]  二零零一年九月九號
[00:01:02.000 --> 00:01:06.000]  在美國發生了一個大的事件
[00:01:06.000 --> 00:01:10.000]  到現在這個還影響到美國
[00:01:10.000 --> 00:01:12.000]  也影響到全世界
[00:01:12.000 --> 00:01:14.000]  在內心的話
[00:01:14.000 --> 00:01:16.000]  恐怖分子架了飛機
[00:01:16.000 --> 00:01:19.000]  創了這兩棟高樓
[00:01:19.000 --> 00:01:25.000]  這棟兩個大樓很快就塌下來了
[00:01:25.000 --> 00:01:28.000]  有好幾千人死的
[00:01:28.000 --> 00:01:30.000]  傷的也不少
[00:01:30.000 --> 00:01:34.000]  這個事情可以說是剛進入二十一世紀
[00:01:34.000 --> 00:01:37.000]  就給人們很大的一個衝擊
[00:01:37.000 --> 00:01:40.000]  很大的影響
[00:01:40.000 --> 00:01:43.000]  好像就覺得在美國這個地方
[00:01:43.000 --> 00:01:46.000]  都找不到安全的地方
[00:01:46.000 --> 00:01:50.000]  在世界上哪一個地方是能安全的呢
[00:01:50.000 --> 00:01:53.000]  所以人的思想上就很恐慌
[00:01:53.000 --> 00:01:57.000]  所以有人就是懷疑神了
[00:01:57.000 --> 00:02:03.000]  神既然是良善的
[00:02:03.000 --> 00:02:07.000]  為什麼這個世界上
