
[00:00:00.000 --> 00:00:04.660]  歡迎大家來到我們五樓的周六崇拜
[00:00:04.660 --> 00:00:06.140]  由今年一月開始
[00:00:06.140 --> 00:00:09.420]  我們一直在研讀《馬可福音》
[00:00:09.420 --> 00:00:14.100]  我們講到系列的總題叫做「非凡的見證」
[00:00:14.100 --> 00:00:16.720]  不是因為馬可是一個非凡的作者
[00:00:16.720 --> 00:00:21.340]  而是因為主耶穌基督是一個非凡的救主
[00:00:21.340 --> 00:00:26.920]  今天我們讀的經文是《馬可福音》第六章第44至56節
[00:00:26.920 --> 00:00:31.960]  我們的講題是「迷途羔羊」
[00:00:31.960 --> 00:00:36.900]  讀完今天 我們剛剛好讀完《馬可福音》第六章
[00:00:36.900 --> 00:00:40.740]  今年的第32篇《馬可福音》的講道
[00:00:40.740 --> 00:00:43.360]  也是今年最後的一篇
[00:00:43.360 --> 00:00:49.320]  12月我們將會講多一些關於聖誕節的題目
[00:00:49.320 --> 00:00:53.760]  而去到明年一月 我們會繼續去讀《馬可福音》
[00:00:53.760 --> 00:00:57.020]  我們的《馬可福音》明年開始還有十章
[00:00:57.020 --> 00:01:00.540]  我估計大概還有40篇才可以講完
[00:01:00.540 --> 00:01:06.100]  也就是說可能要講到2020年我們才可以完結
[00:01:06.100 --> 00:01:09.500]  如果你今個星期有收到我WhatsApp
[00:01:09.500 --> 00:01:12.100]  你應該知道今天我們講這段聖經
[00:01:12.100 --> 00:01:15.300]  其實是很難解的一段聖經
[00:01:15.300 --> 00:01:18.640]  這段聖經有一點像中期大考
[00:01:18.640 --> 00:01:19.720]  Midterm
[00:01:19.720 --> 00:01:23.980]  因為我們現在讀到大概《馬可福音》的中部
[00:01:23.980 --> 00:01:27.280]  而上帝都要考一考我們
[00:01:27.280 --> 00:01:30.000]  你要聽得明白今天的這篇道
[00:01:30.000 --> 00:01:31.740]  你要解得通
[00:01:31.740 --> 00:01:34.240]  你可能要綜合之前
[00:01:34.240 --> 00:01:36.760]  我們之前所講的很多篇道
[00:01:36.760 --> 00:01:39.680]  你才可以聽得明白、看得通
[00:01:39.680 --> 00:01:41.920]  如果你當中有些插班生的話
[00:01:41.920 --> 00:01:44.920]  就是你平時不多來的話
[00:01:44.920 --> 00:01:47.840]  那你可能要特別的專心去聆聽
[00:01:47.840 --> 00:01:50.780]  可能回去還要做一些補習
[00:01:50.780 --> 00:01:55.940]  你才明白為什麼我必須要這樣去解這段聖經
[00:01:55.940 --> 00:01:57.720]  這段聖經很難解
[00:01:57.720 --> 00:02:00.840]  不是因為沒有人解得通這段聖經
[00:02:00.840 --> 00:02:01.960]  相反
[00:02:01.960 --> 00:02:05.120]  如果你有機會上網去看這段聖經
[00:02:05.120 --> 00:02:09.480]  你會發現有很多很多的牧師都很喜歡這段聖經
[00:02:09.480 --> 00:02:11.720]  而且當他們解這段聖經的時候
[00:02:11.720 --> 00:02:12.680]  他會告訴你
[00:02:12.680 --> 00:02:16.200]  他很肯定這段聖經就是這樣解的
[00:02:16.200 --> 00:02:19.120]  這個星期我為了要預備這段聖經
[00:02:19.120 --> 00:02:24.680]  我都聽過幾篇美國的名目所講這段聖經
[00:02:24.680 --> 00:02:26.280]  聽完之後
[00:02:26.280 --> 00:02:28.760]  非常之失望
