
[00:00:00.000 --> 00:00:02.480]  各位來賓 主禮大兄姊妹 平安
[00:00:02.480 --> 00:00:05.660]  感謝神 我們今天再次能夠在網上
[00:00:05.660 --> 00:00:08.040]  去敬拜 讚美我們的天父上帝
[00:00:08.040 --> 00:00:12.940]  剛剛過去的禮拜四 我們慶祝了感恩節
[00:00:12.940 --> 00:00:15.960]  在感恩節當日的早上
[00:00:15.960 --> 00:00:18.540]  我們一起床就陸續收到
[00:00:18.540 --> 00:00:21.140]  我們弟兄姊妹或朋友
[00:00:21.140 --> 00:00:23.520]  所寄來的鼓勵的說話
[00:00:23.520 --> 00:00:27.540]  鼓勵我們在感恩節期間
[00:00:27.640 --> 00:00:30.120]  去思考我們
[00:00:30.120 --> 00:00:33.160]  道過的神對我們
[00:00:33.160 --> 00:00:35.260]  多麼的各樣的恩典
[00:00:35.260 --> 00:00:38.620]  無論是快樂 艱難 安靜 或者痛苦的時刻
[00:00:38.620 --> 00:00:41.960]  我們每時每刻都感謝 感謝神
[00:00:41.960 --> 00:00:46.580]  在這個感恩節至到聖誕節這個階段
[00:00:46.580 --> 00:00:49.560]  我們開始看一個新的主題
[00:00:49.560 --> 00:00:52.420]  就是「豐盛人生」這個主題
[00:00:52.420 --> 00:00:55.960]  我們怎樣思想到主耶穌基督
[00:00:56.500 --> 00:00:58.820]  這個福音的奧秘
[00:00:58.820 --> 00:01:00.720]  是多麼的奇妙
[00:01:00.720 --> 00:01:03.340]  我們用這張
[00:01:03.340 --> 00:01:05.820]  「哥羅西書」這本書卷
[00:01:05.820 --> 00:01:09.180]  用四個星期的時間
[00:01:09.180 --> 00:01:10.500]  去查考
[00:01:10.500 --> 00:01:13.820]  其實在保羅寫這封書信的時候
[00:01:13.820 --> 00:01:16.840]  他身處在羅馬的監獄裏面
[00:01:16.840 --> 00:01:19.600]  爾巴弗是
[00:01:19.600 --> 00:01:23.640]  哥羅西教會的創辦人
[00:01:23.820 --> 00:01:28.500]  他就將這個福音傳給哥羅西城裏面的門徒
[00:01:28.500 --> 00:01:34.040]  信徒們能夠明白福音的真諦
[00:01:34.040 --> 00:01:39.160]  但是當他去到羅馬探望保羅的時候
[00:01:39.160 --> 00:01:42.020]  他就提到 和他傾談的時候就提出
[00:01:42.020 --> 00:01:44.920]  就告訴保羅
[00:01:44.920 --> 00:01:48.400]  其實這個教會是面對了種種的挑戰
[00:01:48.400 --> 00:01:53.780]  無論門徒面對這個希臘哲學上的觀點
[00:01:53.820 --> 00:01:55.640]  或者所謂的禁欲主義
[00:01:55.640 --> 00:01:58.080]  或者猶太律法習俗
[00:01:58.080 --> 00:02:03.720]  各樣的條例主義當中之下
[00:02:03.720 --> 00:02:08.020]  他們怎樣可以繼續去跟隨主耶穌基督呢?
[00:02:08.020 --> 00:02:12.520]  保羅就藉著這本書卷去感謝神
[00:02:12.520 --> 00:02:17.440]  告訴祂 他們在這個門徒成長的過程當中
[00:02:17.440 --> 00:02:21.020]  他們真是為之而感恩
[00:02:21.020 --> 00:02:23.020]  他們忠心地去侍奉
[00:02:23.020 --> 00:02:26.040]  主耶穌基督
[00:02:26.040 --> 00:02:29.340]  我們今天藉著這個時刻
[00:02:29.340 --> 00:02:33.020]  透過哥羅西書第一章第一節
[00:02:33.020 --> 00:02:35.740]  第三節至到第二章第七節
[00:02:35.740 --> 00:02:39.240]  這些經文當中去思考
[00:02:39.240 --> 00:02:42.800]  感恩對基督徒有甚麼意義
[00:02:42.800 --> 00:02:49.060]  我們應該存著甚麼心態去感恩
[00:02:49.060 --> 00:02:50.800]  去感謝神呢?
[00:02:50.800 --> 00:02:54.460]  我們一起用祈禱來開始
[00:02:54.460 --> 00:02:56.180]  我們是天父上帝 我們感謝祢
[00:02:56.180 --> 00:02:59.400]  我們感謝祢奇妙的作為
[00:02:59.400 --> 00:03:01.760]  透過主耶穌基督在十字架上
[00:03:01.760 --> 00:03:04.720]  為我們釘死的事實
[00:03:04.720 --> 00:03:08.760]  來感動我們 去明白到神的旨意
[00:03:08.760 --> 00:03:13.340]  求聖靈繼續在接下來安靜我們的心
[00:03:13.340 --> 00:03:17.960]  帶領我們 使我們能夠明白到
[00:03:17.960 --> 00:03:21.780]  祢從哥羅西書所教導我們的功課
[00:03:21.780 --> 00:03:24.580]  我們謙卑地來到祢面前
[00:03:24.580 --> 00:03:26.580]  去聆聽祢的話語
[00:03:26.580 --> 00:03:27.860]  我們以上的禱告
[00:03:27.860 --> 00:03:30.160]  是奉主耶穌得聖的名字祈求
[00:03:30.160 --> 00:03:32.160]  阿們
[00:03:32.160 --> 00:03:37.240]  保羅和提摩太在書信的開頭
[00:03:37.240 --> 00:03:40.440]  向哥羅西的門徒問安之後
[00:03:40.440 --> 00:03:42.680]  他們就開始他們的信息
[00:03:42.680 --> 00:03:44.940]  在第三節提到
[00:03:44.940 --> 00:03:49.340]  我們保羅和提摩太感謝神
[00:03:49.340 --> 00:03:52.060]  我們主耶穌基督的父
[00:03:52.060 --> 00:03:57.000]  他們就上上為這班門徒來禱告
[00:03:57.000 --> 00:04:00.840]  因為他們聽到
[00:04:00.840 --> 00:04:03.920]  這班門徒在主耶穌基督裏面的信心
[00:04:03.920 --> 00:04:05.680]  向聖徒的愛心
[00:04:05.680 --> 00:04:09.100]  和存在天上的盼望
[00:04:09.100 --> 00:04:11.780]  這個就是福音的真理
[00:04:11.780 --> 00:04:15.060]  我們看到這個信心、愛心和盼望
[00:04:15.060 --> 00:04:17.060]  是主耶穌基督裏的信心
[00:04:17.060 --> 00:04:19.320]  因為主耶穌基督而信
[00:04:19.320 --> 00:04:21.860]  因為向眾聖徒的愛心
[00:04:21.860 --> 00:04:23.640]  這個愛心的表現
[00:04:23.640 --> 00:04:30.300]  將會在和信徒之間的相處當中
[00:04:30.300 --> 00:04:36.500]  和他們會盼望將來會有天上的盼望
[00:04:36.500 --> 00:04:44.980]  所以這個是過往、現在和將來的救恩計劃
[00:04:44.980 --> 00:04:47.460]  這個福音在你們裏面
[00:04:47.460 --> 00:04:49.940]  傳到普天下之下
[00:04:49.940 --> 00:04:55.780]  並且結果真長如同在你們中間
[00:04:55.780 --> 00:04:57.140]  自從你們聽到福音
[00:04:57.140 --> 00:05:03.980]  真知道神的恩惠的日子
[00:05:03.980 --> 00:05:07.300]  這個不單止聽到就算數了
[00:05:07.300 --> 00:05:10.740]  他就明白到原來他們這班門徒
[00:05:10.740 --> 00:05:14.620]  這個福音已經傳到他們當中
[00:05:14.620 --> 00:05:17.380]  使到這個福音這個效果
[00:05:17.380 --> 00:05:20.300]  已經有他們門徒開始結果致
[00:05:20.300 --> 00:05:22.180]  開始有成長的時候
[00:05:22.180 --> 00:05:23.780]  他們中間就開始明白
[00:05:23.780 --> 00:05:25.780]  聽到福音真的明白到
[00:05:25.780 --> 00:05:29.100]  這個是神何等大的恩典
[00:05:29.100 --> 00:05:30.900]  這個救恩的計劃
[00:05:30.900 --> 00:05:34.980]  是過去、現在、將來的事情
[00:05:34.980 --> 00:05:40.220]  而且還是因此就知道
[00:05:40.220 --> 00:05:42.700]  在祈禱他們能夠明白到
[00:05:42.700 --> 00:05:45.380]  他們在神裏面的旨意
[00:05:45.380 --> 00:05:48.860]  這個祈禱是繼續
[00:05:48.860 --> 00:05:51.860]  保羅和提摩泰很期望他們
[00:05:51.860 --> 00:05:55.020]  能夠在屬靈上的智慧
[00:05:55.020 --> 00:05:57.540]  這個不是人間的智慧
[00:05:57.540 --> 00:05:59.180]  是他們在屬靈上的智慧
[00:05:59.180 --> 00:06:02.260]  能夠明白到神的旨意
[00:06:02.260 --> 00:06:03.820]  他們明白到他們每個人
[00:06:03.820 --> 00:06:05.900]  在神的計劃當中
[00:06:05.900 --> 00:06:07.780]  所裏面的部分
[00:06:07.780 --> 00:06:11.660]  他們的積分在哪裏
[00:06:11.660 --> 00:06:13.380]  目的是甚麼?
[00:06:13.380 --> 00:06:15.980]  叫他們行事為人
[00:06:15.980 --> 00:06:18.220]  他們的生活當中
