
[00:00:00.000 --> 00:00:05.000]  基督教宣道會
[00:00:05.000 --> 00:00:10.000]  此錄音或錄影的版權是屬於基督教宣道會不各堂所有
[00:00:10.000 --> 00:00:14.000]  我們的屬靈傳統之一,是以真理教導為本
[00:00:14.000 --> 00:00:18.000]  歡迎您將此錄音或錄影的連結傳給親友
[00:00:18.000 --> 00:00:24.000]  懇請注意,未經授權,請勿轉錄或剪輯本錄音或錄影
[00:00:24.000 --> 00:00:30.000]  甚願好似使徒行傳二十章三十二節下所講
[00:00:30.000 --> 00:00:36.000]  這道能建立你們,叫你們和一切誠誠的人同得基業
[00:00:36.000 --> 00:00:41.000]  的確在困難當中我們會感覺到很低沉,很失落
[00:00:41.000 --> 00:00:45.000]  尤其是突而其來的困苦
[00:00:45.000 --> 00:00:50.000]  這些我們無能為力的事,那種感覺
[00:00:50.000 --> 00:00:55.000]  可以好像心裡塞了一個很大的石,紮住了
[00:00:55.000 --> 00:00:59.000]  你拿不走,它在那裡,但塞住了
[00:00:59.000 --> 00:01:04.000]  你有很多事你都無法去反應
[00:01:04.000 --> 00:01:11.000]  你只能夠發出一聲嘆氣
[00:01:11.000 --> 00:01:13.000]  是呀,人生很難
[00:01:13.000 --> 00:01:19.000]  所以羅馬書第八章下半,繼續和我們講現世的苦難
[00:01:19.000 --> 00:01:25.000]  是那種不單是個人,是面對整個受造的世界
[00:01:25.000 --> 00:01:30.000]  受造物所承受的災難、痛苦
[00:01:30.000 --> 00:01:33.000]  我們要去承認是有這些災難
[00:01:33.000 --> 00:01:38.000]  我們並且要承認我們有需要哀悼的感受
[00:01:38.000 --> 00:01:42.000]  頂著當我們覺得很難,甚至感覺黑暗
[00:01:42.000 --> 00:01:48.000]  今日這段經文,福音給我們有怎樣的亮光
[00:01:48.000 --> 00:01:52.000]  我們先看二十二節
[00:01:52.000 --> 00:01:56.000]  二十二節裡提到的嘆息或是新淫
[00:01:56.000 --> 00:02:01.000]  其實是表達那種哀嘆的感受
[00:02:01.000 --> 00:02:04.000]  是從心底最深處的無奈
[00:02:04.000 --> 00:02:08.000]  所以待會你讀的時候,你將這種感覺讀下去
[00:02:08.000 --> 00:02:10.000]  二十二節請大家一起讀
[00:02:10.000 --> 00:02:14.000]  事實上,我們知道一切受造之物
[00:02:14.000 --> 00:02:19.000]  至今仍然不同新淫,同受陣痛
[00:02:19.000 --> 00:02:23.000]  那種嘆息悲哀哀鳴
[00:02:23.000 --> 00:02:29.000]  不是我們個人的,是普遍而且是整個受造界
[00:02:29.000 --> 00:02:33.000]  曾經有個喪失家人的人這樣寫
[00:02:33.000 --> 00:02:37.000]  在那一天,天不再藍,葉不再綠
[00:02:37.000 --> 00:02:45.000]  生命變得很遲緩,連呼吸都覺得很累
[00:02:45.000 --> 00:02:50.000]  無力嘆息
[00:02:50.000 --> 00:02:55.000]  保羅說我們是一同面對這件事
[00:02:55.000 --> 00:03:01.000]  而且他用另一個字詞說我們是同受陣痛
[00:03:01.000 --> 00:03:05.000]  同受陣痛是表達用一個懷孕的術語
[00:03:05.000 --> 00:03:11.000]  說媽媽在生孩子的經歷當中會有劇烈的疼痛
[00:03:11.000 --> 00:03:14.000]  如果痛是分十級的話
[00:03:14.000 --> 00:03:18.000]  陣痛就是十級頂級的痛
[00:03:18.000 --> 00:03:22.000]  因為這個痛楚是帶來承受的人
[00:03:22.000 --> 00:03:26.000]  一個無法忘記的苦
[00:03:26.000 --> 00:03:29.000]  一下一下一下
[00:03:29.000 --> 00:03:35.000]  不同的時候又再出現,直到生產的那一刻
[00:03:35.000 --> 00:03:39.000]  但這個痛楚卻是有一種特質
[00:03:39.000 --> 00:03:41.000]  保羅用這個字詞的時候
[00:03:41.000 --> 00:03:45.000]  是提醒我們這種苦難在世上我們所經歷的
[00:03:45.000 --> 00:03:48.000]  有一個特點,就好像陣痛一樣
[00:03:48.000 --> 00:03:52.000]  是很難,十級難,但是會停止
[00:03:52.000 --> 00:03:55.000]  十級難是有盡頭
[00:03:55.000 --> 00:04:00.000]  世上的災難是時有發生,但是終有一天不再有
[00:04:00.000 --> 00:04:03.000]  因為到那一天,有新天新地
[00:04:03.000 --> 00:04:07.000]  神所應許的,這個世界得著更生
