
[00:00:00.000 --> 00:00:05.000]  我們今天的訊息是來自第三段的經課
[00:00:05.000 --> 00:00:10.000]  就是《雅各書》第三章第一至十二節
[00:00:10.000 --> 00:00:14.000]  弟兄姊妹我們能夠回到主的
[00:00:14.000 --> 00:00:16.000]  能夠一同敬拜、侍奉
[00:00:16.000 --> 00:00:19.000]  實在是很大的福氣
[00:00:19.000 --> 00:00:25.000]  有主的話語更加能夠成為我們人生指路的明燈
[00:00:25.000 --> 00:00:28.000]  人生最重要的
[00:00:28.000 --> 00:00:31.000]  莫非是有智慧
[00:00:31.000 --> 00:00:33.000]  但是我們知道
[00:00:33.000 --> 00:00:37.000]  實在知識也許容易求
[00:00:37.000 --> 00:00:39.000]  學位也都可以得到
[00:00:39.000 --> 00:00:41.000]  但是真正的智慧
[00:00:41.000 --> 00:00:44.000]  其實是需要心裡面
[00:00:44.000 --> 00:00:48.000]  有上帝自己的光來照
[00:00:48.000 --> 00:00:50.000]  也都在生活裡面
[00:00:50.000 --> 00:00:52.000]  有聖靈的同在
[00:00:52.000 --> 00:00:56.000]  聖靈的加力能夠實踐出來
[00:00:56.000 --> 00:00:58.000]  我覺得做基督徒
[00:00:58.000 --> 00:01:03.000]  實在是越做越感覺真是幸福
[00:01:03.000 --> 00:01:05.000]  剛才你唱詩歌的時候
[00:01:05.000 --> 00:01:07.000]  我不知道你有沒有一種
[00:01:07.000 --> 00:01:13.000]  真是很雀躍、很安然、很喜悅
[00:01:13.000 --> 00:01:16.000]  聽著我們姊妹們的歌聲
[00:01:16.000 --> 00:01:19.000]  聽著我們弟兄們的歌聲
[00:01:19.000 --> 00:01:21.000]  我們一起在這裡和應
[00:01:21.000 --> 00:01:28.000]  我覺得實在我們應該將這個福繼續來分享給更多的人
[00:01:28.000 --> 00:01:32.000]  做基督徒其中一個很大的福氣是什麼呢
[00:01:32.000 --> 00:01:34.000]  就是有智慧
[00:01:34.000 --> 00:01:35.000]  聖經告訴我們
[00:01:35.000 --> 00:01:37.000]  如果你們當中有缺乏智慧的
[00:01:37.000 --> 00:01:38.000]  你可以求
[00:01:38.000 --> 00:01:43.000]  而且那一位賞賜智慧給人的上帝
[00:01:43.000 --> 00:01:46.000]  是一位不苛責人
[00:01:46.000 --> 00:01:48.000]  什麼意思呢
[00:01:48.000 --> 00:01:52.000]  他不是脾氣不好
[00:01:52.000 --> 00:01:54.000]  討厭人去煩他
