
[00:00:00.000 --> 00:00:04.780]  請我們一提「低頭有望神」
[00:00:04.780 --> 00:00:07.180]  親愛的天父
[00:00:07.180 --> 00:00:11.380]  我們感謝祢賜下祢寶貴的說話
[00:00:11.380 --> 00:00:16.740]  願祢一瞬間用祢的說話去教導我們
[00:00:16.740 --> 00:00:18.740]  怎樣去敬拜祢
[00:00:18.740 --> 00:00:22.140]  也讓我們有一個信服的心
[00:00:22.140 --> 00:00:29.180]  我們學習更盡心盡力地去敬拜祢
[00:00:29.180 --> 00:00:31.720]  我們祈禱奉主耶穌基督的名禱
[00:00:31.720 --> 00:00:33.720]  阿門
[00:00:33.720 --> 00:00:40.760]  教會這一季崇拜的講題是講甚麼
[00:00:40.760 --> 00:00:42.760]  啟示錄
[00:00:42.760 --> 00:00:45.960]  今天是崇拜教育主日
[00:00:45.960 --> 00:00:50.520]  我們以啟示錄第四第五章
[00:00:50.520 --> 00:00:52.520]  作為今天的講道經文
[00:00:52.520 --> 00:00:59.120]  其實與今季的講題非常配合
[00:00:59.120 --> 00:01:04.920]  剛才我們所讀的經文是講天上的敬拜
[00:01:04.920 --> 00:01:10.720]  我會以四個問題一同來看今天的經文
[00:01:10.720 --> 00:01:13.040]  第一個問題是
[00:01:13.040 --> 00:01:18.440]  為何啟示錄的作者要講敬拜呢
[00:01:18.440 --> 00:01:21.160]  其實啟示錄第四至十六章
[00:01:21.160 --> 00:01:26.720]  是記載了約翰看見第二個異象
[00:01:26.720 --> 00:01:31.040]  在第四至五章是先講天上的敬拜
[00:01:31.040 --> 00:01:34.040]  之後第六至十六章
[00:01:34.040 --> 00:01:38.720]  就描述有七因、七好、七患之災
[00:01:38.720 --> 00:01:42.560]  一連串的大災難發生在地上
[00:01:42.560 --> 00:01:45.360]  我們看到有很多的爭戰
[00:01:45.360 --> 00:01:47.360]  有很多的苦難
[00:01:47.360 --> 00:01:51.360]  有正邪大比平
[00:01:51.360 --> 00:01:56.680]  為何約翰在第二個異象要先講天上的敬拜呢
[00:01:56.680 --> 00:02:02.680]  因為當時的教會正在面對內憂外患
[00:02:02.680 --> 00:02:05.840]  如果你看啟示錄第二、第三章
[00:02:05.840 --> 00:02:11.040]  就知道約翰寫信給啟示錄七個教會
[00:02:11.040 --> 00:02:13.680]  當時有甚麼內憂呢
[00:02:13.680 --> 00:02:18.160]  當時的教會是面對著世俗化的問題
[00:02:18.160 --> 00:02:20.400]  愛心的冷淡
[00:02:20.400 --> 00:02:21.560]  記不記得
[00:02:21.560 --> 00:02:24.880]  以弗所的教會說他們沒有愛心
[00:02:24.880 --> 00:02:26.840]  還有
[00:02:26.840 --> 00:02:31.560]  老底間的教會說他們不冷不熱
[00:02:31.560 --> 00:02:35.640]  亦都是面對假先知的搞擾
[00:02:35.640 --> 00:02:37.880]  外患又是甚麼呢
[00:02:37.880 --> 00:02:41.960]  就是他們被羅馬的政府逼迫
[00:02:41.960 --> 00:02:46.240]  和他們要面對君王的敬拜
[00:02:46.240 --> 00:02:49.120]  敬拜其實是一個慶典
[00:02:49.120 --> 00:02:55.040]  紀念基督復活所帶來的盼望和勝利
[00:02:55.040 --> 00:02:56.960]  面對重重的苦難
