
[00:00:00.000 --> 00:00:05.000]  在1776年7月4日的時候
[00:00:05.000 --> 00:00:08.700]  在美國就有一個聲明
[00:00:08.700 --> 00:00:15.100]  這個聲明就是由13個當時是英國的殖民地
[00:00:15.100 --> 00:00:19.700]  他們在1776年7月4日
[00:00:19.700 --> 00:00:21.500]  他們有一個聯合聲明
[00:00:21.500 --> 00:00:24.900]  這個就是一個獨立宣言的聲明
[00:00:24.900 --> 00:00:27.400]  Declaration of Independence
[00:00:27.400 --> 00:00:30.000]  在這個宣言裏面
[00:00:30.000 --> 00:00:33.300]  在第二行就有這樣的說話
[00:00:33.300 --> 00:00:35.500]  我都會讀出來給大家聽
[00:00:35.500 --> 00:00:38.800]  第二句就是這樣說
[00:00:38.800 --> 00:00:42.800]  We hold this truth to be self-evident
[00:00:42.800 --> 00:00:45.900]  that all men are created equal
[00:00:45.900 --> 00:00:48.700]  that they are endowed by their Creator
[00:00:48.700 --> 00:00:52.500]  with certain unalienable rights
[00:00:52.500 --> 00:00:54.400]  that among these are
[00:00:54.400 --> 00:00:59.000]  life, liberty and the pursuit of happiness
[00:00:59.000 --> 00:01:01.200]  這個宣言裏面說
[00:01:01.200 --> 00:01:03.900]  他們認同每一個人
[00:01:03.900 --> 00:01:07.600]  被創造的時候都是平等的
[00:01:07.600 --> 00:01:09.800]  在他們的創造者
[00:01:09.800 --> 00:01:11.600]  是給予這些人
[00:01:11.600 --> 00:01:16.400]  每一個人都有一些不能被奪去的權利
[00:01:16.400 --> 00:01:19.300]  這些權利包括生命
[00:01:19.300 --> 00:01:21.100]  包括自由
[00:01:21.100 --> 00:01:25.300]  也都同時包括追求快樂
[00:01:25.300 --> 00:01:27.600]  Pursuit of happiness
[00:01:27.600 --> 00:01:29.000]  在這裏我們看到
[00:01:29.000 --> 00:01:32.500]  追求快樂在美國國家
[00:01:32.500 --> 00:01:35.200]  他們的獨立宣言裏面
[00:01:35.200 --> 00:01:37.200]  其實佔的位置
[00:01:37.200 --> 00:01:39.500]  和一個人的生命
[00:01:39.500 --> 00:01:41.500]  一個人的自由
[00:01:41.500 --> 00:01:45.200]  都捍衛等同的重要
[00:01:45.200 --> 00:01:47.100]  在40多年前
[00:01:47.100 --> 00:01:48.800]  在亞洲有一個國家
[00:01:48.800 --> 00:01:51.000]  有一個很小的國家
[00:01:51.000 --> 00:01:52.200]  不丹國
[00:01:52.200 --> 00:01:56.900]  可能最近因為旅遊業的開放
[00:01:56.900 --> 00:01:59.600]  大家可以比較認識不丹國
[00:01:59.600 --> 00:02:01.900]  這個不丹國是一個很小的國家
[00:02:01.900 --> 00:02:04.700]  是一個相當窮乏的國家
[00:02:04.700 --> 00:02:06.400]  但是在40多年前
[00:02:06.400 --> 00:02:08.300]  在1972年
[00:02:08.300 --> 00:02:10.500]  在這個國家就發生了一件事
[00:02:10.500 --> 00:02:14.000]  這件事在以後的幾十年來
[00:02:14.000 --> 00:02:17.800]  其實是對世界很多不同的地方
[00:02:17.800 --> 00:02:20.700]  是有一個很大的影響的
[00:02:20.700 --> 00:02:23.800]  在1972年的時候
[00:02:23.800 --> 00:02:25.300]  在他們的王朝
[00:02:25.300 --> 00:02:28.300]  在不丹國的王朝叫做Dragon King
[00:02:28.300 --> 00:02:31.300]  第四代的王朝Dragon King
[00:02:31.300 --> 00:02:34.500]  這個皇帝在他的施政報告裏面
[00:02:34.500 --> 00:02:36.500]  就發表了一些東西
[00:02:36.500 --> 00:02:41.100]  當然平常一般人國家的施政報告
[00:02:41.100 --> 00:02:44.300]  很多時候就會提到GDP
[00:02:44.300 --> 00:02:48.700]  就是國民生產總值是多少
[00:02:48.700 --> 00:02:50.900]  但是在這個國家裏面
[00:02:50.900 --> 00:02:53.300]  他們第四代的皇帝
[00:02:53.300 --> 00:02:55.300]  發表施政報告的時候
[00:02:55.300 --> 00:02:56.700]  他們提出一個觀念
[00:02:56.700 --> 00:02:58.100]  一個指標
[00:02:58.100 --> 00:03:01.900]  這個指標就是Gross National Happiness
[00:03:01.900 --> 00:03:04.600]  就是國家的快樂總值
[00:03:04.600 --> 00:03:06.300]  就是在他的施政裏面
[00:03:06.300 --> 00:03:09.900]  他覺得他國家的施政方針
[00:03:09.900 --> 00:03:14.900]  要考慮到國家的快樂的總數
[00:03:14.900 --> 00:03:17.300]  這個當然在他的國家裏面
[00:03:17.300 --> 00:03:21.100]  他用一些標準來反省
[00:03:21.100 --> 00:03:23.700]  甚麼叫快樂的總數
[00:03:23.700 --> 00:03:24.700]  他的總值
[00:03:24.700 --> 00:03:28.500]  這些包括他們怎樣保存他們的文化
[00:03:28.500 --> 00:03:32.300]  這些包括管治是好還是不好
[00:03:32.300 --> 00:03:35.100]  這些是包括環境的保育
[00:03:35.100 --> 00:03:40.700]  這些是包括到是否有可持續的發展
[00:03:40.700 --> 00:03:43.500]  因為他們的提出
[00:03:43.500 --> 00:03:45.700]  就有一些西方學者
[00:03:45.700 --> 00:03:47.900]  特別是在加拿大有兩個學者
[00:03:47.900 --> 00:03:50.500]  就在這方面一直研究
[00:03:50.500 --> 00:03:53.100]  最終就發展到其實
[00:03:53.100 --> 00:03:55.700]  我們來不來都會聽到
[00:03:55.700 --> 00:03:59.100]  那個國家的快樂指數是多少
[00:03:59.100 --> 00:04:01.700]  就是由這裏來發展
[00:04:01.700 --> 00:04:03.700]  西方的很多學者
[00:04:03.700 --> 00:04:07.900]  就繼續來將這個觀念擴大
[00:04:07.900 --> 00:04:09.300]  究竟一個人
[00:04:09.300 --> 00:04:11.300]  一個國家裏面
[00:04:11.300 --> 00:04:14.500]  那個快樂的指標是怎樣
[00:04:14.500 --> 00:04:16.900]  當然他們就有不同的方法
[00:04:16.900 --> 00:04:20.100]  我們今天也都不會去詳細討論這個方法
[00:04:20.100 --> 00:04:23.100]  但基本上他們就是基於
[00:04:23.100 --> 00:04:27.100]  前面我所講到的那幾樣的考慮
[00:04:27.100 --> 00:04:29.500]  就是那個cultural integrity
[00:04:29.500 --> 00:04:31.700]  就是文化的整善性
[00:04:31.700 --> 00:04:35.300]  那個ecosystem conservation
[00:04:35.300 --> 00:04:37.100]  就是環保的問題
[00:04:37.100 --> 00:04:39.100]  那個sustainable development
[00:04:39.100 --> 00:04:41.500]  我們經常講可持續的發展
[00:04:41.500 --> 00:04:46.100]  和那個good governance一個好的管治
[00:04:46.100 --> 00:04:48.900]  在這裏我們都看到
[00:04:48.900 --> 00:04:50.700]  在歷代來
[00:04:50.700 --> 00:04:54.300]  人都不斷在追求一樣東西
[00:04:54.300 --> 00:04:56.300]  追求的是快樂
[00:04:56.300 --> 00:04:57.700]  我們當中每一個人
[00:04:57.700 --> 00:05:00.100]  都希望我們一生能夠快樂
[00:05:00.100 --> 00:05:03.100]  我們都希望我們過活日子的時候
[00:05:03.100 --> 00:05:06.300]  每一天我們都很快樂地過日子
[00:05:06.300 --> 00:05:08.100]  但是很諷刺性的
[00:05:08.100 --> 00:05:11.700]  很多研究和我們發現一樣的東西
[00:05:11.700 --> 00:05:13.700]  就剛剛是相反的
[00:05:13.700 --> 00:05:15.700]  就是當一個人
[00:05:15.700 --> 00:05:19.700]  是努力地尋求快樂的時候
[00:05:19.700 --> 00:05:22.700]  往往這個這樣的動力
[00:05:22.700 --> 00:05:25.700]  就是成為一個人得不到快樂
[00:05:25.700 --> 00:05:28.900]  就是成為一個人得快樂的難阻
[00:05:28.900 --> 00:05:34.100]  一個要過的關的
[00:05:34.100 --> 00:05:35.300]  很奇怪
[00:05:35.300 --> 00:05:40.900]  這個是很多研究都發現的一個結果
[00:05:40.900 --> 00:05:43.500]  The pursuit of happiness
[00:05:43.500 --> 00:05:44.900]  不一定
[00:05:44.900 --> 00:05:48.900]  而很多時候是令你得不到快樂的
[00:05:48.900 --> 00:05:51.900]  究竟怎樣得到快樂呢
[00:05:51.900 --> 00:05:53.900]  究竟是怎樣
[00:05:53.900 --> 00:05:56.300]  我們才可以能夠有一個快樂的人生
[00:05:56.300 --> 00:05:58.900]  我們每個人都想追求一樣的東西
[00:05:58.900 --> 00:06:01.900]  在我們教育裏面
[00:06:01.900 --> 00:06:04.900]  有一位阿姨
[00:06:04.900 --> 00:06:06.900]  我們很多人都很尊敬阿姨
[00:06:06.900 --> 00:06:07.900]  徐阿姨
[00:06:07.900 --> 00:06:09.900]  她有一天遇到我
[00:06:09.900 --> 00:06:10.900]  她說陳醫生
[00:06:10.900 --> 00:06:13.900]  你講這個喜樂心奶是良藥
[00:06:13.900 --> 00:06:17.900]  可不可以給我一個小小機會
[00:06:17.900 --> 00:06:19.900]  我也有些東西想和大家分享
[00:06:19.900 --> 00:06:23.900]  究竟我是怎樣在一個困境當中
[00:06:23.900 --> 00:06:25.900]  來尋求得到這個快樂的
[00:06:25.900 --> 00:06:27.900]  所以我說好
[00:06:27.900 --> 00:06:31.900]  這個是很好的請求
[00:06:31.900 --> 00:06:35.900]  所以我請我們認識她
[00:06:35.900 --> 00:06:38.900]  也很尊敬她的一位長者
[00:06:38.900 --> 00:06:39.900]  我們的徐阿姨
[00:06:39.900 --> 00:06:42.900]  她就和我們小小的分享一下
[00:06:42.900 --> 00:06:44.900]  她在這方面是怎樣的
[00:06:44.900 --> 00:06:45.900]  徐阿姨
[00:06:45.900 --> 00:06:59.900]  首先我要多謝我們的天父
[00:06:59.900 --> 00:07:03.900]  給我呈現有生命氣息的眾人面前
[00:07:03.900 --> 00:07:05.900]  來數算我的恩典
[00:07:05.900 --> 00:07:13.900]  還有祂在我身上所顯現的奇妙的大事
[00:07:13.900 --> 00:07:15.900]  很奇怪
[00:07:15.900 --> 00:07:18.900]  今年是2014年
[00:07:18.900 --> 00:07:22.900]  在兩年前的三月份
[00:07:22.900 --> 00:07:34.900]  我就正式是患了肺炎
[00:07:34.900 --> 00:07:37.900]  即是Lung Cancer
[00:07:37.900 --> 00:07:40.900]  當然一聽到這個
[00:07:40.900 --> 00:07:42.900]  大家都很害怕
[00:07:42.900 --> 00:07:44.900]  尤其是一家人
[00:07:44.900 --> 00:07:48.900]  都不知道驚慌憂慮
[00:07:48.900 --> 00:07:50.900]  怎樣才算好呢
[00:07:50.900 --> 00:07:54.900]  但是經過祈禱之後
[00:07:54.900 --> 00:07:58.900]  反而樣樣事都變了
[00:07:58.900 --> 00:08:00.900]  多有趣
[00:08:00.900 --> 00:08:03.900]  人生是70
[00:08:03.900 --> 00:08:05.900]  如果你強壯的話
[00:08:05.900 --> 00:08:07.900]  可以活到80
