
[00:00:00.000 --> 00:00:02.480]  今天是兒童節
[00:00:02.480 --> 00:00:04.600]  我不知道爲什麼我們要選擇兒童節
[00:00:04.600 --> 00:00:06.920]  做我們最後的一堂
[00:00:06.920 --> 00:00:08.840]  但是其實是很應景的
[00:00:08.840 --> 00:00:12.640]  其實我心裏一想到兒童節
[00:00:12.640 --> 00:00:17.280]  我真的很希望大家都去兒童的樣式
[00:00:17.280 --> 00:00:21.040]  我想大家都記得耶穌的故事
[00:00:21.040 --> 00:00:26.160]  祂說除非你變成一個小孩子的樣式
[00:00:26.160 --> 00:00:27.480]  你不能進天國
[00:00:27.480 --> 00:00:31.160]  當然那個故事背後有很多理由
[00:00:31.160 --> 00:00:32.400]  耶穌爲什麼這麼說
[00:00:32.400 --> 00:00:35.360]  當時人對兒童的認知
[00:00:35.360 --> 00:00:36.960]  我想坐在這裏
[00:00:36.960 --> 00:00:39.960]  或者你星期四早上都可以來聽的話
[00:00:39.960 --> 00:00:43.400]  可能你年紀上或者資歷上
[00:00:43.400 --> 00:00:45.200]  都是有一定程度
[00:00:45.200 --> 00:00:47.800]  或者教會都很久了
[00:00:47.800 --> 00:00:50.720]  有沒有想過變回一個小孩子
[00:00:50.720 --> 00:00:53.160]  我經常想我們信主
[00:00:53.160 --> 00:00:56.840]  很多時候我們在教會久了
[00:00:56.840 --> 00:00:59.560]  其實你積聚了很多教會給你的東西
[00:00:59.560 --> 00:01:03.480]  但是這些東西又未必一定是聖經的事情
[00:01:03.480 --> 00:01:08.200]  有時候想想如果我再回到我剛剛信主的時候
[00:01:08.200 --> 00:01:11.840]  而是那時候有人告訴我
[00:01:11.840 --> 00:01:12.680]  人生
[00:01:12.680 --> 00:01:15.800]  我們基督教人生最重要的就是讀本聖經
[00:01:15.800 --> 00:01:18.840]  不如從本聖經開始認識這個福音
[00:01:18.840 --> 00:01:21.200]  而不是有空來教會
[00:01:21.200 --> 00:01:22.600]  去團契
[00:01:22.600 --> 00:01:24.720]  我不是說這些東西不好
[00:01:24.720 --> 00:01:26.960]  但是你會發現今天的教會
[00:01:26.960 --> 00:01:31.440]  很多是以一些活動來建立我們的信仰
[00:01:31.440 --> 00:01:32.920]  而在這些活動裏面
[00:01:32.920 --> 00:01:35.120]  你慢慢就以爲
[00:01:35.120 --> 00:01:36.000]  什麼叫信耶穌
[00:01:36.000 --> 00:01:37.840]  信耶穌就是有空回到團契
[00:01:37.840 --> 00:01:38.920]  有很多活動
[00:01:38.920 --> 00:01:39.920]  去郊遊
