
[00:00:00.000 --> 00:00:04.000]  上一天主人和大家分享的信息就是
[00:00:04.000 --> 00:00:06.000]  知道神的心意
[00:00:06.000 --> 00:00:10.000]  我們蒙天父的憐憫
[00:00:10.000 --> 00:00:12.000]  藉著基督的救贖
[00:00:12.000 --> 00:00:14.000]  聖靈的更新
[00:00:14.000 --> 00:00:16.000]  讓我們成為新造的人
[00:00:16.000 --> 00:00:20.000]  我們被聖靈來稱義
[00:00:20.000 --> 00:00:22.000]  成聖
[00:00:22.000 --> 00:00:24.000]  是因為神的恩典
[00:00:24.000 --> 00:00:26.000]  神也藉著聖靈
[00:00:26.000 --> 00:00:28.000]  住在我們每一個信徒的心中
[00:00:28.000 --> 00:00:30.000]  讓我們可以
[00:00:30.000 --> 00:00:32.000]  不單止被拯救
[00:00:32.000 --> 00:00:36.000]  而且能夠靠聖靈行事
[00:00:36.000 --> 00:00:40.000]  來做一個神所喜悅的人
[00:00:40.000 --> 00:00:42.000]  聖靈時常更新我們的心
[00:00:42.000 --> 00:00:44.000]  要我們有新的價值觀
[00:00:44.000 --> 00:00:48.000]  有行事為人
[00:00:48.000 --> 00:00:54.000]  能夠有討神喜悅的心態
[00:00:54.000 --> 00:00:56.000]  上星期和大家看到
[00:00:56.000 --> 00:00:58.000]  我們作為一個屬靈的人
[00:00:58.000 --> 00:01:00.000]  有聖靈住在我們心中
[00:01:00.000 --> 00:01:06.000]  我們不要再用肉體來帶動我們的生命
[00:01:06.000 --> 00:01:10.000]  我們住在這個世界裡
[00:01:10.000 --> 00:01:14.000]  雖然我們和世人一樣
[00:01:14.000 --> 00:01:16.000]  有責任
[00:01:16.000 --> 00:01:18.000]  有起居作息
[00:01:18.000 --> 00:01:20.000]  但不同的是
[00:01:20.000 --> 00:01:22.000]  我們有聖靈能夠幫助我們
[00:01:22.000 --> 00:01:26.000]  看透萬事
[00:01:26.000 --> 00:01:28.000]  知道神的心意
[00:01:28.000 --> 00:01:30.000]  上次我們提到
[00:01:30.000 --> 00:01:34.000]  我們應該在一個被聖靈更新管理的人
