
[00:00:00.000 --> 00:00:06.160]  各位 請問大家有沒有試過搭飛機的時候
[00:00:06.160 --> 00:00:17.940]  驚喜地被升級上了頭等艙的經驗呢?
[00:00:17.940 --> 00:00:22.720]  好像間中都有的 有些人都點頭
[00:00:22.720 --> 00:00:25.220]  有一位網友分享說
[00:00:25.220 --> 00:00:29.620]  我拿著一張經濟客艙的機票登機的時候
[00:00:29.620 --> 00:00:33.200]  空姐將我的機票換了另外一張
[00:00:33.200 --> 00:00:39.000]  就跟她說 女士 你的座位被升級了
[00:00:39.000 --> 00:00:43.040]  她一時反應不來 就拿著機票向前走
[00:00:43.040 --> 00:00:46.880]  看著機票座位寫著01A
[00:00:46.880 --> 00:00:52.740]  就心想可能是經濟客艙裡比較寬大前面那個位
[00:00:52.740 --> 00:00:57.220]  沒想過竟然被升級成為商務客艙位
[00:00:57.220 --> 00:01:02.800]  於是她說我蹦蹦跳跳地走進寬敞的商務艙走道
[00:01:02.800 --> 00:01:07.680]  坐下就馬上開始玩各種座位的按鈕
[00:01:07.680 --> 00:01:09.720]  這位網友總結說
[00:01:09.720 --> 00:01:18.920]  好幸運啊 人生第一次商務艙成就達成 超爽
[00:01:18.920 --> 00:01:21.480]  接下來很快會是節假期了
[00:01:21.480 --> 00:01:24.140]  不知道你買了機票來呢?
[00:01:24.140 --> 00:01:34.480]  有沒有期望過意外地被升級到商務艙或者是頭等呢?
[00:01:34.480 --> 00:01:39.700]  突如其來地被升級到商務艙的確是意外驚喜
[00:01:39.700 --> 00:01:44.500]  不過常言道 水能載舟 亦能覆舟
[00:01:44.500 --> 00:01:49.800]  驚喜之後 小心變成驚嚇
[00:01:49.800 --> 00:01:57.280]  在2026年1月22日的報紙有一段這樣的報導
[00:01:57.280 --> 00:02:03.780]  香港駐天津聯絡處主任在社交平台分享
[00:02:03.780 --> 00:02:08.800]  獲噴射飛航高級管理人員安排港澳航程
[00:02:08.800 --> 00:02:13.260]  坐私人艙室由香港去澳門
[00:02:13.260 --> 00:02:16.380]  政制及內地事務局獲悉事件後表示
[00:02:16.380 --> 00:02:20.300]  已決定即時終止該公務員的合約
[00:02:20.300 --> 00:02:22.300]  經過進一步調查
[00:02:22.300 --> 00:02:28.880]  認為該公務員早前承傳前澳門市座位獲升級的事件
[00:02:28.880 --> 00:02:31.640]  有違反防止賄賂條例下
[00:02:31.640 --> 00:02:36.500]  有關公務員未經許可接受利益的規定之嫌
[00:02:36.500 --> 00:02:41.380]  已把個案轉交執法部門跟進
[00:02:41.380 --> 00:02:47.120]  自古至今代步工具都有某種含義
[00:02:47.120 --> 00:02:50.340]  好像香港初初開埠的時候
[00:02:50.340 --> 00:02:54.940]  交通工具主要有轎車
[00:02:54.940 --> 00:02:59.500]  然後就有人力車 有馬車
[00:02:59.500 --> 00:03:04.320]  但是什麼人才會用這些交通工具呢?
[00:03:04.320 --> 00:03:09.260]  通常是殖民地的官員和富有的洋行大班
[00:03:09.260 --> 00:03:14.620]  一般香港市民是用什麼交通工具呢?
[00:03:14.620 --> 00:03:18.080]  就是自己的雙腳
[00:03:18.080 --> 00:03:23.140]  我們再想想在耶穌年代 遠古的時代
[00:03:23.140 --> 00:03:30.720]  在耶穌年代的人是用什麼交通工具呢?
[00:03:30.720 --> 00:03:33.440]  多數人都是走路的
[00:03:33.440 --> 00:03:34.780]  在聖經裏面的記載
[00:03:34.780 --> 00:03:41.960]  我們都見到耶穌和他的門徒經常都是用自己雙腳走路
[00:03:41.960 --> 00:03:45.220]  但是剛才你讀福音經課的時候
[00:03:45.220 --> 00:03:47.900]  你又讀到在那個片段
[00:03:47.900 --> 00:03:53.660]  耶穌好像殺友戒士那樣去安排代步工具
[00:03:53.660 --> 00:03:56.800]  究竟所為何事呢?
[00:03:56.800 --> 00:03:58.700]  我們一起看看福音經課
[00:03:58.700 --> 00:04:00.760]  剛才我們讀過的經文
[00:04:00.760 --> 00:04:09.120]  看看究竟這麼特別的交通工具的安排又是什麼事情呢?
[00:04:09.120 --> 00:04:12.940]  我們看看第21章第一節
[00:04:12.940 --> 00:04:15.060]  耶穌和門徒將近耶路撒冷
[00:04:15.060 --> 00:04:18.900]  到了白髮旗在橄欖山那邊
[00:04:18.900 --> 00:04:21.700]  耶穌就打發兩個門徒對他們說
[00:04:21.700 --> 00:04:23.060]  去對面的村子
[00:04:23.060 --> 00:04:26.460]  你見到一匹驢 山在那裏 綁在那裏
[00:04:26.460 --> 00:04:31.460]  還有驢驢一齊 你解開就牽到我這裏來
[00:04:31.460 --> 00:04:34.260]  如果有人問 你就告訴他主要用他
[00:04:34.260 --> 00:04:36.340]  這樣就可以了
[00:04:36.340 --> 00:04:39.460]  於是第六節 門徒就照耶穌吩咐的去做
[00:04:39.460 --> 00:04:41.960]  就將驢和驢驢驢帶了來
[00:04:41.960 --> 00:04:43.340]  將自己的衣服鋪在上面
[00:04:43.340 --> 00:04:46.220]  耶穌就騎上去了
[00:04:46.220 --> 00:04:47.600]  你見到這個畫面
[00:04:47.600 --> 00:04:50.100]  這個真是一個安排
[00:04:50.100 --> 00:04:51.340]  是一個特別的安排
[00:04:51.340 --> 00:04:53.820]  它不是自動出現的
[00:04:53.820 --> 00:04:57.220]  其實當時除了耶穌之外
[00:04:57.220 --> 00:04:59.060]  還有那些門徒
[00:04:59.060 --> 00:05:03.780]  在往耶路撒冷的路上是絡繹不絕的
[00:05:03.780 --> 00:05:07.060]  因為那是一個很大的節期
[00:05:07.060 --> 00:05:13.780]  那個節期是猶太人的逾節
[00:05:13.780 --> 00:05:17.460]  很多人就去耶路撒冷過節
[00:05:17.460 --> 00:05:18.940]  一般平民百姓
[00:05:18.940 --> 00:05:21.780]  其實都是像耶穌和門徒一樣
[00:05:21.780 --> 00:05:25.180]  去步行前往耶路撒冷
[00:05:25.180 --> 00:05:29.660]  現在他們已經來到耶路撒冷很近的地方
[00:05:29.660 --> 00:05:35.260]  他們到耶路撒冷其實只不過是多走一會兒就到了
[00:05:35.260 --> 00:05:40.500]  為甚麼在這個時候要去找一個助騎呢?
[00:05:40.500 --> 00:05:44.340]  是不是耶穌那時候已經體力不支?
[00:05:44.340 --> 00:05:47.460]  是不是耶穌很趕時間要快點去到呢?
[00:05:47.460 --> 00:05:49.700]  看來也不是
[00:05:49.700 --> 00:05:53.300]  這一場是特別安排的事情
[00:05:53.300 --> 00:05:54.740]  它可以是甚麼呢?
[00:05:54.740 --> 00:05:59.060]  它可以看作一場進城的儀式
[00:05:59.060 --> 00:06:01.260]  進城儀式是甚麼呢?
[00:06:01.260 --> 00:06:05.340]  在古代進城儀式
[00:06:05.340 --> 00:06:08.460]  其實是一個很強烈的象徵意義
[00:06:08.460 --> 00:06:11.740]  其實不是古代 現在也是
[00:06:11.740 --> 00:06:13.380]  很強烈的象徵意義
[00:06:13.380 --> 00:06:17.540]  古羅馬的進城儀式最著名的就是海船式
[00:06:17.540 --> 00:06:23.860]  是給戰勝的將領和皇帝最高的軍事和宗教榮譽
[00:06:23.860 --> 00:06:26.300]  他們身穿神聖的服飾
[00:06:26.300 --> 00:06:29.620]  坐著金色的戰車率領著軍隊
[00:06:29.620 --> 00:06:34.460]  戰利品和俘虜穿過城門到神廟
[00:06:34.460 --> 00:06:39.020]  展示他們的權力和慶祝勝利
[00:06:39.020 --> 00:06:42.580]  和古羅馬的海船式進城儀式相比
[00:06:42.580 --> 00:06:47.740]  你想像一下 耶穌坐的不是金色戰車
[00:06:47.740 --> 00:06:52.380]  而是一匹民間運輸用的驢
[00:06:52.380 --> 00:06:55.100]  耶穌率領的不是軍隊
[00:06:55.100 --> 00:06:59.340]  只不過是一班門徒
[00:06:59.340 --> 00:07:01.260]  在路人的眼中
[00:07:01.260 --> 00:07:05.100]  這些算甚麼進城儀式呢?
[00:07:05.100 --> 00:07:06.220]  有趣的是
[00:07:06.220 --> 00:07:09.620]  有些路人都樂意配合去演好這場戲
[00:07:09.620 --> 00:07:13.460]  所以在二十一章第八節 第九節你會看到
[00:07:13.460 --> 00:07:15.660]  有些人將衣服鋪在路上
[00:07:15.660 --> 00:07:18.820]  有些人在樹上砍下樹枝鋪在路上
[00:07:18.820 --> 00:07:22.380]  又有人高叫「和撒拿歸於大衛的子孫
[00:07:22.380 --> 00:07:24.540]  奉主名來的應當稱頌」
[00:07:24.540 --> 00:07:28.020]  「高高在上 和撒拿」
[00:07:28.020 --> 00:07:33.060]  馬太福音記載這件事到底要表達甚麼意思呢?
[00:07:33.060 --> 00:07:34.700]  相信大家都留意到
[00:07:34.700 --> 00:07:39.540]  馬太福音從一開始預告耶穌出生的時候
[00:07:39.540 --> 00:07:45.180]  就已經用舊約經文來解釋事件
[00:07:45.180 --> 00:07:48.540]  這裏亦不例外
[00:07:48.540 --> 00:07:50.860]  二十一章第四節
[00:07:50.860 --> 00:07:51.780]  作者這樣說
[00:07:51.780 --> 00:07:57.220]  「這是成就 要應驗先知的話說
[00:07:57.220 --> 00:07:58.940]  要對錫安的居民說
[00:07:58.940 --> 00:08:01.540]  看啊 你的王來到你這裡
[00:08:01.540 --> 00:08:04.180]  是溫柔的 又騎著驢
[00:08:04.180 --> 00:08:07.540]  就是騎著驢的驅子」
[00:08:07.540 --> 00:08:10.780]  這位先知是誰呢?
[00:08:10.780 --> 00:08:13.020]  這位先知就是撒加利亞
[00:08:13.020 --> 00:08:17.460]  這段經文引自撒加利亞書九章九節
[00:08:17.460 --> 00:08:18.700]  經文這樣說
[00:08:18.700 --> 00:08:21.780]  「錫安的民應當大大喜樂
[00:08:21.780 --> 00:08:24.180]  而路撒冷的民應當歡呼
[00:08:24.180 --> 00:08:26.380]  看啊 你的王來到你這裡
[00:08:26.380 --> 00:08:29.180]  他是公義的 並且施行拯救
[00:08:29.180 --> 00:08:31.180]  謙謙和和地騎著驢
[00:08:31.180 --> 00:08:35.100]  就是騎著驢的驅子」
[00:08:35.100 --> 00:08:40.420]  馬太福音指出 耶穌的進城儀式
[00:08:40.420 --> 00:08:46.060]  與古羅馬的海船式進城儀式相距雖然甚遠
[00:08:46.060 --> 00:08:49.380]  但不要視為兒戲
[00:08:49.380 --> 00:08:52.860]  因為這是有古時的先知預告的
[00:08:52.860 --> 00:08:55.340]  錫安的王是騎驢進城
[00:08:55.340 --> 00:08:59.220]  不是騎戰馬進城
[00:08:59.220 --> 00:09:07.740]  但是眼前這個狀況
[00:09:07.740 --> 00:09:10.460]  看到眼前的狀況
[00:09:10.460 --> 00:09:13.140]  對於那些當時認真思考
[00:09:13.140 --> 00:09:17.500]  或者有期待的人 實在是非常困惑
[00:09:17.500 --> 00:09:19.500]  眼前看到的是
[00:09:19.500 --> 00:09:21.980]  有一個這樣的人騎著驢
[00:09:21.980 --> 00:09:26.900]  然後有一群門徒就在那裡拍手進城
[00:09:26.900 --> 00:09:32.620]  與現實上的需要實在相距得太遠了
[00:09:32.620 --> 00:09:35.620]  現實的需要是什麼呢?
[00:09:35.620 --> 00:09:38.220]  在羅馬帝國的鐵蹄之下
[00:09:38.220 --> 00:09:42.460]  在官府和地方勢力的高壓管治之下
[00:09:42.460 --> 00:09:46.740]  騎驢進城的王有什麼用呢?
[00:09:46.740 --> 00:09:48.220]  騎驢的人
[00:09:48.220 --> 00:09:51.980]  無論他是多麼謙和 多麼公義
