
[00:00:00.000 --> 00:00:02.800]  今天講的那個經文是《災厄記》
[00:00:02.800 --> 00:00:04.300]  上一次也是講《災厄記》
[00:00:04.300 --> 00:00:05.800]  上一次講會幕
[00:00:05.800 --> 00:00:07.000]  在會幕裏面
[00:00:07.000 --> 00:00:10.300]  原來神在啟示摩西以色列人的時候
[00:00:10.300 --> 00:00:14.800]  已經將很多真理在會幕裏面擺在那裏
[00:00:14.800 --> 00:00:17.200]  雖然那些人當時未必明白
[00:00:17.200 --> 00:00:20.300]  但是一直慢慢來啟示
[00:00:20.300 --> 00:00:21.900]  令那些人明白的時候
[00:00:21.900 --> 00:00:25.600]  神的真理就在那裏彰顯
[00:00:25.600 --> 00:00:28.500]  今天我們去看祭司
[00:00:28.500 --> 00:00:30.600]  祭司就是在《災厄記》
[00:00:30.600 --> 00:00:33.800]  神啟示完會幕要怎樣整怎樣整之後
[00:00:33.800 --> 00:00:36.700]  到了28章就講祭司了
[00:00:36.700 --> 00:00:39.900]  我們一起翻開28章《災厄記》
[00:00:39.900 --> 00:00:48.800]  大家這本聖經是102頁
[00:00:48.800 --> 00:00:51.000]  如果你看那些標題
[00:00:51.000 --> 00:00:53.100]  你就會看到第一個標題寫著
[00:00:53.100 --> 00:00:56.100]  祭司的聖火
[00:00:56.100 --> 00:00:59.800]  到15節標題寫著空派
[00:00:59.800 --> 00:01:03.700]  然後就是祭司的其他聖火
[00:01:03.700 --> 00:01:08.100]  這樣分開幾個標題
[00:01:08.100 --> 00:01:11.900]  我們今天就要看看那個祭司的時候
[00:01:11.900 --> 00:01:16.900]  原來要為他做一些衣服給他穿
[00:01:16.900 --> 00:01:18.900]  為什麼這麼有趣呢
[00:01:18.900 --> 00:01:22.700]  而且那個描繪是很詳細的
[00:01:24.900 --> 00:01:26.500]  大家看著聖經
[00:01:26.500 --> 00:01:27.500]  時間的關係
[00:01:27.500 --> 00:01:29.500]  聽我一邊讀大家一邊看
[00:01:29.500 --> 00:01:30.300]  好不好
[00:01:30.300 --> 00:01:33.300]  第28章那一段
[00:01:33.300 --> 00:01:34.800]  神就說
[00:01:34.800 --> 00:01:37.300]  你要從以色列人中
[00:01:37.300 --> 00:01:39.300]  洗禮的哥哥阿倫
[00:01:39.300 --> 00:01:41.100]  因為這番話是跟摩西講的
[00:01:41.100 --> 00:01:44.100]  洗禮的哥哥阿倫和他的兒子
[00:01:44.100 --> 00:01:45.300]  阿倫有幾個兒子
[00:01:45.300 --> 00:01:48.100]  拿達伯比胡爾利亞撒爾他媽
[00:01:48.100 --> 00:01:49.500]  一同就近你
[00:01:49.500 --> 00:01:52.300]  給我供祭司的積佛
[00:01:53.100 --> 00:01:55.100]  第一節就很重要
[00:01:55.100 --> 00:01:59.100]  講出了原來有一個積佛
[00:01:59.100 --> 00:02:01.700]  交給阿倫和他的兒子
[00:02:01.700 --> 00:02:05.100]  積佛就是一個工作
[00:02:05.100 --> 00:02:07.100]  是交給你的
[00:02:07.100 --> 00:02:09.100]  你就負責做這件事
[00:02:09.100 --> 00:02:10.100]  是這樣的意思
[00:02:10.100 --> 00:02:11.500]  大家都明白吧
[00:02:11.500 --> 00:02:14.100]  你在外面工作的時候
[00:02:14.100 --> 00:02:17.100]  你的積佛就是負責
[00:02:17.100 --> 00:02:20.100]  人們派信來的時候
[00:02:20.100 --> 00:02:22.100]  全部的信都開了
[00:02:22.100 --> 00:02:23.500]  你要分門結類
[00:02:23.500 --> 00:02:25.500]  那是一個積佛
[00:02:25.500 --> 00:02:27.500]  你的工作就是負責
[00:02:27.500 --> 00:02:30.500]  將這些支票拿到銀行排隊入錢
[00:02:30.500 --> 00:02:31.500]  那是你的積佛
[00:02:31.500 --> 00:02:32.500]  我們明白吧
[00:02:32.500 --> 00:02:35.500]  阿倫和他的兒子
[00:02:35.500 --> 00:02:38.500]  這個積佛叫祭司
[00:02:38.500 --> 00:02:40.500]  有一個祭司的積佛
[00:02:40.500 --> 00:02:41.500]  要做些什麼工作呢
[00:02:41.500 --> 00:02:42.500]  我們一會兒後面再講
[00:02:42.500 --> 00:02:44.500]  是一個很特別的積佛
[00:02:44.500 --> 00:02:45.500]  不是每個人都可以的
[00:02:45.500 --> 00:02:49.500]  神是告訴阿倫和他的兒子
[00:02:49.500 --> 00:02:50.500]  然後第二節就說
[00:02:50.500 --> 00:02:53.500]  你又要給你哥哥阿倫做聖衣
[00:02:53.500 --> 00:02:57.500]  為榮耀為華美
[00:02:57.500 --> 00:02:59.500]  所以上一次
[00:02:59.500 --> 00:03:00.500]  大家又記得我
[00:03:00.500 --> 00:03:03.500]  我講那個會幕
[00:03:03.500 --> 00:03:04.500]  有些東西
[00:03:04.500 --> 00:03:05.500]  有些變
[00:03:05.500 --> 00:03:06.500]  為什麼要這樣做呀
[00:03:06.500 --> 00:03:07.500]  漂亮呀
[00:03:07.500 --> 00:03:09.500]  我講過一句話
[00:03:09.500 --> 00:03:11.500]  漂亮都是很神聖的
[00:03:11.500 --> 00:03:12.500]  記不記得
[00:03:12.500 --> 00:03:14.500]  漂亮是很神聖的
[00:03:14.500 --> 00:03:17.500]  為了榮耀
[00:03:17.500 --> 00:03:19.500]  為了華美
[00:03:19.500 --> 00:03:21.500]  我們如果看英文聖經
[00:03:21.500 --> 00:03:22.500]  就是說
[00:03:22.500 --> 00:03:25.500]  for glory and for beauty
[00:03:25.500 --> 00:03:29.500]  就是神做件衣服給這個祭司穿
[00:03:29.500 --> 00:03:31.500]  是要榮耀
[00:03:31.500 --> 00:03:32.500]  為了榮耀
[00:03:32.500 --> 00:03:34.500]  一看這件衣服
[00:03:34.500 --> 00:03:35.500]  很漂亮
[00:03:35.500 --> 00:03:36.500]  很榮耀
[00:03:36.500 --> 00:03:38.500]  大家最近見到煙女王生日
