
[00:00:00.000 --> 00:00:04.780]  我很開心和大家繼續《愛靈修新穎書宣教網絡》
[00:00:04.780 --> 00:00:08.000]  記得敬拜、讀經、禱告、默想
[00:00:08.000 --> 00:00:13.220]  為主而活 傳道宣教 拓展天國 後主在臨
[00:00:13.220 --> 00:00:16.260]  在這裡有傳人問我
[00:00:16.260 --> 00:00:19.440]  主耶穌是不是真的很快回來呢?
[00:00:19.440 --> 00:00:21.440]  因為很多人在說
[00:00:21.440 --> 00:00:24.000]  我自己看到世界亂成這樣
[00:00:24.000 --> 00:00:27.300]  又打仗打到中東越來越這樣
[00:00:27.300 --> 00:00:34.980]  發生那麼多戰事 我自己覺得是主接近的
[00:00:34.980 --> 00:00:39.400]  不過我個人就會覺得
[00:00:39.400 --> 00:00:44.880]  看看有沒有機會第三聖殿重建
[00:00:44.880 --> 00:00:47.300]  如果第三聖殿有機會重建
[00:00:47.300 --> 00:00:51.260]  主回來的日子就非常接近了
[00:00:51.260 --> 00:00:57.140]  我自己有這個讀經的領袖的
[00:00:57.140 --> 00:01:01.040]  好 記得無論怎麼樣 等候主很快回來
[00:01:01.040 --> 00:01:03.720]  主耶穌說 我就快回來了
[00:01:03.720 --> 00:01:06.460]  約翰馬上在啟示錄尾的回應就是
[00:01:06.460 --> 00:01:08.760]  主啊 願祢快來
[00:01:08.760 --> 00:01:11.700]  我們都願主快來
[00:01:11.700 --> 00:01:16.480]  好 在這個2025年御府祈靈修
[00:01:16.480 --> 00:01:20.380]  聖靈給我的感覺就是可以說一下耶穌
[00:01:20.380 --> 00:01:23.880]  當然是說主耶穌 我經常都是說耶穌
[00:01:23.880 --> 00:01:27.660]  說耶穌 我主我神做我的題目
[00:01:27.660 --> 00:01:29.420]  由40個角度
[00:01:29.420 --> 00:01:33.140]  這40天裏面就等候主耶穌
[00:01:33.140 --> 00:01:35.480]  看祂為我們釘十字架的時候
[00:01:35.480 --> 00:01:37.760]  是認識主耶穌多一些
[00:01:37.760 --> 00:01:40.620]  今天來到第十三講
[00:01:40.620 --> 00:01:42.420]  就是主耶穌行神蹟
[00:01:42.420 --> 00:01:45.220]  第一個 神蹟一就是祂趕鬼
[00:01:45.220 --> 00:01:47.700]  神蹟二就是祂醫病
[00:01:47.700 --> 00:01:52.100]  明天有神蹟三 或者一會兒就有
[00:01:52.100 --> 00:01:55.080]  下一次 下一集是神蹟三
[00:01:55.080 --> 00:01:57.520]  就是駕馭大自然
[00:01:57.520 --> 00:01:59.780]  今天是醫病
[00:01:59.780 --> 00:02:04.240]  哇 看完主耶穌醫病
[00:02:04.240 --> 00:02:05.780]  只有一個字
[00:02:05.780 --> 00:02:08.040]  甚麼字啊? 服
[00:02:08.040 --> 00:02:10.120]  寫個服字
[00:02:10.120 --> 00:02:13.660]  能夠這樣就醫好疾病
[00:02:13.660 --> 00:02:16.500]  哎呀 就是很厲害
[00:02:16.500 --> 00:02:19.960]  除了上主 無人能行
[00:02:19.960 --> 00:02:22.280]  我們來看看經文
[00:02:22.280 --> 00:02:26.420]  我們看到主耶穌做了這些事情
[00:02:26.420 --> 00:02:29.440]  我們讀經之前先禱告
[00:02:29.440 --> 00:02:31.920]  求主耶穌幫助給我們
[00:02:31.920 --> 00:02:36.140]  彷彿由經文裏面再次和你走回你的路
[00:02:36.140 --> 00:02:40.880]  跟隨你 看到你一個一個一個這樣醫病
[00:02:40.880 --> 00:02:44.480]  你一句話
