
[00:00:00.000 --> 00:00:03.400]  今天是要跟各位來分享的是
[00:00:03.400 --> 00:00:06.880]  我們要與神一起來突破
[00:00:06.880 --> 00:00:12.480]  是說要Experiencing the Breakthrough of God
[00:00:12.480 --> 00:00:16.680]  因為我們的神是突破的神
[00:00:16.680 --> 00:00:22.080]  有一位姐妹她得了癌症
[00:00:22.080 --> 00:00:25.680]  所以她的天好像垮下來一樣
[00:00:25.680 --> 00:00:28.280]  她跟牧師說
[00:00:28.280 --> 00:00:31.400]  牧師我心裡面好難過
[00:00:31.400 --> 00:00:35.000]  醫生說我得了癌症
[00:00:35.000 --> 00:00:39.680]  我們也都知道癌症是非常可怕的
[00:00:39.680 --> 00:00:42.880]  所以牧師就安慰她
[00:00:42.880 --> 00:00:46.480]  過了一個禮拜又碰到那個姐妹
[00:00:46.480 --> 00:00:52.680]  那姐妹是滿面燦爛的陽光
[00:00:52.680 --> 00:00:55.800]  笑得從這個耳朵到這個耳朵
[00:00:55.800 --> 00:01:00.880]  她說牧師那個醫生說我這個癌症是可以治療的
[00:01:00.880 --> 00:01:04.640]  所以我馬上就要開始這個治療了
[00:01:04.640 --> 00:01:08.840]  牧師也是非常的高興
[00:01:08.840 --> 00:01:11.040]  就看到了
[00:01:11.040 --> 00:01:14.480]  當我們的生命有突破的時候
[00:01:14.480 --> 00:01:19.280]  當我們跟我們那個突破的神連結的時候
[00:01:19.280 --> 00:01:22.600]  我們不再被我們日常生活
[00:01:22.600 --> 00:01:26.600]  不再被我們的身體 被我們的病痛 被我們的疾病
[00:01:26.600 --> 00:01:28.800]  甚至我們的錢財
[00:01:28.800 --> 00:01:33.480]  甚至被什麼什麼這個世界所捆綁到
[00:01:33.480 --> 00:01:39.680]  因為我們服侍的神是突破的神
[00:01:39.680 --> 00:01:42.240]  你可能面對很多的困難
[00:01:42.240 --> 00:01:46.600]  譬如說你的生意到底要怎麼做
[00:01:46.600 --> 00:01:52.080]  做哪一個生意還要怎麼繼續做
[00:01:52.080 --> 00:01:54.400]  你要再一次來到神的面前
