
[00:00:00.000 --> 00:00:02.000]  好 今天我們要來分享一段經文
[00:00:02.000 --> 00:00:06.000]  在哥林國後書12章1到10節
[00:00:06.000 --> 00:00:12.000]  我們要透過保羅的一個生命歷程來思想一下
[00:00:12.000 --> 00:00:14.000]  在我們生活的生命歷程當中
[00:00:14.000 --> 00:00:16.000]  我們到底應該怎麼回應
[00:00:16.000 --> 00:00:19.000]  到底我們跟恩典有什麼關係
[00:00:19.000 --> 00:00:23.000]  所以我們來看看哥林國後書12章1到10節
[00:00:31.000 --> 00:00:35.000]  在新約聖經258頁
[00:00:35.000 --> 00:00:45.000]  新約聖經258頁
[00:00:45.000 --> 00:00:47.000]  我來讀聖毗松子妹來看
[00:00:47.000 --> 00:00:49.000]  第12章第1節來
[00:00:49.000 --> 00:00:52.000]  我自誇固然無異 但我是不得已的
[00:00:52.000 --> 00:00:56.000]  如今我要說到主的顯現和啟示
[00:00:56.000 --> 00:00:58.000]  我認得一個在基督裡的人
[00:00:58.000 --> 00:01:02.000]  他前十四年被祈告第三層天上去
[00:01:02.000 --> 00:01:05.000]  或在身內或我不知道
[00:01:05.000 --> 00:01:07.000]  或在身外我也不知道
[00:01:07.000 --> 00:01:09.000]  只有神知道
[00:01:09.000 --> 00:01:12.000]  我認得這人或在身內或在身外
[00:01:12.000 --> 00:01:14.000]  我都不知道 只有神知道
[00:01:14.000 --> 00:01:16.000]  加被祈告的原理
[00:01:16.000 --> 00:01:19.000]  聽見隱秘的原語是人不可說的
[00:01:19.000 --> 00:01:21.000]  為這人我要誇口
[00:01:21.000 --> 00:01:24.000]  但是為我自己除了我的軟弱以外
[00:01:24.000 --> 00:01:26.000]  我並不誇口
[00:01:26.000 --> 00:01:29.000]  我就是願意誇口也不算狂
[00:01:29.000 --> 00:01:31.000]  因為我必說實話
[00:01:31.000 --> 00:01:33.000]  只是我禁止不說
[00:01:33.000 --> 00:01:35.000]  恐怕有人把我看高了
[00:01:35.000 --> 00:01:38.000]  過於他在我身上所看見所聽見的
[00:01:38.000 --> 00:01:41.000]  又恐怕我所應所得的啟示盛大
[00:01:41.000 --> 00:01:43.000]  就過於至高
[00:01:43.000 --> 00:01:46.000]  所以有一根刺夾在我肉體上
[00:01:46.000 --> 00:01:49.000]  就是撒旦的差異要攻擊我
[00:01:49.000 --> 00:01:51.000]  免得我過於至高
[00:01:51.000 --> 00:01:53.000]  為這事我三次求過主
[00:01:53.000 --> 00:01:55.000]  叫這次離開我
[00:01:55.000 --> 00:01:59.000]  他對我說我的恩典夠你用的
[00:01:59.000 --> 00:02:03.000]  因為我的能力是在人的軟弱上顯得完全
[00:02:03.000 --> 00:02:06.000]  所以我更喜歡誇自己的軟弱
[00:02:06.000 --> 00:02:08.000]  好叫基督的能力復辟我
[00:02:08.000 --> 00:02:13.000]  我為基督的緣故就以軟弱、凌辱、極暗
[00:02:13.000 --> 00:02:16.000]  逼迫、困苦、違格、喜樂的
