
[00:00:00.000 --> 00:00:12.000]  據說,在呂渦氏煉石寶青天的時候,在大方山無溪崖,煉成了大環石三萬六千五百零一塊。
[00:00:12.000 --> 00:00:17.000]  他講到無溪崖,證明這個故事是假的。
[00:00:17.000 --> 00:00:24.000]  據這個故事講,他用了三萬六千五百塊石,留了一塊沒有用。
[00:00:24.000 --> 00:00:33.000]  所以那塊石後來有了靈性,覺得自己自怨自愧,為什麼我沒有被用呢?
[00:00:33.000 --> 00:00:38.000]  據說有一陣一度,經過見到一塊石頭有靈氣,
[00:00:38.000 --> 00:00:48.000]  說不如我帶你去投胎,經歷紅塵,帶你去花柳繁華之地,溫柔富貴之鄉那裡走一走。
[00:00:48.000 --> 00:00:51.000]  這個可能也是香港,起碼是深圳。
[00:00:51.000 --> 00:01:03.000]  但經過人生悲歡離合,經過很多的悲痛之後,石頭又回到山上獨立蒼茫,孤獨冷漠。
[00:01:03.000 --> 00:01:13.000]  有個空空道人經過,突然間見到這塊大石上面寫了很多字,就是他來到人間的故事。
[00:01:13.000 --> 00:01:29.000]  據說他人間投胎出世是含著一塊玉出世的,他投胎是一個姓賈的家庭,所以出世他的名字就叫賈寶玉,證明這個故事是假的。
[00:01:29.000 --> 00:01:35.000]  這個道人抄下來的故事就抄成了一本書叫《石頭記》。
[00:01:35.000 --> 00:01:44.000]  大家知道了,現在說的是哪本書,就是《紅樓夢》。《紅樓夢》好像很深奧,也不是很多人看過,其實到了這個年代。
[00:01:44.000 --> 00:01:48.000]  但其實《紅樓夢》很容易明白的,你看名字就明白了。
[00:01:48.000 --> 00:01:56.000]  什麼叫紅樓呢?你現在買的房子幾千萬,甚至幾億的房子,那就是紅樓。
[00:01:56.000 --> 00:01:59.000]  買了之後,原來那個夢就叫紅樓夢。
[00:01:59.000 --> 00:02:03.000]  你買到多大多貴多漂亮的房子,其實都不會很快樂的。
[00:02:03.000 --> 00:02:09.000]  人生如果找不到真正喜樂的根源,你有多漂亮的房子都沒有用。
[00:02:09.000 --> 00:02:11.000]  所謂紅樓,原來是一個夢。
[00:02:11.000 --> 00:02:16.000]  在書後面有一首文章是這樣寫的。
[00:02:16.000 --> 00:02:20.000]  無才可去寶倉天案,入紅塵若許年。
[00:02:20.000 --> 00:02:26.000]  就是我沒有能力去救這個世界,好像無端端做人做了幾十年。
[00:02:26.000 --> 00:02:36.000]  其實我記得當我大學畢業的時候,我也在想,這個世界有我出現之後,應該會有些改變,應該會變好一些的。
[00:02:36.000 --> 00:02:40.000]  因為過了幾十年,世界其實都沒有什麼變好的。
[00:02:40.000 --> 00:02:46.000]  你盡了你的能力去關心去愛去改變,但是改變都很少的。
[00:02:46.000 --> 00:02:52.000]  人類繼續都是很多罪惡,的確,是不是往入紅塵呢?這樣人生。
[00:02:52.000 --> 00:02:56.000]  石頭記的《元喜詩》後面是這樣說的。
[00:02:56.000 --> 00:03:03.000]  滿紙荒唐言,一把辛酸淚,都問作者痴兒誰解其中美。
[00:03:03.000 --> 00:03:12.000]  寫這本書整個故事,賈寶玉渡過一生種種的悲歡離合,他的愛,他的苦,都是荒唐的。
[00:03:12.000 --> 00:03:17.000]  人生是不是一個荒唐的故事?是不是一個荒唐的夢?
[00:03:17.000 --> 00:03:20.000]  人生只是一把辛酸的眼淚。
[00:03:20.000 --> 00:03:26.000]  或者作者很有癡情,不過沒有什麼人明白他的情。
[00:03:26.000 --> 00:03:32.000]  所以這也是紅樓夢留下無盡的韻味,就是人生好像很無奈。
[00:03:32.000 --> 00:03:39.000]  當然人生無奈,除了渡過的歲月好像一聲嘆息,其實人生還要面對死亡。
[00:03:39.000 --> 00:03:49.000]  好像紅樓夢裡面最美麗的林黛玉,她把花埋葬,因為花會死,所以黛玉葬花就很美麗。
[00:03:49.000 --> 00:03:52.000]  這是一段美麗的描述。
[00:03:52.000 --> 00:03:59.000]  林黛玉是怎樣的呢?沒有什麼人知道,因為她根本在歷史上並不存在。
[00:03:59.000 --> 00:04:04.000]  不過我想林黛玉也有點像我認識的女朋友,就是我太太。
[00:04:04.000 --> 00:04:09.000]  那個時候的樣子應該差不多了,大概十幾二十歲的時候。
[00:04:09.000 --> 00:04:14.000]  但是紅顏會老,所以林黛玉葬花。
[00:04:14.000 --> 00:04:19.000]  花謝花飛,花滿天,紅宵香斷有誰憐。
[00:04:19.000 --> 00:04:30.000]  即是花會謝,紅色的花會灑下來,紅宵香斷,即是香會沒了,她的美麗就會過去,誰還會憐憫她呢?
[00:04:30.000 --> 00:04:36.000]  所以黛玉也想到她作為一個美女,但始終她也會老。
[00:04:36.000 --> 00:04:40.000]  以今死去龍修葬,未卜龍生何日喪。
[00:04:40.000 --> 00:04:44.000]  即是你死,我葬你,我死的時候又不知道是誰葬呢?
[00:04:44.000 --> 00:04:48.000]  龍今葬花人笑癡,他年葬龍知是誰。
[00:04:48.000 --> 00:04:54.000]  今日人笑我癡情,連花都埋葬,但將來又是誰埋葬我。
[00:04:54.000 --> 00:04:58.000]  是看春蟬花漸落,便是紅顏老死時。
[00:04:58.000 --> 00:05:04.000]  轉眼即是花會死,紅顏也會老和死的。
[00:05:04.000 --> 00:05:09.000]  多美麗的美女,老了就很難維持她原本的美麗。
[00:05:09.000 --> 00:05:12.000]  這真是一種無可奈何。
[00:05:12.000 --> 00:05:17.000]  人生如果美女早死,人會記得她仍是美麗的時刻,
[00:05:17.000 --> 00:05:22.000]  但遲死,慢慢怎樣整容,人都覺得你老。
[00:05:22.000 --> 00:05:27.000]  電視有個什麼「遮」都是整了很多次,
[00:05:27.000 --> 00:05:31.000]  都是好似靚靚地,但你覺得已經老是沒辦法的。
[00:05:31.000 --> 00:05:37.000]  無可奈何,一朝春盡紅顏老,花落人亡兩不知。
[00:05:37.000 --> 00:05:41.000]  一日紅顏老或死,花亦會死。
[00:05:41.000 --> 00:05:49.000]  花不識人,人亦不識花,人生就好似無可奈何的困局。
[00:05:49.000 --> 00:05:53.000]  我認識太太時,都是美麗的少女。
[00:05:53.000 --> 00:05:59.000]  到現在幾十年後,結婚四十年,仍是美麗的老女人。
[00:05:59.000 --> 00:06:02.000]  不美麗,仍是年青美麗。
[00:06:02.000 --> 00:06:08.000]  不過我總覺得她像林黛玉,因為年紀大時常身體不太好。
[00:06:08.000 --> 00:06:11.000]  黛玉多病,我太太都多病。
[00:06:11.000 --> 00:06:16.000]  我到處奔波,太太很難全部跟我一起奔波。
[00:06:16.000 --> 00:06:19.000]  無可奈何,人生就是這樣渡過。
[00:06:19.000 --> 00:06:22.000]  但你想她繼續美麗下去都不難的。
[00:06:22.000 --> 00:06:28.000]  你日日說她鮮花美麗,日日說她是百合花,她都會美麗下去。
[00:06:28.000 --> 00:06:32.000]  終有一日離開世界,都帶著極美麗的生命離開世界。
[00:06:32.000 --> 00:06:35.000]  美麗不單止是外在,是內心的。
[00:06:35.000 --> 00:06:40.000]  我大概十幾歲時都覺得人生是很無奈的。
[00:06:40.000 --> 00:06:45.000]  當時有個法國哲學家叫卡茂,他就說人生很荒謬。
[00:06:45.000 --> 00:06:49.000]  所以他又叫卡茂,所以很奇怪,卡著荒謬。
[00:06:49.000 --> 00:06:56.000]  他就寫了一本書,叫《攝佛西斯的神話》。
[00:06:56.000 --> 00:07:01.000]  講到天神攝佛西斯得罪更多的天神,
[00:07:01.000 --> 00:07:04.000]  被懲罰在地獄推舊石頭上山。
[00:07:04.000 --> 00:07:08.000]  石頭上到去又滾下來,你又要下去再推一次。
[00:07:08.000 --> 00:07:12.000]  推完它又再滾下去,你又要再推一次。
[00:07:12.000 --> 00:07:15.000]  無可奈何地理會不斷繼續推舊石頭上山。
[00:07:15.000 --> 00:07:22.000]  所以人生的確很荒謬,很忙碌,不過推舊石頭上山是沒有意義的。
[00:07:22.000 --> 00:07:26.000]  所以這個故事其實卡茂想去描寫,
[00:07:26.000 --> 00:07:29.000]  我們今日人的生活是二十世紀,
[00:07:29.000 --> 00:07:33.000]  大家很忙碌,但其實只是推舊石頭上山,
[00:07:33.000 --> 00:07:36.000]  做些沒有意義的事又很忙碌。
[00:07:36.000 --> 00:07:39.000]  當我們上班的時期,
[00:07:39.000 --> 00:07:44.000]  每天一起床就擦牙洗臉,然後就要上班。
[00:07:44.000 --> 00:07:47.000]  有錢些有架車坐,沒錢就迫地鐵。
[00:07:47.000 --> 00:07:51.000]  地鐵其實都很辛苦,因為很多陌生人的身體迫住你動都不能動。
[00:07:51.000 --> 00:07:53.000]  上班的時候。
[00:07:53.000 --> 00:07:57.000]  開車都很辛苦,因為有很多車的身體擋住車,不能動。
[00:07:57.000 --> 00:08:01.000]  經常想快點,車又飛不起,經常被車擋住。
[00:08:01.000 --> 00:08:06.000]  所以你是很艱苦才回到辦公的地方。
[00:08:06.000 --> 00:08:10.000]  然後一做事就一路很忙很忙。
[00:08:10.000 --> 00:08:13.000]  忙到好像工具一樣做很多事之後,
[00:08:13.000 --> 00:08:17.000]  經常看何時吃午餐,吃午餐開心些,可以有些自由。
[00:08:17.000 --> 00:08:22.000]  起碼你選擇吃乾炒牛河還是吃星洲炒米。
[00:08:22.000 --> 00:08:26.000]  但之後吃完又繼續做,不斷看中。
[00:08:26.000 --> 00:08:29.000]  但五點都不能下班,香港六七點才下班,
[00:08:29.000 --> 00:08:32.000]  個個都是,如果你先走人人都記得你。
[00:08:32.000 --> 00:08:37.000]  你無可奈何,回去很累的,筋疲力盡回到家,
[00:08:37.000 --> 00:08:43.000]  一躺躺在沙發上,手通常摸就是看遙控器在哪裏。
[00:08:43.000 --> 00:08:47.000]  一找到就開電視,然後轉台。
[00:08:47.000 --> 00:08:51.000]  如果你有有線電視就不斷轉台,現在很多台都有線電視,
[00:08:51.000 --> 00:08:55.000]  轉著轉著講德文,講法文的都有,講日文的。
[00:08:55.000 --> 00:09:00.000]  不斷轉台,轉呀轉呀轉,轉完一次都半個小時。
[00:09:00.000 --> 00:09:04.000]  你又由頭再轉,因為是沒有什麼編輯好看的。
[00:09:04.000 --> 00:09:10.000]  無可奈何地,我記得有一個美國的笑電視劇,
[00:09:10.000 --> 00:09:14.000]  有一個傻佬就不斷按,然後大聲叫老婆,
[00:09:14.000 --> 00:09:17.000]  喂,為什麼電視沒有反應,按幾下沒有反應?
[00:09:17.000 --> 00:09:21.000]  老婆說電視拿去整,根本不在。
[00:09:21.000 --> 00:09:24.000]  就好像我們習慣了,是按遙控器,
[00:09:24.000 --> 00:09:29.000]  現在不止了,是按手機,不斷按按按,
[00:09:29.000 --> 00:09:33.000]  按到不斷回應一些很無謂的訊息,
[00:09:33.000 --> 00:09:36.000]  不斷看很多假的訊息在手機裏。
[00:09:36.000 --> 00:09:41.000]  無可奈何,我們做事是不是很忙碌,不過推舊石頭上山呢?
[00:09:41.000 --> 00:09:44.000]  人生是不是一個荒唐的故事呢?
[00:09:44.000 --> 00:09:50.000]  其實我當時看這些書,因為我覺得人生是很荒謬的,
[00:09:50.000 --> 00:09:54.000]  因為我爸爸是有精神病,
[00:09:54.000 --> 00:09:57.000]  最近那齣電影《I can imagine》,
[00:09:57.000 --> 00:10:00.000]  我一看就哭了,因為開頭那些就是我小時候的經歷,
[00:10:00.000 --> 00:10:04.000]  他十歲的時候回到家,地上都是玻璃,碎玻璃。
[00:10:04.000 --> 00:10:07.000]  我去年回家都是試過地上碎玻璃,
[00:10:07.000 --> 00:10:09.000]  不過是爸爸扔東西。
[00:10:09.000 --> 00:10:12.000]  我爸爸是一個很出色的才子,
[00:10:12.000 --> 00:10:14.000]  懂得寫詩,是高級知識份子,
[00:10:14.000 --> 00:10:17.000]  和媽媽當時是精英,
