
[00:00:00.000 --> 00:00:03.080]  今天想和大家思想一個題目
[00:00:03.080 --> 00:00:06.920]  如果你看文字是很斯文的
[00:00:06.920 --> 00:00:10.200]  切莫走錯路
[00:00:10.200 --> 00:00:13.240]  這是一個很斯文的說法
[00:00:13.240 --> 00:00:15.240]  其實是不到肉的
[00:00:15.240 --> 00:00:17.240]  你不明白我說什麼
[00:00:17.240 --> 00:00:20.080]  如果我用廣東話
[00:00:20.080 --> 00:00:22.480]  就可以很生鬼
[00:00:22.480 --> 00:00:27.200]  喂!你走錯路了,不要再錯下去了
[00:00:27.200 --> 00:00:30.640]  反過來,那條是冤枉路
[00:00:30.640 --> 00:00:34.160]  是骨頭巷,你還衝過去
[00:00:34.160 --> 00:00:36.160]  我想問大家
[00:00:36.160 --> 00:00:39.600]  你試過迷路了嗎?
[00:00:39.600 --> 00:00:41.600]  當然試過了
[00:00:41.600 --> 00:00:43.200]  你不要說你沒試過
[00:00:43.200 --> 00:00:45.680]  如果有誰敢舉手說我沒試過
[00:00:45.680 --> 00:00:47.200]  我待會請你吃飯
[00:00:47.200 --> 00:00:48.320]  你舉手吧
[00:00:48.320 --> 00:00:50.720]  你說你沒有迷路
[00:00:50.720 --> 00:00:52.480]  我就一定不相信
[00:00:52.480 --> 00:00:54.320]  怎麼會不迷路呢?
[00:00:54.320 --> 00:00:56.560]  都不知道迷路了多少
[00:00:56.560 --> 00:00:57.840]  特別是開車的人
[00:00:57.840 --> 00:01:00.400]  一不小心就出去了
[00:01:00.400 --> 00:01:04.800]  不知道開了多久才轉回來
[00:01:04.800 --> 00:01:07.040]  我近時探訪
[00:01:07.040 --> 00:01:09.760]  二十多年前
[00:01:09.760 --> 00:01:11.760]  第一,沒有手機
[00:01:11.760 --> 00:01:13.760]  沒有Google Map
[00:01:13.760 --> 00:01:18.800]  看那本很厚的港九新界詳細地圖
[00:01:18.800 --> 00:01:21.920]  特別我對九龍新界很不熟
[00:01:21.920 --> 00:01:25.280]  但要去探訪,因為有些會友住那裡
[00:01:25.280 --> 00:01:27.280]  特別是那些屋邨
[00:01:27.280 --> 00:01:30.080]  全部一樣
[00:01:30.080 --> 00:01:32.080]  顏色沒有分別
[00:01:32.080 --> 00:01:34.080]  那時白色,全部白色
[00:01:34.080 --> 00:01:37.760]  文物樓,文物樓,文物樓,全部文物
[00:01:37.760 --> 00:01:41.680]  要不就第一座,第二座,第三座,第四座
[00:01:41.680 --> 00:01:43.680]  除非他不是順次序
[00:01:43.680 --> 00:01:47.040]  一頭是七八,那頭是一三
[00:01:47.040 --> 00:01:49.040]  慘了,我要探訪第四座在哪裏
[00:01:49.040 --> 00:01:56.000]  最聰明是問店舖的主婦
[00:01:56.000 --> 00:02:01.200]  請你教我,天隧樓在哪裏
[00:02:01.200 --> 00:02:06.080]  前面走,轉彎就到了
[00:02:06.080 --> 00:02:08.080]  聽她的話
